categoria,categoria_amplia
Mapuche Indians,No es categoria
Government relations,Política
Ethnic identity,Sociología
Treatment of Indians,No es categoria
Ethnic relations,Sociología
Autographs,No es categoria
Indian mythology,No es categoria
Indians,No es categoria
Legends,Leyenda
Cuentos populares,Cuento
Tales,Cuento
Indios de Colombia,No es categoria
Leyendas,Leyenda
Political science -- Colombia -- History,Política
Political parties -- Colombia -- History,Política
Colombia -- Politics and government -- 1810-,Política
Mexico -- History -- 1821-1861,Historia
Clergy,No es categoria
Vallenato (Music),Arte
Popular music,Arte
Recovery,No es categoria
Codependency,No es categoria
Self-Help / Codependency,No es categoria
Love,No es categoria
Christian Life - Spiritual Growth,Religión
Christian Ministry - Discipleship,Religión
In literature,Literatura / Estudios literarios
Poesía,Poesía
Historia y crítica,Literatura / Estudios literarios
América Latina en la literatura,Literatura / Estudios literarios
"Elegías de varones ilustres de Indias (Castellanos, Juan de)",Poesía
Anthropology - Cultural,Sociología
Archaeology / Anthropology,Sociología
Jefes de Estado,No es categoria
Biografía,Biografía / Autobiografía / Memorias
Friends and associates,No es categoria
Expatriate authors,No es categoria
Autores ingleses,No es categoria
Romanticism,Literatura / Estudios literarios
English Authors,No es categoria
Romanticismo,Literatura / Estudios literarios
Filosofía,Filosofía
Ensayos,Ensayo
Civilización,No es categoria
Seres humanos,No es categoria
Human beings,No es categoria
Ensayos colombianos,Ensayo
"Peláez, Luis Fernando, -- 1945- -- Exhibitions.",Arte
American history,Historia
South America - History,Historia
History / Essays,Historia
"Castellanos, Juan de, 1522-1607.",No es categoria
Latin America -- In literature.,Literatura / Estudios literarios
Contemporary Art,Arte
Individual Painters - 20th Century,Arte
Literary Criticism & Collections / Central & South American,Literatura / Estudios literarios
History - Contemporary (1945- ),Historia
Catalogs,No es categoria
Artists,Arte
Architecture,Arte
Exhibitions,Arte
Colombian Art,Arte
Pavilions,No es categoria
"Buildings, structures",No es categoria
"Exposición Ibero-Americana (1929-1930 : Seville, Spain)",Arte
Violence in art,Arte
Fundación Proyecto Bachué,No es categoria
Sculptors,Arte
Fiction - Historical,Ficción
Historical - General,Ficción
Fiction / Historical,Ficción
Biography: general,Biografía / Autobiografía / Memorias
Warfare & Defence,Historia
Biography & Autobiography / Military,Biografía / Autobiografía / Memorias
History / South America,Historia
1795-1861,No es categoria
19th century,No es categoria
"Obando, Josâe Marâia,",No es categoria
Statues,No es categoria
Spanish philology,Lengua / Lingüística
Peace-building,No es categoria
Peace,No es categoria
Sociological aspects,Sociología
Reparation (Criminal justice),Derecho
"Legal status, laws",Derecho
Victims of crimes,No es categoria
NOVELA COLOMBIANA,Novela
LITERATURA COLOMBIANA,Literatura / Estudios literarios
INDIGENAS DEL AMAZONAS,No es categoria
NOVELA,Novela
CONDICIONES SOCIALES,Sociología
VIDA EN LA SELVA,No es categoria
Literature & Fiction,Literatura / Estudios literarios
Romance - General,Ficción
General & Literary Fiction,Ficción
Spanish (Language) Contemporary Fiction,Ficción
Fiction / General,Ficción
"Espinosa de Pérez, Matilde -- Criticism and interpretation",Literatura / Estudios literarios
Criminal law,Derecho
"Escobar, Pablo.",No es categoria
Drug dealers -- Colombia -- Biography.,Biografía / Autobiografía / Memorias
Drug traffic -- Colombia.,No es categoria
"Finance, Public -- Law and legislation -- Colombia.",Derecho
Budget -- Law and legislation -- Colombia.,Derecho
Law reform -- Colombia.,Derecho
Brigands and robbers,No es categoria
Metaphysical Phenomena - General,No es categoria
"New Age / Body, Mind & Spirit",No es categoria
Liberalism,Política
Politics and culture,Política
Conservatism,Política
Partido Conservador (Colombia),Política
Partido Liberal (Colombia),Política
"Philosophy, Colombian -- 20th century.",Filosofía
Colombia -- Politics and government -- 1974- -- Philosophy.,Política
Colombia -- Social conditions -- 1970-,Sociología
Radicalism,Política
Imperialism -- Philosophy.,Filosofía
Byzantine Empire -- History.,Historia
Labor union members,No es categoria
Labor unions,No es categoria
"Valencia, León, -- 1955-",No es categoria
Ejército de Liberación Nacional (Colombia),No es categoria
Guerrillas -- Colombia -- Biography,Biografía / Autobiografía / Memorias
Revolutionaries -- Colombia -- Biography,Biografía / Autobiografía / Memorias
Autodefensas Unidas de Colombia,No es categoria
Paramilitary forces -- Colombia,No es categoria
Intellectual property,Derecho
Portraits,Arte
"Vidales, Luis -- Criticism and interpretation.",Literatura / Estudios literarios
Television authorship.,Comunicación
Romance literature,Ficción
Música,Arte
Jóvenes (Mujeres),No es categoria
Salsa (Música),Arte
Young women,No es categoria
Music,Arte
Salsa (Music),Arte
Jóvenes (Hombres),No es categoria
Young men,No es categoria
Novela colombiana,Novela
Motion pictures -- Reviews.,Arte
Motion pictures.,Arte
"Caicedo Estela, Andrés, -- 1951-1977",No es categoria
Colombian poetry.,Poesía
Poesía colombiana.,Poesía
Love poetry,Poesía
Latin American Reportage literature,Crónica
Writing of Numerals,No es categoria
Numerales,No es categoria
Ficción juvenil,Infantil / Juvenil
Números,No es categoria
Spanish poetry,Poesía
Spanish Folk songs,Arte
Lyric writing (Popular music),Arte
Poesía colombiana,Poesía
Literatura colombiana,Literatura / Estudios literarios
Storytelling -- Juvenile fiction.,Infantil / Juvenil
Spanish: Young Adult (Gr. 10-12),Infantil / Juvenil
Ghost,No es categoria
Christian - Historical,Religión
Controversial literature,No es categoria
"Darwin, Charles, -- 1809-1882.",No es categoria
Evolution (Biology),Ciencia
Natural history -- Philosophy -- Popular works.,Ciencia
Biology -- Philosophy.,Ciencia
Natural selection.,Ciencia
Rhetoric.,Lengua / Lingüística
"Grammar, Comparative and general.",Lengua / Lingüística
Novela colombiana -- Siglo XX.,Novela
"Fiction, dystopian",Ficción
Personal memoirs,Biografía / Autobiografía / Memorias
Poetry (poetic works by one author),Poesía
"Silva, Jose Asuncion, 1865-1896",No es categoria
"Silva, Josâe Asunciâon, 1865-1896",No es categoria
1865-1896,No es categoria
"Silva, Josâe Asunciâon,",No es categoria
"Silva, Jose Asuncion",No es categoria
"Silva, José Asunción, 1865-1896 -- Correspondence.",Biografía / Autobiografía / Memorias
"Authors, Colombian -- 19th century -- Correspondence.",Biografía / Autobiografía / Memorias
Mysticism,No es categoria
Drug dealers,No es categoria
Fugitives from justice,No es categoria
Male friendship,No es categoria
Narcotraficantes,No es categoria
Proscritos,No es categoria
Tráfico de drogas y narcóticos,No es categoria
Family secrets,No es categoria
Fathers and sons,No es categoria
Secretos,No es categoria
Padres e hijos,No es categoria
(1857-1924),No es categoria
1857-1924,No es categoria
Biografâia,Biografía / Autobiografía / Memorias
"Conrad, Joseph",No es categoria
"Conrad, Joseph,",No es categoria
Crâitica e interpretaciâon,Literatura / Estudios literarios
"Fiction, religious",Ficción
"Colombia, fiction",Ficción
Venganza,No es categoria
Vendetta,No es categoria
Tra fico de drogas,No es categoria
Islas,No es categoria
Enfermedades mentales,No es categoria
Suicide,No es categoria
Mental illness,No es categoria
Suicidio,No es categoria
"Carpentier, Alejo, -- 1904-1980.",No es categoria
"Lam, Wifredo.",No es categoria
"Caballero, Luis, -- 1943-",No es categoria
"Arts, Cuban -- 20th century.",Arte
"Art, Colombian -- 20th century.",Arte
"Poets, Colombian -- 20th century -- Interviews.",Biografía / Autobiografía / Memorias
Colombian poetry -- 20th century -- History and criticism.,Literatura / Estudios literarios
Medical students -- Colombia -- Fiction,Novela
Colombia -- Social conditions -- Fiction,Novela
Older women,No es categoria
Juvenile literature,Infantil / Juvenil
Spiritual life,No es categoria
Wealth,No es categoria
Old age,No es categoria
Femmes âgées,No es categoria
Ouvrages pour la jeunesse,Infantil / Juvenil
Vie spirituelle,No es categoria
Ancianas,No es categoria
Literatura juvenil,Infantil / Juvenil
Vida espiritual,No es categoria
Children's 4-8 - Poetry / Plays,Infantil / Juvenil
Children's Books/Ages 4-8 Nonfiction,Infantil / Juvenil
"Thailand, fiction",Ficción
"Short stories, Colombian.",Cuento
Colombian fiction -- 20th century.,Novela
el Gaviero Maqroll (Fictitious character),No es categoria
"Maqroll, el Gaviero (Personaje literario)",No es categoria
Visionary & Metaphysical,No es categoria
Action & Adventure,Ficción
Criticism,Literatura / Estudios literarios
Fine Arts,Arte
Identity (Psychology),Psicología
Ecuador,No es categoria
"National characteristics, Ecuadorian",No es categoria
Spanish American literature -- 20th century -- History and criticism.,Literatura / Estudios literarios
Political corruption -- Ecuador.,Política
Ecuador -- Politics and government -- 1984-,Política
Ecuadorian poetry,Poesía
Ecuadorian literature,Literatura / Estudios literarios
Authoritarianism,Política
Fascism,Política
Capitalism,Economía
Marxian school of sociology,Sociología
Communism and society,Política
"Cueva, Agustín, -- 1937-1992",No es categoria
Sociology -- Latin America,Sociología
Ecuadorian literature -- History and criticism,Literatura / Estudios literarios
Ecuador -- Civilization,No es categoria
Ecuador -- Intellectual life,No es categoria
"Santa Cruz y Espejo, Francisco Xavier Eugenio de, -- 1747-1795",No es categoria
Intellectuals -- Ecuador,No es categoria
"Santa Cruz y Espejo, Francisco Xavier Eugenio de, -- 1747-1795 -- Trials, litigation, etc",Derecho
"Santa Cruz y Espejo, Francisco Xavier Eugenio de, -- 1747-1795 -- Imprisonment",No es categoria
Ecuador -- History -- 18th century -- Sources,Historia
"Fierro, Luis Enrique, -- 1936- -- Criticism and interpretation",Literatura / Estudios literarios
Quito (Ecuador),No es categoria
Eccentrics and eccentricities -- Ecuador -- Quito -- Anecdotes,No es categoria
Quito (Ecuador) -- Anecdotes,No es categoria
Quechua women,No es categoria
Indian pottery,No es categoria
Quechua Indians,No es categoria
Dance music,Arte
Pasillo,Arte
Dictionaries,No es categoria
Streets -- Ecuador -- Quito -- History,Historia
"Architecture, Domestic -- Ecuador -- Quito -- History",Arte
Quito (Ecuador) -- History,Historia
"Quito (Ecuador) -- Buildings, structures, etc",Arte
Spaniards -- Ecuador -- Riobamba -- History.,Historia
Riobamba (Ecuador) -- Genealogy.,No es categoria
Anti-fascist movements,Política
"World War, 1939-1945",Historia
World War (1939-1945) fast (OCoLC)fst01180924,Historia
"Travelers' writings, Ecuadorian",Viajes
Ecuadorian prose literature,Literatura / Estudios literarios
Ecuadorians,No es categoria
Anecdotes,No es categoria
Voyages and travels,Viajes
Travelers' writings,Viajes
Heads of state -- South America -- Biography,Biografía / Autobiografía / Memorias
Festivals,No es categoria
Moral and ethical aspects,No es categoria
Conquerors,No es categoria
"America, history",Historia
Rites and ceremonies,No es categoria
Fasts and feasts,No es categoria
Oppression (Psychology),No es categoria
Culture,No es categoria
Anthropological linguistics,Lengua / Lingüística
Languages,Lengua / Lingüística
Ecuadorian Authors,No es categoria
"Aguirre Abad, Francisco Xavier, -- 1808-1882",No es categoria
Historians -- Ecuador -- Biography,Biografía / Autobiografía / Memorias
Ecuador -- Historiography -- 19th cetury,Historia
Wars of Independence (South America : 1806-1830) fast (OCoLC)fst01355310,Historia
Naval operations,Historia
Leander (Ship),No es categoria
"Miranda, Francisco de, -- 1750-1816",No es categoria
Revolutionaries -- Venezuela -- Biography,Biografía / Autobiografía / Memorias
Venezuela -- History -- 1556-1810,Historia
"Gallardo Román, José, -- 1935-",No es categoria
"Ecuador-Peru Conflict, 1995",Historia
Illegal arms transfers -- Ecuador,No es categoria
Illegal arms transfers -- Argentina,No es categoria
Trials (Illegal arms transfers) -- Ecuador,Derecho
Historians,No es categoria
Diccionario de la lengua española (Real Academia Española),Lengua / Lingüística
Ecuadorian literature -- 20th century -- History and criticism,Literatura / Estudios literarios
Utopias in literature,Literatura / Estudios literarios
Board books,Infantil / Juvenil
Colors,No es categoria
Color,No es categoria
Water,No es categoria
Colores,No es categoria
Novela infantil,Infantil / Juvenil
Agua,No es categoria
Dogs,No es categoria
Perros,No es categoria
Loja (Ecuador : Province) -- History,Historia
Loja (Ecuador : Province) -- Economic conditions,Economía
Loja (Ecuador : Province) -- Politics and government,Política
Loja (Ecuador : Province) -- Civilization,No es categoria
Activity Books - General,Infantil / Juvenil
Language Arts - Composition & Creative Writing,Educación
Incas -- Fiction,Ficción
Indians of South America -- Andes Region -- History -- Fiction,Ficción
"Peru -- History -- Conquest, 1522-1548",Historia
"García Moreno, Gabriel, 1821-1875 -- Fiction.",Ficción
Ecuador -- History -- 1830-1895 -- Fiction.,Ficción
Ecuadorian Short stories,Cuento
Sagas,Ficción
Modern fiction,Ficción
"Short stories, Ecuadorian -- 20th century",Cuento
Cuentos ecuatorianos -- Siglo XX,Cuento
Spanish Horror tales,Ficción
Spanish Short stories,Cuento
Spanish fiction,Ficción
"Montalvo, Juan, -- 1832-1889 -- Political and social views.",Política
"Montalvo, Juan, -- 1832-1889 -- Bibliography.",No es categoria
Paraguayan literature,Literatura / Estudios literarios
Paraguayan poetry -- 20th century,Poesía
Guarani poetry -- Translations into Spanish,Poesía
"Delgado, Susy, -- 1939- -- Criticism and interpretation.",Literatura / Estudios literarios
Guarani poetry.,Poesía
Spanish poetry.,Poesía
Guarani poetry -- History and criticism.,Literatura / Estudios literarios
Victims of state-sponsored terrorism,No es categoria
Political prisoners,No es categoria
Operación Cóndor (South American countersubversion association),No es categoria
Archivos del terror,No es categoria
Personal narratives,Biografía / Autobiografía / Memorias
Concentration camps,No es categoria
Guarani Indians,No es categoria
Natural history,Ciencia
Paraguayan Authors,No es categoria
Jesuits -- Missions -- Paraguay.,Religión
Guarani Indians -- Missions.,Religión
Guarani Indians -- Social life and customs.,No es categoria
Indians of South America -- Social life and customs.,No es categoria
Paraguayan poetry -- 20th century -- History and criticism.,Literatura / Estudios literarios
"Casaccia, Gabriel",No es categoria
"Casaccia, Gabriel -- Language",Lengua / Lingüística
"Paraguayan fiction -- Criticism, Textual",Literatura / Estudios literarios
Latin American literature -- Indian influences,Literatura / Estudios literarios
Mestizaje in literature,Literatura / Estudios literarios
Latin America -- Civilization,No es categoria
Paraguay,No es categoria
Paraguayan poetry,Poesía
"Francia, José Gaspar Rodríguez de, -- 1766-1840",No es categoria
Paraguay -- History,Historia
Medicine,Salud
Indian goldwork -- Paraguay -- History,Historia
Indian silverwork -- Paraguay -- History,Historia
Indian goldwork -- America -- History,Historia
Indian silverwork -- America -- History,Historia
Indians of South America -- Colonization -- Paraguay -- History,Historia
Gold mines and mining -- Paraguay -- History,Historia
Silver mines and mining -- Paraguay -- History,Historia
America -- Discovery and exploration -- Spanish,Historia
Spain -- Colonies -- America -- History,Historia
Paraguayan Short stories,Cuento
Deadly sins,No es categoria
Paraguayan fiction,Novela
Country life -- Paraguay,No es categoria
Language and culture -- Paraguay,Lengua / Lingüística
Family -- Paraguay,No es categoria
Paraguay -- Economic conditions,Economía
Paraguay -- Social life and customs,Sociología
Modern Aesthetics,Filosofía
Art and society,Arte
Art and state,Arte
Modern Art,Arte
"Art, Paraguayan",Arte
Art -- Paraguay,Arte
Indian art -- Paraguay.,Arte
Indians of South America -- Industries -- Paraguay.,No es categoria
Handicraft -- Paraguay.,Arte
Indians of South America -- Paraguay -- Social life and customs.,No es categoria
Folk art -- Latin America.,Arte
Art and society -- Latin America.,Arte
Drama,Teatro
"Paraguayan War, 1865-1870",Historia
Partido Colorado (Paraguay),Política
"Stroessner, Alfredo, -- 1912-2006",No es categoria
"Paraguay -- History -- Coup d'état, 1989 -- Sources",Historia
Paraguay -- Politics and government -- 1989-,Política
Bohemianism,No es categoria
Archival resources,No es categoria
Archives,No es categoria
Instituto de Historia y Museo Militar (Paraguay),No es categoria
Paraguay -- Foreign relations -- Brazil -- History -- Sources.,Política
Brazil -- Foreign relations -- Paraguay -- History -- Sources.,Política
Appreciation,No es categoria
Naturopathy,Salud
Vegetable Materia medica,Salud
Paraguayans,No es categoria
Paraguayan National characteristics,No es categoria
Paraguayan Satire,No es categoria
Paraguayan wit and humor,No es categoria
Paraguayan wit and humor.,No es categoria
"National characteristics, Paraguayan -- Anecdotes.",No es categoria
Paraguay -- Social life and customs -- Anecdotes.,Sociología
Reputation (Law) -- Paraguay.,Derecho
Libel and slander -- Paraguay.,Derecho
Honor -- Paraguay.,No es categoria
Usage,Lengua / Lingüística
Spoken Spanish,Lengua / Lingüística
Pictorial Paraguayan wit and humor,No es categoria
Peasants,No es categoria
Guarani poetry,Poesía
Guarani language,Lengua / Lingüística
Children's Baby - Fiction - General,Infantil / Juvenil
Language readers,Educación
Language,Lengua / Lingüística
"Paraguayan War, 1865-1870 -- Historical fiction",Ficción
FOR,No es categoria
FOR026000,No es categoria
Zoque language,Lengua / Lingüística
Texts,No es categoria
Cakchikel language,Lengua / Lingüística
Mapuche language,Lengua / Lingüística
Street vendors -- Paraguay -- Portraits.,Arte
Markets -- Paraguay -- Pictorial works.,Arte
Guarani Proverbs,No es categoria
Maxims,No es categoria
Italians,No es categoria
Jesuit art,Arte
Baroque Art,Arte
Colonial Art,Arte
Spanish Art,Arte
Guarani art,Arte
Guarani art.,Arte
"Art, Baroque -- Jesuit influences.",Arte
"Art, Baroque -- Latin America.",Arte
Paraguayan poetry -- 20th century.,Poesía
"National characteristics, Paraguayan -- In literature.",Literatura / Estudios literarios
"López, Nila, -- 1954-",No es categoria
"Authors, Paraguayan -- 20th century -- Biography",Biografía / Autobiografía / Memorias
Teachers -- Paraguay -- Biography,Biografía / Autobiografía / Memorias
Paraguay -- Intellectual life -- 20th century,No es categoria
Paraguay -- Civilization -- 20th century,No es categoria
"Barrett, Rafael, -- d. 1910 -- Criticism and interpretation",Literatura / Estudios literarios
Family,No es categoria
Uruguayan Authors,No es categoria
Critics,No es categoria
Fathers,No es categoria
Death,No es categoria
Murder victims,No es categoria
Revolutionaries,No es categoria
Uruguayan Short stories,Cuento
Torture,No es categoria
Unión de la Juventud Comunista del Uruguay,No es categoria
Movimiento de Liberación Nacional (Uruguay),No es categoria
"Short stories, Uruguayan.",Cuento
Cuentos uruguayos.,Cuento
Sexual minorities,No es categoria
Jews,No es categoria
Civil-military relations,Política
Uruguay,No es categoria
Military doctrine,Política
Freemasonry,No es categoria
Civil-military relations -- Uruguay,Política
Uruguay -- Politics and government -- 1985-,Política
Opus Dei (Society),Religión
Societies,No es categoria
Literary & Linguistic Reference Works,Lengua / Lingüística
Development - Sustainable Development,Economía
Environmental Science,Ciencia
Environmental Studies,Ciencia
Syndicalism,Política
Supranationalism,Política
Pan-Americanism,Política
Latin American federation,Política
Latin American Philosophy,Filosofía
Spanish Philosophy,Filosofía
Uruguayan poetry,Poesía
Uruguayan literature,Literatura / Estudios literarios
Amnesty,Derecho
Crimes against humanity,No es categoria
Brazilian poetry,Poesía
Uruguayan poetry -- Women authors.,Poesía
Uruguayan poetry -- 20th century.,Poesía
Sonnets,Poesía
Uruguayan fiction,Novela
"Arbeleche, Jorge, -- 1943- -- Criticism and interpretation",Literatura / Estudios literarios
"Comic books, strips",Ficción
Graphic novels,Ficción
Books and reading,No es categoria
Art and morals,Arte
Photography,Arte
Art and culture,Arte
Ethics,Filosofía
COVID-19 (Disease),No es categoria
Conceptual art,Arte
Conceptualism,Arte
Art and technology,Arte
"Art, Modern -- 20th century.",Arte
Airplane crash survival,No es categoria
Aircraft accidents,No es categoria
Aircraft accident victims,No es categoria
Heart surgeons,No es categoria
"Casacuberta, Pablo, -- 1969- -- Exhibitions.",Arte
"Photography, Artistic.",Arte
Corporation law,Derecho
Public-private sector cooperation,Economía
Corporations,Economía
Elections,Política
Socialism -- Uruguay -- History,Política
Populism -- Uruguay,Política
"Pacheco Areco, Jorge, -- 1920-",No es categoria
Uruguay -- Politics and government -- 1904-1973.,Política
"Short stories, Cuban.",Cuento
Cuban fiction -- 21st century.,Novela
"Chavarría, Daniel, -- 1933-",No es categoria
"Authors, Uruguayan -- 20th century -- Biography",Biografía / Autobiografía / Memorias
"Frugoni, Emilio, -- 1880-1969",No es categoria
Uruguay -- Politics and government -- 1904-1973,Política
Theater,Teatro
Latin American drama,Teatro
Spanish drama,Teatro
Dramatic criticism,Literatura / Estudios literarios
European drama,Teatro
Basques,No es categoria
Immigrants,No es categoria
Artists -- Uruguay -- Interviews.,Biografía / Autobiografía / Memorias
"Arts, Uruguayan -- 20th century.",Arte
"Laforgue, Jules, -- 1860-1887 -- Criticism and interpretation.",Literatura / Estudios literarios
Jesuits -- Uruguay -- History,Religión
Freemasonry -- Uruguay -- History,No es categoria
Catholic universities and colleges -- Uruguay -- History,Educación
Political participation,Política
Financial crises,Economía
Mateo y Trasante,No es categoria
Murder,No es categoria
Portrait painters,Arte
Uruguayan Historical fiction,Ficción
Uruguayans,No es categoria
Neighborhoods,No es categoria
Actresses,No es categoria
Death and burial,No es categoria
Dueling,No es categoria
Celebrities -- Homes and haunts -- Uruguay -- Punta del Este.,No es categoria
Punta del Este (Uruguay) -- History.,Historia
Punta del Este (Uruguay) -- Social life and customs.,Sociología
Punta del Este (Uruguay) -- Biography.,Biografía / Autobiografía / Memorias
Uruguayan Poets,No es categoria
Lyricists,No es categoria
Milongas (Music),Arte
Littérature uruguayenne,Literatura / Estudios literarios
"Di Giorgio, Marosa.",No es categoria
World Cup (Soccer) (1950 : Brazil),Deportes
Selección Uruguaya de Fútbol (Soccer team),Deportes
Seleção Brasileira de Futebol,Deportes
"Estádio do Maracanã (Rio de Janeiro, Brazil)",No es categoria
Écrivains uruguayens,No es categoria
Biographies,Biografía / Autobiografía / Memorias
Underwater welding and cutting,No es categoria
Raffles,No es categoria
Constitutional history -- Urugay.,Derecho
Constitutional law -- Uruguay.,Derecho
Argentine Short stories,Cuento
Argentine fiction,Novela
Machisme,No es categoria
Nouvelles argentines,Cuento
Roman argentin,Novela
Machismo,No es categoria
Mineral industries,Economía
Corrupt practices,No es categoria
Agriculture,Economía
Environmental aspects,Ciencia
Economic development,Economía
Free trade,Economía
Economic policy,Economía
Sustainable development,Economía
Hydrocarbons,Economía
Environmental ethics,Ciencia
Environmental policy,Ciencia
Nature conservation,Ciencia
Environmental law,Derecho
Investigation,No es categoria
Intelligence service,No es categoria
Chile. Dirección de Inteligencia Nacional,No es categoria
Chile,No es categoria
"Trabal, Ramón, 1929-1974 -- Assassination.",No es categoria
Political violence -- Uruguay.,No es categoria
Assassination -- Uruguay.,No es categoria
Prevention,No es categoria
Organized crime,No es categoria
Case studies,No es categoria
Drogues,No es categoria
Études de cas,No es categoria
Trafic,No es categoria
Trafiquants de drogues,No es categoria
Crime organisé,No es categoria
Merchant mariners,No es categoria
Chile. Central Nacional de Informaciones,No es categoria
Latin American Authors,No es categoria
Politique et gouvernement,Política
Partido Nacional (Uruguay),Política
Conspiracies,No es categoria
Espionage,No es categoria
Violence politique,No es categoria
Histoire,Historia
Conspiration,No es categoria
Espionnage,No es categoria
"Notebooks, sketchbooks",No es categoria
Manuscripts,No es categoria
Facsimiles,No es categoria
"Prisoners' writings, Uruguayan",Literatura / Estudios literarios
Creative nonfiction,No es categoria
"Gelman, Marcelo Ariel, -- 1956?-1976",No es categoria
"Garcia Irureta Goyena, Maria Claudia, -- d. 1976",No es categoria
"Sanguinetti, Julio María, -- 1936-",No es categoria
Disappeared persons -- Argentina,No es categoria
"Sanguinetti, Julio María, 1936-",No es categoria
"Gelman, Juan, 1930-",No es categoria
"Batlle Ibáñez, Jorge, 1927-",No es categoria
Human rights -- Uruguay.,Derecho
Amnesty -- Uruguay.,Derecho
"Holocaust, Jewish (1939-1945)",Historia
Friendship in children,No es categoria
Liability for human rights violations,Derecho
Children of prisoners -- Uruguay,No es categoria
Political prisoners -- Uruguay,No es categoria
Human rights -- Uruguay,Derecho
Uruguay -- Politics and government -- 1973-1985,Política
International Criminal Court.,Derecho
Judicial assitance -- Uruguay.,Derecho
Extradition -- Uruguay.,Derecho
International offenses -- Uruguay.,Derecho
Thieves,No es categoria
Map thefts,No es categoria
Maldonado (Uruguay : Department),No es categoria
Shipwrecks,No es categoria
Treasure troves,No es categoria
"Estefanell, Marcelo, -- 1950-",No es categoria
Political prisoners -- Uruguay -- Biography,Biografía / Autobiografía / Memorias
Military government -- Uruguay -- History -- 20th century -- Sources,Historia
Uruguayan newspapers,Comunicación
Hoy Canelones,Comunicación
"Almafuerte, -- 1854-1917 -- Criticism and interpretation.",Literatura / Estudios literarios
Spanish American poetry -- History and criticism.,Literatura / Estudios literarios
Marketing - General,Economía
Business / Economics / Finance,Economía
Radio personalities,No es categoria
Sportscasters,No es categoria
Television personalities,No es categoria
Neoliberalism,Política
Fútbol,Deportes
Anécdotas,No es categoria
Aspectos sociales,Sociología
Journalistic ethics,Comunicación
Mirador Cultural (Program),Comunicación
Military History,Historia
Universidad de la República (Uruguay),Educación
Uruguay -- Foreign relations -- Argentina -- Sources.,Política
Argentina -- Foreign relations -- Uruguay -- Sources.,Política
United States -- Foreign relations -- South America -- Sources.,Política
South America -- Foreign relations -- United States -- Sources.,Política
United States -- Foreign relations -- 1945-1953 -- Sources.,Política
United States -- Foreign relations -- 1953-1961 -- Sources.,Política
Animals,No es categoria
Wildlife conservation,Ciencia
Endangered species,Ciencia
"Peirano Basso, Juan, -- 1949-",No es categoria
Peirano family.,No es categoria
Banco Velox.,No es categoria
Bankers -- Uruguay -- Biography.,Biografía / Autobiografía / Memorias
Bank fraud -- Uruguay.,No es categoria
Banks and banking -- Corruption pratices -- Uruguay.,Economía
Corruption investigation -- Uruguay.,No es categoria
"Paseyro, Ricardo -- Criticism and interpretation",Literatura / Estudios literarios
Spanish poetry -- 20th century -- History and criticism,Literatura / Estudios literarios
"Poets, Spanish -- 20th century",No es categoria
Rock groups,Arte
Rock music,Arte
Blues-rock music,Arte
Días de blues,Arte
Mathematics,Ciencia
Internet service providers,Tecnología
Internet,Tecnología
Statesmen,No es categoria
Human rights -- Latin America.,Derecho
Poor -- Latin America.,Sociología
Latin America -- Social conditions.,Sociología
Meditations.,No es categoria
Recreations & Games,No es categoria
Nonfiction / General,No es categoria
Logic & Brain Teasers,No es categoria
Games,No es categoria
Games / Gamebooks / Crosswords,No es categoria
Form - Jokes & Riddles,No es categoria
Educación superior,Educación
Universidades,Educación
Architectural inscriptions,Arte
Details,No es categoria
Buildings,No es categoria
Transparency in government,Política
Partido Colorado (Uruguay),Política
Izquierda Democrática Independiente (Uruguay),Política
Uruguay -- Politics and government,Política
Railroads -- Uruguay -- Montevideo -- History,Historia
Railroads -- Buildings and structures -- Uruguay -- Montevideo -- History,Historia
Montevideo (Uruguay) -- Economic conditions,Economía
Political parties -- Uruguay -- History,Política
Frente Amplio (Uruguay),Política
"Essays, journals, letters & other prose works",Ensayo
c 1800 to c 1900,No es categoria
Social Science Ethics,Sociología
Ariel,No es categoria
"Rodo, Jose Enrique",No es categoria
Devaluation of currency,Economía
Confidential communications,No es categoria
Press,Comunicación
Economic history,Historia
"Criminal justice, Administration of -- Uruguay",Derecho
Prisons -- Law and legislation -- Uruguay,Derecho
Law reform -- Uruguay,Derecho
Criminals,No es categoria
Child sexual abuse by clergy,No es categoria
Spanish Women authors,No es categoria
Arab--Israeli conflict,No es categoria
Zionism,No es categoria
Environmental degradation,Ciencia
Pollution,Ciencia
Industries,Economía
"National characteristics, Uruguayan -- Public opinion",Sociología
Uruguayan Erotic stories,Ficción
Argentine Erotic stories,Ficción
Uruguayan Soccer stories,Deportes
Roman uruguayen,Novela
"River Plate, Battle of the, 1939",Historia
Admiral Graf Spee (Battleship),No es categoria
Federal government,Política
"Theology, Doctrinal",Religión
"Hernandarias, -- 1561-1634",No es categoria
Statesmen -- Argentina -- Biography,Biografía / Autobiografía / Memorias
Argentina -- History -- 1535-1617,Historia
Argentina -- History -- 1617-1776,Historia
Liberty in literature,No es categoria
Exile,No es categoria
Exile (Punishment),No es categoria
Mass Media - Newspapers,Comunicación
Media Studies - Print Media,Comunicación
Pop Arts / Pop Culture,Sociología
Songs,Arte
Uruguayan Art,Arte
In art,Arte
Uruguayan Drawing,Arte
Art collections,Arte
Constructivism (Art),Arte
Private collections,Arte
"Torres-García, Joaquín, -- 1874-1949 -- Exhibitions.",Arte
