Author,Nationality
Luz María Sánchez Cardona,mexican
Emilio Arellano,mexican
Núria Amat,mexican
Marentes,mexican
Claude McKay,jamaican
Lorna Goodison,jamaican
Michelle Cliff,jamaican
Colin Channer,jamaican
Wayne F. Cooper,jamaican
Staceyann Chin,jamaican
Lisa Tomlinson,jamaican
"Abrahams, Peter",jamaican
Tyrone Tillery,jamaican
Kwame Dawes,jamaican
Kandula Nirupa Rani,jamaican
T. Rhone,jamaican
Kamau Brathwaite,jamaican
Ralph Thompson,jamaican
J. E. Clare McFarlane,jamaican
Anthony C. Winkler,jamaican
BISHOP,jamaican
Elean Thomas,jamaican
Opal Palmer Adisa,jamaican
Shivaun Hearne,jamaican
Denise De C. Narain,jamaican
Kwame Senu Neville Dawes,jamaican
Jacqueline Bishop,jamaican
Douglas Hall,jamaican
"Clarke, Austin",barbadian
Austin Clarke,barbadian
Katy J. Gash,barbadian
"Clarke, Austin C",barbadian
Stella Algoo-Baksh,barbadian
Nailah Folami Imoja,barbadian
Edward Baugh,barbadian
Austin C. Clarke,barbadian
Miguel D. Mena,dominican
"Rodríguez Demorizi, Emilio",dominican
Emilio Carilla,dominican
Héctor Valdez Albizu,dominican
Francisco Ortega Polanco,dominican
Américo Lugo,dominican
Héctor Incháustegui Cabral,dominican
Diómedes Núñez Polanco,dominican
Lizabeth Paravisini-Gebert,dominican
Pedro F. Bonó,dominican
Juan Jacobo de Lara,dominican
Sonia Henríquez Ureña de Hlito,dominican
Pedro Encarnación Jiménez,dominican
Joaquín Balaguer,dominican
Franklin Gutiérrez,dominican
Alfredo A. Roggiano,dominican
Edmond Richer,dominican
Darío Bazil,dominican
Homero E. Mota,dominican
José Rafael Lantigua,dominican
João Francisco Ferreira,dominican
Mu-Kien A. Sang,dominican
Mario Emilio Pérez,dominican
Bruno Rosario Candelier,dominican
Dió-genes Abréu,dominican
Carlos T. Martínez,dominican
Andrés L. Mateo,dominican
Isael Pérez,dominican
Odalís Pérez,dominican
Pedro Henríquez Ureña,dominican
Pedro Mir,dominican
Carlos X. Ardavín,dominican
Ernesto Pérez Shelton,dominican
Armando Vargas,dominican
Manuel Núñez,dominican
Tomás Báez Díaz,dominican
Soledad Alvarez,dominican
Víctor Manuel de la Cruz,dominican
Enrique Zuleta Alvarez,dominican
Luis de Granada,dominican
Mariano Lebrón Saviñón,dominican
Emilio Rodríguez Demorizi,dominican
Juan Bosch,dominican
Fabio Fiallo,dominican
Mateo Morrison,dominican
Jorge Tena Reyes,dominican
Angela Hernández,dominican
Fernando Berroa,dominican
Miguel Ángel Fornerín,dominican
Pedro López Cerviño,dominican
José de Rosamantes,dominican
Víctor Grimaldi,dominican
Cándido Gerón,dominican
Manolo Nova,dominican
Sarah Aponte,dominican
"Díaz, José (Physician : Dominican Republic)",dominican
Rosa Rojas,dominican
Roberto Cassá,dominican
César Cárdenas,dominican
"Vega, Bernardo",dominican
Manuel García Cartagena,dominican
Juan Daniel Balcácer,dominican
Alex Ferreras,dominican
Margarita Vallejo de Paredes,dominican
Giovanni Di Pietro,dominican
Camila Henríquez Ureña,dominican
Juan Carlos Mieses,dominican
Reina C. Rosario Fernández,dominican
Miguel Ángel Beltrán Álvarez,dominican
Enrique Cabrera Vásquez,dominican
Tomás Hernández Franco,dominican
Antonio Fernández Spencer,dominican
José Mármol,dominican
Euclides Gutiérrez Félix,dominican
Héctor Amarante,dominican
Ana Silvia Reynoso de Abud,dominican
Oscar Peña,dominican
Keiselim A. Montás,dominican
Basilio Belliard,dominican
Néstor Medrano,dominican
Guillermo Piña Contreras,dominican
Fernanda Bustamante Esccalona,dominican
Guillermo Piña Contreras,dominican
Frank A. Roca,dominican
Enrique Tarazona,dominican
José M. Fernández Pequeño,dominican
Adrián Javier,dominican
Julia Alvarez,dominican
Antonio Ocaña R.,dominican
Mario Emilio Pérez,dominican
Miguel Espaillat,dominican
Virgilio Hoepelman,dominican
Frank Roca Friedheim,dominican
Andrés Lugo Génere,dominican
Víctor Barrera Enderle,dominican
León Félix Batista,dominican
Fabio Fiallo,dominican
Max Henríquez Ureña,dominican
Jeannette Miller,dominican
Juan B. Nina,dominican
Jesús Adolfo Becerril Valencia,dominican
Ramón E. Colombo,dominican
"Reyes, Alfonso",dominican
Ligia Minaya,dominican
Enegildo Peña,dominican
Diógenes Céspedes,dominican
Pedro Antonio Valdez,dominican
Víctor Gómez Bergés,dominican
Asela Rodriguez de Laguna,puerto_rican
Eugenio María de Hostos,puerto_rican
Juan Bosch,puerto_rican
Nancy I. Bird-Soto,puerto_rican
Cesáreo Rosa-Nieves,puerto_rican
Willie Perdomo,puerto_rican
Vanessa Perez-Rosario,puerto_rican
Juan Angel Silén,puerto_rican
Patricia Herrera,puerto_rican
Josefina Rivera de Alvarez,puerto_rican
Heide Marie Velarde,puerto_rican
Edgardo Rodríguez Juliá,puerto_rican
Victor F. Torres,puerto_rican
Sherezada Vicioso,puerto_rican
Jesus Papoleto Melendez,puerto_rican
Elizabeth Garcia,puerto_rican
Christin Freyer,puerto_rican
Francisco Matos Paoli,puerto_rican
Loreina Santos Silva,puerto_rican
Carmen S. Rivera,puerto_rican
Miguel Ripoll Santiago,puerto_rican
Emanuel Xavier,puerto_rican
Vicente Géigel Polanco,puerto_rican
Miguel Algarín,puerto_rican
Joserramón Melendes,puerto_rican
Manuel Fernández Juncos,puerto_rican
Marithelma Costa,puerto_rican
Juan Antonio Rodríguez Pagán,puerto_rican
Inés María Mendoza,puerto_rican
Jaime Varas,puerto_rican
P. Vieta de Miranda,puerto_rican
Edgardo Vega Yunqué,puerto_rican
Lisa Sánchez-González,puerto_rican
Aurora Levins Morales,puerto_rican
Carmen Montijo Altorán,puerto_rican
Rosalina Perales,puerto_rican
David Caleb Acevedo,puerto_rican
Lorraine López,puerto_rican
Rosario Ferré,puerto_rican
Antonio Quiñones Calderón,puerto_rican
Urayoán Noel,puerto_rican
Isabel Freire de Matos,puerto_rican
Iván Silén,puerto_rican
"Conferencia Internacional de Derecho Lingüístico (7 2000 San Juan, Puerto Rico)",puerto_rican
José de Diego,puerto_rican
Serafín Roldán,puerto_rican
Asela Rodríguez-Seda de Laguna,puerto_rican
María Teresa Babín,puerto_rican
Arcadio Díaz Quinones,puerto_rican
José Agustín Balseiro,puerto_rican
Antonia Domínguez Miguela,puerto_rican
James D Rivera Martínez,puerto_rican
Enrique A. Laguerre,puerto_rican
Andrés Candelario,puerto_rican
Josefa Martínez Torres,puerto_rican
Edgar Martínez Masdeu,puerto_rican
Roberto Ramos-Perea,puerto_rican
Héctor J. Martell Morales,puerto_rican
Nelson Arnaldo Vera Hernández,puerto_rican
Julia de Burgos,puerto_rican
Jeandelize B. González Rivera,puerto_rican
Carmen Dolores Hernández,puerto_rican
Georgina Lázaro León,puerto_rican
Nylda R. Díaz,puerto_rican
Erik Estrada,puerto_rican
Lolita Lebrón,puerto_rican
Manuel Ramos Otero,puerto_rican
José Enrique Laboy Gómez,puerto_rican
Anna Scannavini,puerto_rican
"Alcántara Almánzar, José",puerto_rican
Fernando González Alberty,puerto_rican
René Torres Delgado,puerto_rican
Juan Antonio Ramos,puerto_rican
Arcadio Díaz Quiñones,puerto_rican
Argimiro Ruano,puerto_rican
Socorro Girón,puerto_rican
"González, José Luis",puerto_rican
Carlos Gaztambide Arrillaga,puerto_rican
Carlos F. Mendoza Tió,puerto_rican
Ramón E. Rivera García,puerto_rican
Isabel Cuchí Coll,puerto_rican
"Arana Soto, Salvador",puerto_rican
José Márquez,puerto_rican
Margarita Rodriguez-Kelly,puerto_rican
Julio Soto Ramos,puerto_rican
Efraín Barradas,puerto_rican
Félix-Joaquín Rivera,puerto_rican
Francisco M. Rivera Lizardi,puerto_rican
Emilio Díaz Valcárcel,puerto_rican
Carlos F. Mendoza Tió,puerto_rican
Evelyn Jimenez,puerto_rican
Jorge Rodríguez,puerto_rican
Sócrates Nolasco,puerto_rican
Chadys A. Pagán Ocasio,puerto_rican
Rosario Ferré,puerto_rican
Armindo Núñez Miranda,puerto_rican
Mayra Santos-Febres,puerto_rican
Nicolás Kanellos,puerto_rican
Evangelina Vigil,puerto_rican
John V. Antush,puerto_rican
Victor Hernández Cruz,puerto_rican
Stephanie Álvarez,puerto_rican
Lola Rodríguez de Tió,puerto_rican
Cándida Maldonado de Ortiz,puerto_rican
Luis Rafael Sánchez,puerto_rican
Pedro Pietri,puerto_rican
Ruth Vassallo,puerto_rican
Juanita Rodriguez Betancourt,puerto_rican
Azi Ellowitch,puerto_rican
Cándida Maldonado de Ortiz,puerto_rican
"Conferencia Nacional de Literatura Puertorriqueña (1st 1983 Newark, N.J.)",puerto_rican
Yolanda Ricardo,puerto_rican
Tomás Sarramía,puerto_rican
Eugene V. Mohr,puerto_rican
Eugenio de J. García Cuevas,puerto_rican
Miguel Algarín,puerto_rican
Iris M. Zavala,puerto_rican
Myrna E. Nieves-Colón,puerto_rican
Angel Dario Carrero,puerto_rican
Rafael A. González Torres,puerto_rican
Nicolás Kanellos,puerto_rican
Carmen Dolores Hernández,puerto_rican
Marisel C. Moreno,puerto_rican
Roberto Santiago,puerto_rican
José Rivera,puerto_rican
Evangelina Vigil-Piñón,puerto_rican
Yolanda Fernández Sanz,puerto_rican
Juan Angel Silén,puerto_rican
Carmen Haydée Rivera,puerto_rican
Romeo Romero,puerto_rican
Miguel Ángel Fornerín,puerto_rican
José Luis González,puerto_rican
Rick Lyon,puerto_rican
Melanie Pérez Ortiz,puerto_rican
Vanessa Pérez Rosario,puerto_rican
Augusto Monterroso,guatemalan
David Vela,guatemalan
Helmy F. Giacoman,guatemalan
Gabriel Glasman,guatemalan
Miguel Ángel Asturias,guatemalan
R. Amílcar Echeverría B.,guatemalan
Marco Antonio Flores,guatemalan
G. Asturias Montenegro,guatemalan
Oswaldo Salazar,guatemalan
Carlos Humberto Silva Sagarmínaga,guatemalan
Leon Aguilera,guatemalan
Enrique Gómez Carrillo,guatemalan
Irina Darlée,guatemalan
Teresa Arévalo,guatemalan
"Ximénez, Francisco",guatemalan
Juan Olivero,guatemalan
Miguel Ángel Vásquez,guatemalan
Francisco Albizúrez Palma,guatemalan
Gonzalo Dardón Córdova,guatemalan
Jimena Sáenz,guatemalan
Marc Cheymol,guatemalan
Otto Raúl González,guatemalan
John R. W. Stott,guatemalan
Alfonso Enrique Barrientos,guatemalan
Luis Cardoza y Aragón,guatemalan
Epaminondas Quintana,guatemalan
Margarita Carrera,guatemalan
Mario Alberto Carrera,guatemalan
Patrizia Spinato Bruschi,guatemalan
Carlos René García Escobar,guatemalan
Mario Monteforte Toledo,guatemalan
José Mejía,guatemalan
Francisco Alejandro Méndez,guatemalan
Carlos García Bauer,guatemalan
Oralia Preble-Niemi,guatemalan
Luis Cardoza Y Aragon,guatemalan
Edelberto Torres Espinoza,guatemalan
Universidad de San Carlos de Guatemala,guatemalan
Delia Quiñónez,guatemalan
Alexander Sequén-Mónchez,guatemalan
Otto Chicas Rendón,guatemalan
David Rozotto,guatemalan
Juan Antonio Canel,guatemalan
Víctor Muñoz,guatemalan
Werner Mackenbach,guatemalan
Enrique Castellanos,guatemalan
Francisco Ximénez,guatemalan
Manuel Jose Arce,guatemalan
Dante Liano,guatemalan
Francisco Albizúrez Palma,guatemalan
Juan Manuel González Martel,guatemalan
César Enrique González,guatemalan
Amílcar Echeverría,guatemalan
Dante Barrientos Tecún,guatemalan
José Eduardo Serrato,guatemalan
César Brañas,guatemalan
"Arce, Manuel José",guatemalan
Edelberto Torres,guatemalan
Juan Fernando Cifuentes Herrera,guatemalan
Carlos Marroquín,guatemalan
Edith González,guatemalan
Francisco Nájera,guatemalan
Guisela López,guatemalan
Zoila Aurora Cáceres,guatemalan
Miguel Angel Vázquez,guatemalan
César Brañas,guatemalan
Eloy Amado Herrera,guatemalan
"Costa Rica) Encuentro Mesoamericano ""Escritura-Cultura"" (9th 2014 San José",guatemalan
Flavio Guillén,guatemalan
Claudia Lars,salvadoran
Augusto Pinochet Ugarte,salvadoran
Carlos Gregorio Flores,salvadoran
Manlio Argueta,salvadoran
Matilde Elena López,salvadoran
José Roberto Cea,salvadoran
Salarrué,salvadoran
"Espinosa, Francisco",salvadoran
Roxana Beatriz López Serrano,salvadoran
Carlos Cañas Dinarte,salvadoran
Manuel Antonio Ramírez Suárez,salvadoran
Juan Felipe Toruño,salvadoran
Alejandro Ayalá,salvadoran
Marta Casaús Arzú,salvadoran
Renán Alcides Orellana,salvadoran
Carmen González Huguet,salvadoran
Jesús Mayorga,salvadoran
Erick Trabanino,salvadoran
Jesús Alfredo Campos,salvadoran
Yanira Soundy,salvadoran
Óscar Amilcar Magaña Interiano,salvadoran
Alí Adolfo Antonio Castaneda Orellana,salvadoran
Eugenio Martínez Orantes,salvadoran
Rose Marie Galindo,salvadoran
Mario Castrillo,salvadoran
Carlos Cañas Dinarte,salvadoran
Luis Gallegos Valdés,salvadoran
Jorge Argueta,salvadoran
Luis Alvarenga,salvadoran
Armando Solís,salvadoran
Román Mayorga Rivas,salvadoran
VV.AA. Rodríguez VV.AA.,salvadoran
Roque Dalton,salvadoran
José González,honduran
Janet N. Gold,honduran
Oscar Acosta,honduran
Manuel Salinas Paguada,honduran
Mario Argueta,honduran
Darlene Maciuba-Koppel,honduran
Ramiro Colindres O.,honduran
Alexis Machuca,honduran
José Francisco Martínez,honduran
Rómulo E. Durón,honduran
Juan Ramón Agüero,honduran
Rubén Antúnez Castillo,honduran
Alvaro Pérez Estrada,honduran
Juan Ramón Martínez B.,honduran
Nery Alexis Gaitán,honduran
Eliseo Pérez Cadalso,honduran
Roberto Sosa,honduran
Rafael Heliodoro Valle,honduran
Mario Castillo,honduran
Froylán Turcios,honduran
Medardo Mejía,honduran
Carlos Enrique Gutiérrez González,honduran
María de los Ángeles Chapa Bezanilla,honduran
Juan Ramón Martínez B.,honduran
Maria De Los Angeles Bezanilla Chapa,honduran
Ramón Rosa,honduran
Lolita Reina de Hilsaca,honduran
Lucila Gamero de Medina,honduran
Froylán Turcios,honduran
Lester Núñez,honduran
Melissa Merlo,honduran
Blas Matamoro,honduran
Santos Juárez Fiallos,honduran
José González,honduran
mimalapalabra editores,honduran
Rómulo E. Durón,honduran
"González, José",honduran
Roberto Sosa,honduran
Pearson,honduran
Humberto Rivera y Morillo,honduran
Néstor Bermúdez,honduran
Juan Blas Galeas,honduran
Hector Róger González,honduran
Ludmilla Valadez Valderrábano,honduran
Willy O. Muñoz,honduran
Helen Umaña,honduran
Rubén Darío,nicaraguan
Edelberto Torres,nicaraguan
José María Vargas Vila,nicaraguan
Margaret Randall,nicaraguan
Gioconda Belli,nicaraguan
Ernesto Cardenal,nicaraguan
Ian Gibson,nicaraguan
Marta Kordon,nicaraguan
Valentín de Pedro,nicaraguan
Carlos Tünnermann Bernheim,nicaraguan
Argentina Vega Bolaños,nicaraguan
Isolda Rodríguez Rosales,nicaraguan
Humberto Osorno Fonseca,nicaraguan
Luisa Amanda Juárez Gutiérrez,nicaraguan
"Seminario-Archivo Rubén Darío (Madrid, Spain)",nicaraguan
Mario Parajón,nicaraguan
Horacio Castillo,nicaraguan
Ricardo Llopesa,nicaraguan
Teodosio Fernández,nicaraguan
Jorge Eduardo Arellano,nicaraguan
Alejandro Bravo,nicaraguan
Armando Ñurinda Ramírez,nicaraguan
Eddy Kühl Aráuz,nicaraguan
Danilo Guido,nicaraguan
José Coronel Urtecho,nicaraguan
Gonzalo Rivas Novoa,nicaraguan
Daniel Mordzinski,nicaraguan
Erick Blandón Guevara,nicaraguan
Joaquín Pasos,nicaraguan
José Coronel Urtecho,nicaraguan
Nidia Palacios,nicaraguan
"Encuentro de Escritores Costarircenses y Nicaragüences: La Frontera, José Coronel Urtecho, in Memorian (2nd 2001 Costa Rica)",nicaraguan
Pedro Rafael Gutiérrez,nicaraguan
Blas Matamoro,nicaraguan
Osvaldo Bazil,nicaraguan
Salvador Espinoza Moncada,nicaraguan
Julián N. Guerrero C.,nicaraguan
Vidaluz Meneses,nicaraguan
Ana Ilce Gómez,nicaraguan
Edwin Yllescas Salinas,nicaraguan
Michele Najlis,nicaraguan
Luis Rocha,nicaraguan
"Silva, Fernando",nicaraguan
Luis Alberto Cabrales,nicaraguan
Rubén Darío y Basualdo,nicaraguan
Claribel Alegría,nicaraguan
Francisco Javier Bautista Lara,nicaraguan
Georgina Lázaro León,nicaraguan
Edmundo Montenegro Parrales,nicaraguan
Joaquín Artiles,nicaraguan
Pablo Steiner Jonas,nicaraguan
Orlando García Lorenzo,nicaraguan
Rubén Darío,nicaraguan
Kristina Cordero,nicaraguan
Pedro Xavier Solís,nicaraguan
Guillermo Menocal,nicaraguan
Stephen Henighan,nicaraguan
Valeriano Bozal Fernández,nicaraguan
Leadimiro González,panamanian
Rogelio Fajardo Ureña,panamanian
Enrique Jaramillo Levi,panamanian
César Del Vasto,panamanian
Fernando Burgos,panamanian
Luis Wong Vega,panamanian
Dimas Lidio Pitty,panamanian
Humberto Lopez Cruz,panamanian
Camilo Saavedra Córdoba,panamanian
Tony Fergo,panamanian
Aristides Martínez Ortega,panamanian
Guillermo Sánchez,panamanian
Zary Alleyne,panamanian
"Martínez Ortega, Aristides.",panamanian
Aura A. González B.,panamanian
Eduardo A. Esquivel Ríos.,panamanian
Nolis Boris Góndola Solís,panamanian
Rosa María Britton,panamanian
