sujeto,relacion,objeto
Naked angels,tiene_categoría,Biography
Naked angels,tiene_categoría,American Authors
Naked angels,tiene_categoría,History and criticism
Naked angels,tiene_categoría,"Authors, American"
Naked angels,tiene_categoría,American literature
Naked angels,tiene_categoría,Beat generation
Naked angels,tiene_categoría,Beats (Persons)
Naked angels,tiene_categoría,Bohemianism
Naked angels,tiene_categoría,"Burroughs, william s., 1914-1997"
Naked angels,tiene_categoría,"Ginsberg, allen, 1926-1997"
Margaret Fuller (Marchesa Ossoli),tiene_categoría,Biography
Margaret Fuller (Marchesa Ossoli),tiene_categoría,American Authors
Margaret Fuller (Marchesa Ossoli),tiene_categoría,"Authors, American"
Margaret Fuller (Marchesa Ossoli),tiene_categoría,Feminists
Margaret Fuller (Marchesa Ossoli),tiene_categoría,"Fuller, margaret, 1810-1850"
Mary McCarthy,tiene_categoría,American Authors
Mary McCarthy,tiene_categoría,Criticism and interpretation
Mary McCarthy,tiene_categoría,History
Mary McCarthy,tiene_categoría,Women and literature
Bret Harte,tiene_categoría,Biography
Bret Harte,tiene_categoría,American Authors
Bret Harte,tiene_categoría,"Authors, American"
Bret Harte,tiene_categoría,American Humorists
Bret Harte,tiene_categoría,"Harte, Bret, 1836-1902"
Bret Harte,tiene_categoría,"Humorists, American"
Benjamin Franklin as a man of letters,tiene_categoría,Biography
Benjamin Franklin as a man of letters,tiene_categoría,American Authors
Benjamin Franklin as a man of letters,tiene_categoría,Statesmen
To Jerusalem and back,tiene_categoría,Biography
To Jerusalem and back,tiene_categoría,American Authors
To Jerusalem and back,tiene_categoría,Description and travel
To Jerusalem and back,tiene_categoría,Journeys
To Jerusalem and back,tiene_categoría,Travel
To Jerusalem and back,tiene_categoría,Biografía
To Jerusalem and back,tiene_categoría,Arab-Israeli conflict
To Jerusalem and back,tiene_categoría,Autores americanos
To Jerusalem and back,tiene_categoría,Israel-Arab conflicts
To Jerusalem and back,tiene_categoría,Jewish-Arab relations
Mr. Clemens and Mark Twain,tiene_categoría,Biography
Mr. Clemens and Mark Twain,tiene_categoría,American Authors
Mr. Clemens and Mark Twain,tiene_categoría,"Twain, mark, 1835-1910"
Mr. Clemens and Mark Twain,tiene_categoría,Écrivains américains
Mr. Clemens and Mark Twain,tiene_categoría,Biographies
Mr. Clemens and Mark Twain,tiene_categoría,American Humorists
Mr. Clemens and Mark Twain,tiene_categoría,Journalists
Vladimir Nabokov,tiene_categoría,Biography
Vladimir Nabokov,tiene_categoría,Homes and haunts
Vladimir Nabokov,tiene_categoría,American Authors
Vladimir Nabokov,tiene_categoría,Criticism and interpretation
Vladimir Nabokov,tiene_categoría,American Novelists
Vladimir Nabokov,tiene_categoría,Russian Authors
Vladimir Nabokov,tiene_categoría,New York Times reviewed
Vladimir Nabokov,tiene_categoría,Biographhy
Vladimir Nabokov,tiene_categoría,"Nabokov, vladimir vladimirovich, 1899-1977"
Vladimir Nabokov,tiene_categoría,New york (n.y.)
Walden and Other Writings,tiene_categoría,Biography
Walden and Other Writings,tiene_categoría,Homes and haunts
Walden and Other Writings,tiene_categoría,American Authors
Walden and Other Writings,tiene_categoría,Social life and customs
Walden and Other Writings,tiene_categoría,Solitude
Walden and Other Writings,tiene_categoría,Natural history
Walden and Other Writings,tiene_categoría,Wilderness areas
Walden and Other Writings,tiene_categoría,Description and travel
Walden and Other Writings,tiene_categoría,Civil disobedience
Walden and Other Writings,tiene_categoría,Slavery
Nook Farm,tiene_categoría,Biography
Nook Farm,tiene_categoría,Homes and haunts
Nook Farm,tiene_categoría,American Authors
Nook Farm,tiene_categoría,19th century
Nook Farm,tiene_categoría,Intellectual life
Nook Farm,tiene_categoría,History
Nook Farm,tiene_categoría,"Twain, mark, 1835-1910"
Nook Farm,tiene_categoría,"Authors, american"
Nook Farm,tiene_categoría,Friends and associates
Nook Farm,tiene_categoría,Bibliography
Not Dying,tiene_categoría,Biography
Not Dying,tiene_categoría,American Authors
Not Dying,tiene_categoría,Authorship
Not Dying,tiene_categoría,Autobiographies
The Healing Heart,tiene_categoría,Biography
The Healing Heart,tiene_categoría,American Authors
The Healing Heart,tiene_categoría,Intellectual life
The Healing Heart,tiene_categoría,Patients
The Healing Heart,tiene_categoría,Healing
The Healing Heart,tiene_categoría,Myocardial infarction
The Healing Heart,tiene_categoría,Will
The Healing Heart,tiene_categoría,Psychosomatic aspects of Myocardial infarction
The Healing Heart,tiene_categoría,Psychosomatic Medicine
The Healing Heart,tiene_categoría,Psychological aspects of Myocardial infarction
Notes of A Son and Brother,tiene_categoría,Biography
Notes of A Son and Brother,tiene_categoría,American Authors
Notes of A Son and Brother,tiene_categoría,American fiction (fictional works by one author)
The apprenticeship of Ernest Hemingway,tiene_categoría,Biography
The apprenticeship of Ernest Hemingway,tiene_categoría,American Authors
The apprenticeship of Ernest Hemingway,tiene_categoría,American Novelists
The apprenticeship of Ernest Hemingway,tiene_categoría,Childhood and youth
The apprenticeship of Ernest Hemingway,tiene_categoría,Journalists
The apprenticeship of Ernest Hemingway,tiene_categoría,"Hemingway, ernest, 1899-1961"
The apprenticeship of Ernest Hemingway,tiene_categoría,Journalistic career
The apprenticeship of Ernest Hemingway,tiene_categoría,Career in journalism
The apprenticeship of Ernest Hemingway,tiene_categoría,Journalism
The apprenticeship of Ernest Hemingway,tiene_categoría,Careers
Great Possessions,tiene_categoría,Biography
Great Possessions,tiene_categoría,Homes and haunts
Great Possessions,tiene_categoría,American Authors
Great Possessions,tiene_categoría,Social life and customs
Great Possessions,tiene_categoría,Intellectual life
Great Possessions,tiene_categoría,"Authors, American"
Great Possessions,tiene_categoría,"Authors, biography"
Great Possessions,tiene_categoría,Country life
Great Possessions,tiene_categoría,"Massachusetts, social life and customs"
Great Possessions,tiene_categoría,"Country life, united states"
The best stories of Sarah Orne Jewett,tiene_categoría,American Authors
The best stories of Sarah Orne Jewett,tiene_categoría,Social life and customs
The best stories of Sarah Orne Jewett,tiene_categoría,Fiction
The best stories of Sarah Orne Jewett,tiene_categoría,"Fiction, short stories (single author)"
The best stories of Sarah Orne Jewett,tiene_categoría,Short stories
The best stories of Sarah Orne Jewett,tiene_categoría,Family relationships
The best stories of Sarah Orne Jewett,tiene_categoría,"Fiction, general"
The best stories of Sarah Orne Jewett,tiene_categoría,Mental Depression
The best stories of Sarah Orne Jewett,tiene_categoría,Depressed persons
The best stories of Sarah Orne Jewett,tiene_categoría,Popular works
Neighbor Jackwood,tiene_categoría,American Authors
Long Day's Journey into Night,tiene_categoría,American Authors
Long Day's Journey into Night,tiene_categoría,Social life and customs
Long Day's Journey into Night,tiene_categoría,Dysfunctional families
Long Day's Journey into Night,tiene_categoría,Drama
Long Day's Journey into Night,tiene_categoría,Family
Long Day's Journey into Night,tiene_categoría,Family relationships
Long Day's Journey into Night,tiene_categoría,Families
Long Day's Journey into Night,tiene_categoría,Substance abuse
Long Day's Journey into Night,tiene_categoría,Sick
Long Day's Journey into Night,tiene_categoría,Irish American families
Ralph Waldo Emerson,tiene_categoría,Biography
Ralph Waldo Emerson,tiene_categoría,American Authors
Ralph Waldo Emerson,tiene_categoría,History
Ralph Waldo Emerson,tiene_categoría,Appreciation
Ralph Waldo Emerson,tiene_categoría,Ethics
China to me,tiene_categoría,Biography
China to me,tiene_categoría,Homes and haunts
China to me,tiene_categoría,American Authors
China to me,tiene_categoría,Description and travel
China to me,tiene_categoría,Intellectual life
China to me,tiene_categoría,Americans
China to me,tiene_categoría,American Women authors
China to me,tiene_categoría,"China, description and travel"
China to me,tiene_categoría,"Hahn, emily, 1905-1997"
China to me,tiene_categoría,"China, history"
Maps and legends,tiene_categoría,Biography
Maps and legends,tiene_categoría,Fiction
Maps and legends,tiene_categoría,History and criticism
Maps and legends,tiene_categoría,Literature
Maps and legends,tiene_categoría,Books and reading
Maps and legends,tiene_categoría,Authorship
Maps and legends,tiene_categoría,Appreciation
Maps and legends,tiene_categoría,American authors
Maps and legends,tiene_categoría,Authors and readers
Maps and legends,tiene_categoría,Reader-response criticism
The literary history of Philadelphia,tiene_categoría,Biography
The literary history of Philadelphia,tiene_categoría,Homes and haunts
The literary history of Philadelphia,tiene_categoría,American Authors
The literary history of Philadelphia,tiene_categoría,Intellectual life
The literary history of Philadelphia,tiene_categoría,History and criticism
The literary history of Philadelphia,tiene_categoría,History
The literary history of Philadelphia,tiene_categoría,Literature
The literary history of Philadelphia,tiene_categoría,American literature
The literary history of Philadelphia,tiene_categoría,In literature
Poe and his poetry,tiene_categoría,Biography
Poe and his poetry,tiene_categoría,American Authors
Poe and his poetry,tiene_categoría,History and criticism
Poe and his poetry,tiene_categoría,"Authors, American"
Poe and his poetry,tiene_categoría,American Fantasy poetry
Poe and his poetry,tiene_categoría,"Fantasy poetry, American"
Poe and his poetry,tiene_categoría,Poetic works
D.H. Lawrence and Maurice Magnus,tiene_categoría,Biography
D.H. Lawrence and Maurice Magnus,tiene_categoría,American Authors
D.H. Lawrence and Maurice Magnus,tiene_categoría,Friends and associates
D.H. Lawrence and Maurice Magnus,tiene_categoría,English Authors
D.H. Lawrence and Maurice Magnus,tiene_categoría,Psychological aspects
D.H. Lawrence and Maurice Magnus,tiene_categoría,Authorship
D.H. Lawrence and Maurice Magnus,tiene_categoría,Psychological aspects of Authorship
D.H. Lawrence and Maurice Magnus,tiene_categoría,Psychology
D.H. Lawrence and Maurice Magnus,tiene_categoría,Ethics
D.H. Lawrence and Maurice Magnus,tiene_categoría,Contemporaries
Raising demons,tiene_categoría,Biography
Raising demons,tiene_categoría,American Authors
Raising demons,tiene_categoría,American literature
Raising demons,tiene_categoría,"Authors, biography"
Raising demons,tiene_categoría,"Women, united states, biography"
Raising demons,tiene_categoría,"Vermont, biography"
Underfoot in show business,tiene_categoría,Biography
Underfoot in show business,tiene_categoría,American Authors
Underfoot in show business,tiene_categoría,Correspondence
Underfoot in show business,tiene_categoría,American wit and humor
Underfoot in show business,tiene_categoría,Authors
Underfoot in show business,tiene_categoría,"Authors, biography"
Underfoot in show business,tiene_categoría,Performing arts
Underfoot in show business,tiene_categoría,"Correspondence, reminiscences"
Underfoot in show business,tiene_categoría,Theater
King of the Mild Frontier,tiene_categoría,Biography
King of the Mild Frontier,tiene_categoría,American Authors
King of the Mild Frontier,tiene_categoría,Social life and customs
King of the Mild Frontier,tiene_categoría,Juvenile literature
King of the Mild Frontier,tiene_categoría,Nonfiction
King of the Mild Frontier,tiene_categoría,Authorship
King of the Mild Frontier,tiene_categoría,Juvenile Nonfiction
King of the Mild Frontier,tiene_categoría,Reading Level-Grade 11
King of the Mild Frontier,tiene_categoría,Young adult fiction
King of the Mild Frontier,tiene_categoría,Reading Level-Grade 9
Henry D. Thoreau,tiene_categoría,Biography
Henry D. Thoreau,tiene_categoría,American Authors
Henry D. Thoreau,tiene_categoría,Rocks
Henry D. Thoreau,tiene_categoría,Analysis
McSorley's wonderful saloon,tiene_categoría,American Authors
McSorley's wonderful saloon,tiene_categoría,Social life and customs
McSorley's wonderful saloon,tiene_categoría,Fiction
McSorley's wonderful saloon,tiene_categoría,African Americans
McSorley's wonderful saloon,tiene_categoría,Manners and customs
McSorley's wonderful saloon,tiene_categoría,Eccentrics and eccentricities
McSorley's wonderful saloon,tiene_categoría,Bars (Drinking establishments)
McSorley's wonderful saloon,tiene_categoría,"McSorley's Old Ale House (New York, N.Y.)"
Memoirs,tiene_categoría,Biography
Memoirs,tiene_categoría,American Authors
Two-Part Invention,tiene_categoría,Biography
Two-Part Invention,tiene_categoría,American Authors
Two-Part Invention,tiene_categoría,Écrivains américains
Two-Part Invention,tiene_categoría,Marriage
Two-Part Invention,tiene_categoría,Biographies
Two-Part Invention,tiene_categoría,Married people
Two-Part Invention,tiene_categoría,American Women authors
Two-Part Invention,tiene_categoría,Large type books
Two-Part Invention,tiene_categoría,Actors
Two-Part Invention,tiene_categoría,Mariage
In altre parole,tiene_categoría,Biography
In altre parole,tiene_categoría,American Authors
In altre parole,tiene_categoría,Juvenile literature
In altre parole,tiene_categoría,"Italy, description and travel"
In altre parole,tiene_categoría,"Authors, biography"
In altre parole,tiene_categoría,Interlanguage (language learning)
In altre parole,tiene_categoría,Italian language
In altre parole,tiene_categoría,Second language acquisition
In altre parole,tiene_categoría,Acquisition
In altre parole,tiene_categoría,Jhumpa Lahiri
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,"Matar, Hisham, 1970-"
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,"Matar, Hisham, 1970- -- Travel -- Libya"
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,"Matar, Hisham, 1970- -- Family"
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,"Matar, Jaballa"
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,"Matar, Hisham, 1970- -- Voyages -- Libye"
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,"Novelists, American -- 21st century -- Biography"
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,Fathers and sons -- Biography
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,Missing persons -- Libya
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,Romanciers américains -- 21e siècle -- Biographies
"The Return: Fathers, Sons and the Land in Between",tiene_categoría,Pères et fils -- Biographies
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,Biography
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,American Authors
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,"Authors, American"
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,American Novelists
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,"Authors, biography"
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,Beat generation
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,New York Times reviewed
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,"Burroughs, william s., 1914-1997"
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,Beats (persons)
Literary Outlaw \Use 0370 31586 3\,tiene_categoría,"Novelists, American -- 20th century -- Biography"
Life and letters of John Greenleaf Whittier,tiene_categoría,Biography
Life and letters of John Greenleaf Whittier,tiene_categoría,American Authors
Life and letters of John Greenleaf Whittier,tiene_categoría,Bibliography
Life and Letters of Harriet Beecher Stowe,tiene_categoría,Biography
Life and Letters of Harriet Beecher Stowe,tiene_categoría,American Authors
Life and Letters of Harriet Beecher Stowe,tiene_categoría,Abolitionists
Life and Letters of Harriet Beecher Stowe,tiene_categoría,Reformers
Zelda Fitzgerald,tiene_categoría,American Authors
Zelda Fitzgerald,tiene_categoría,Marriage
Zelda Fitzgerald,tiene_categoría,"Authors, American"
Zelda Fitzgerald,tiene_categoría,Authors' spouses
Zelda Fitzgerald,tiene_categoría,American Women authors
Zelda Fitzgerald,tiene_categoría,Mentally ill women
Zelda Fitzgerald,tiene_categoría,Psychiatric hospital patients
Zelda Fitzgerald,tiene_categoría,Painters
Zelda Fitzgerald,tiene_categoría,Abused women
Zelda Fitzgerald,tiene_categoría,Women painters
The Beet Fields,tiene_categoría,Biography
The Beet Fields,tiene_categoría,American Authors
The Beet Fields,tiene_categoría,"Authors, american"
The Beet Fields,tiene_categoría,Juvenile literature
The Beet Fields,tiene_categoría,Childhood and youth
The Beet Fields,tiene_categoría,"Authors, juvenile literature"
The Beet Fields,tiene_categoría,Teenage boys
The Beet Fields,tiene_categoría,Adolescence
The Beet Fields,tiene_categoría,Carnivals
The Beet Fields,tiene_categoría,Homeless teenagers
Finding Iris Chang,tiene_categoría,Biography
Finding Iris Chang,tiene_categoría,American Authors
Finding Iris Chang,tiene_categoría,Women authors
Finding Iris Chang,tiene_categoría,"Authors, biography"
Finding Iris Chang,tiene_categoría,American Women authors
Finding Iris Chang,tiene_categoría,American authors
Finding Iris Chang,tiene_categoría,Mental health
Finding Iris Chang,tiene_categoría,Mentally ill
Finding Iris Chang,tiene_categoría,Chinese americans
Finding Iris Chang,tiene_categoría,Chinese American women
The bridge across forever,tiene_categoría,Biography
The bridge across forever,tiene_categoría,American Authors
The bridge across forever,tiene_categoría,"Authors, american"
The bridge across forever,tiene_categoría,Marriage
The bridge across forever,tiene_categoría,Large type books
The bridge across forever,tiene_categoría,Relations with women
We took to the woods,tiene_categoría,American Authors
We took to the woods,tiene_categoría,Description and travel
We took to the woods,tiene_categoría,Travel
We took to the woods,tiene_categoría,Country life
We took to the woods,tiene_categoría,"Fiction, general"
We took to the woods,tiene_categoría,"Maine, description and travel"
We took to the woods,tiene_categoría,Imprints (Publishers' and printers' statements)
Fear of Fifty,tiene_categoría,Biography
Fear of Fifty,tiene_categoría,American Authors
Fear of Fifty,tiene_categoría,Women authors
Fear of Fifty,tiene_categoría,"Authors, american"
Fear of Fifty,tiene_categoría,Nonfiction
Fear of Fifty,tiene_categoría,Biography & Autobiography
Fear of Fifty,tiene_categoría,American Women authors
Fear of Fifty,tiene_categoría,"Women, biography"
Fear of Fifty,tiene_categoría,"Women, united states, biography"
Fear of Fifty,tiene_categoría,Middle-aged women
The Home Ranch,tiene_categoría,Biography
The Home Ranch,tiene_categoría,American Authors
The Home Ranch,tiene_categoría,Fiction
The Home Ranch,tiene_categoría,Écrivains américains
The Home Ranch,tiene_categoría,Biographies
The Home Ranch,tiene_categoría,Ranch life
The Home Ranch,tiene_categoría,"Fiction, westerns"
The Home Ranch,tiene_categoría,"West (u.s.), fiction"
The Home Ranch,tiene_categoría,Vie au ranch
China men,tiene_categoría,Biography
China men,tiene_categoría,American Authors
China men,tiene_categoría,Social life and customs
China men,tiene_categoría,History
China men,tiene_categoría,Family
China men,tiene_categoría,Biografía
China men,tiene_categoría,Chinese Americans
China men,tiene_categoría,Chinese in the United States
China men,tiene_categoría,Chino
China men,tiene_categoría,Americanos
James Fenimore Cooper,tiene_categoría,Biography
James Fenimore Cooper,tiene_categoría,American Authors
James Fenimore Cooper,tiene_categoría,"Cooper, James Fenimore, 1789-1851"
The cat and the curmudgeon,tiene_categoría,Biography
The cat and the curmudgeon,tiene_categoría,American Authors
The cat and the curmudgeon,tiene_categoría,"Authors, american"
The cat and the curmudgeon,tiene_categoría,Anecdotes
The cat and the curmudgeon,tiene_categoría,Cats
The cat and the curmudgeon,tiene_categoría,Cat owners
The cat and the curmudgeon,tiene_categoría,"Cats, legends and stories"
The cat and the curmudgeon,tiene_categoría,Human-animal relationships
"Brother, I'm dying",tiene_categoría,Biography
"Brother, I'm dying",tiene_categoría,American Authors
"Brother, I'm dying",tiene_categoría,Nonfiction
"Brother, I'm dying",tiene_categoría,"Authors, American"
"Brother, I'm dying",tiene_categoría,Biography & Autobiography
"Brother, I'm dying",tiene_categoría,Social conditions
"Brother, I'm dying",tiene_categoría,Family
"Brother, I'm dying",tiene_categoría,Families
"Brother, I'm dying",tiene_categoría,Uncles
"Brother, I'm dying",tiene_categoría,Emigration and immigration
American outpost,tiene_categoría,Biography
American outpost,tiene_categoría,American Authors
American Hunger,tiene_categoría,Biography
American Hunger,tiene_categoría,American Authors
American Hunger,tiene_categoría,Écrivains américains
American Hunger,tiene_categoría,Biographies
American Hunger,tiene_categoría,"Authors, American"
American Hunger,tiene_categoría,African Americans
American Hunger,tiene_categoría,Social conditions
American Hunger,tiene_categoría,Reading Level-Grade 9
American Hunger,tiene_categoría,"Wright, Richard, 1908-1960"
American Hunger,tiene_categoría,Afro-Americans
Self-consciousness,tiene_categoría,Biography
Self-consciousness,tiene_categoría,American Authors
Self-consciousness,tiene_categoría,Biographies
Self-consciousness,tiene_categoría,American Novelists
Self-consciousness,tiene_categoría,"Authors, biography"
Self-consciousness,tiene_categoría,Autobiographie
Self-consciousness,tiene_categoría,Biographie
Self-consciousness,tiene_categoría,New York Times reviewed
Self-consciousness,tiene_categoría,Romanciers américains
Self-consciousness,tiene_categoría,"Updike, john, 1932-2009"
A Little Original Sin,tiene_categoría,Biography
A Little Original Sin,tiene_categoría,American Authors
A Little Original Sin,tiene_categoría,Social life and customs
A Little Original Sin,tiene_categoría,Women authors
A Little Original Sin,tiene_categoría,Americans
A Little Original Sin,tiene_categoría,American Women authors
A Little Original Sin,tiene_categoría,"Women, biography"
A Little Original Sin,tiene_categoría,"Fiction, general"
A Little Original Sin,tiene_categoría,Manners and customs
A Little Original Sin,tiene_categoría,"Americans, foreign countries"
Thornton Wilder,tiene_categoría,Biography
Thornton Wilder,tiene_categoría,American Authors
Thornton Wilder,tiene_categoría,"Wilder, thornton, 1897-1975"
Robert Graves,tiene_categoría,American Authors
Robert Graves,tiene_categoría,"Authors, American"
Robert Graves,tiene_categoría,Childhood and youth
Robert Graves,tiene_categoría,Youth
Robert Graves,tiene_categoría,English Authors
Robert Graves,tiene_categoría,"Authors, English"
Robert Graves,tiene_categoría,Robert Graves
Robert Graves,tiene_categoría,Laura Riding Jackson
Robert Graves,tiene_categoría,Relations with men
Robert Graves,tiene_categoría,Relations and women
Mark Twain's Own Autobiography,tiene_categoría,Biography
Mark Twain's Own Autobiography,tiene_categoría,American Authors
Mark Twain's Own Autobiography,tiene_categoría,"Twain, mark, 1835-1910"
Mark Twain's Own Autobiography,tiene_categoría,American Humorists
Life in letters of William Dean Howells,tiene_categoría,American Authors
Life in letters of William Dean Howells,tiene_categoría,Correspondence
Life in letters of William Dean Howells,tiene_categoría,Bibliography
The life of Emerson,tiene_categoría,Biography
The life of Emerson,tiene_categoría,American Authors
Letters to various persons,tiene_categoría,American Authors
Letters to various persons,tiene_categoría,Correspondence
Letters to various persons,tiene_categoría,Naturalists
Letters to various persons,tiene_categoría,Intellectuals
Peau,tiene_categoría,Biography
Peau,tiene_categoría,American Authors
Peau,tiene_categoría,Social life and customs
Peau,tiene_categoría,Lesbians
Peau,tiene_categoría,"Authors, American"
Peau,tiene_categoría,American Women authors
Peau,tiene_categoría,Feminists
Peau,tiene_categoría,Literary collections
Peau,tiene_categoría,Gay and lesbian studies
Peau,tiene_categoría,LGBTQ short stories
Testament of friendship,tiene_categoría,Biography
Testament of friendship,tiene_categoría,American Authors
Testament of friendship,tiene_categoría,Friends and associates
Testament of friendship,tiene_categoría,English Authors
Testament of friendship,tiene_categoría,Journalists
Testament of friendship,tiene_categoría,English Novelists
Testament of friendship,tiene_categoría,"Authors, English"
Testament of friendship,tiene_categoría,"Novelists, English"
Testament of friendship,tiene_categoría,"Brittain, vera, 1893-1970"
Testament of friendship,tiene_categoría,"Journalists, biography"
"American bookmen; sketches, chiefly biographical, of certain writers of the nineteenth century",tiene_categoría,Biography
"American bookmen; sketches, chiefly biographical, of certain writers of the nineteenth century",tiene_categoría,American Authors
"American bookmen; sketches, chiefly biographical, of certain writers of the nineteenth century",tiene_categoría,History and criticism
"American bookmen; sketches, chiefly biographical, of certain writers of the nineteenth century",tiene_categoría,"Authors, American"
"American bookmen; sketches, chiefly biographical, of certain writers of the nineteenth century",tiene_categoría,American literature
Palimpsest,tiene_categoría,Biography
Palimpsest,tiene_categoría,American Authors
Palimpsest,tiene_categoría,"Authors, biography"
Palimpsest,tiene_categoría,New York Times reviewed
Palimpsest,tiene_categoría,"Vidal, gore, 1925-2012"
The Spine of the World,tiene_categoría,Fiction
The Spine of the World,tiene_categoría,Epic
The Spine of the World,tiene_categoría,Elves
The Spine of the World,tiene_categoría,Fantasy
The Spine of the World,tiene_categoría,american fantasy
The Spine of the World,tiene_categoría,Secret societies in fiction
The Spine of the World,tiene_categoría,Elves in fiction
The Spine of the World,tiene_categoría,Secret societies
The Spine of the World,tiene_categoría,Epic Fantasy
The Spine of the World,tiene_categoría,american authors
Présences contemporaines,tiene_categoría,American Authors
Présences contemporaines,tiene_categoría,History and criticism
Présences contemporaines,tiene_categoría,American literature
Présences contemporaines,tiene_categoría,Histoire et critique
Présences contemporaines,tiene_categoría,American fiction
Présences contemporaines,tiene_categoría,Bio-bibliography
Présences contemporaines,tiene_categoría,Biobibliographie
Présences contemporaines,tiene_categoría,French literature
Présences contemporaines,tiene_categoría,Littérature française
Through the shadows with O. Henry,tiene_categoría,Biography
Through the shadows with O. Henry,tiene_categoría,American Authors
Through the shadows with O. Henry,tiene_categoría,"Authors, american"
Through the shadows with O. Henry,tiene_categoría,Friends and associates
Through the shadows with O. Henry,tiene_categoría,Prisoners
Through the shadows with O. Henry,tiene_categoría,Outlaws
Through the shadows with O. Henry,tiene_categoría,Fugitives from justice
Through the shadows with O. Henry,tiene_categoría,"Henry, o., 1862-1910"
Through the shadows with O. Henry,tiene_categoría,"Prisoners, united states"
The Oxford companion to English literature,tiene_categoría,Intellectual life
The Oxford companion to English literature,tiene_categoría,American literature
The Oxford companion to English literature,tiene_categoría,Littérature américaine
The Oxford companion to English literature,tiene_categoría,English literature
The Oxford companion to English literature,tiene_categoría,Bio-bibliography
The Oxford companion to English literature,tiene_categoría,Dictionaries
The Oxford companion to English literature,tiene_categoría,Encyclopedias
The Oxford companion to English literature,tiene_categoría,Literatura americana Bio bibliografía
The Oxford companion to English literature,tiene_categoría,Literatura inglesa
The Oxford companion to English literature,tiene_categoría,"Diccionarios, índices"
Wild Heart,tiene_categoría,Biography
Wild Heart,tiene_categoría,Homes and haunts
Wild Heart,tiene_categoría,American Authors
Wild Heart,tiene_categoría,Intellectual life
Wild Heart,tiene_categoría,History
Wild Heart,tiene_categoría,Americans
Wild Heart,tiene_categoría,"Authors, American"
Wild Heart,tiene_categoría,Biography & Autobiography
Wild Heart,tiene_categoría,French Authors
Wild Heart,tiene_categoría,"Authors, French"
Stitches,tiene_categoría,Biography
Stitches,tiene_categoría,American Authors
Stitches,tiene_categoría,Children's stories
Stitches,tiene_categoría,Family
Stitches,tiene_categoría,Authorship
Stitches,tiene_categoría,Artists
Stitches,tiene_categoría,Illustrations
Stitches,tiene_categoría,"Comic books, strips"
Stitches,tiene_categoría,Cancer
Stitches,tiene_categoría,Graphic novels
Adventures of David Grayson [pseud.],tiene_categoría,Biography
Adventures of David Grayson [pseud.],tiene_categoría,American Authors
Adventures of David Grayson [pseud.],tiene_categoría,Country life
Adventures of David Grayson [pseud.],tiene_categoría,Friendship
Adventures of David Grayson [pseud.],tiene_categoría,Adventures in contentment
Adventures of David Grayson [pseud.],tiene_categoría,Adventures in friendship
Adventures of David Grayson [pseud.],tiene_categoría,Friendly road
Adventures of David Grayson [pseud.],tiene_categoría,Contentment
The letters of Washington Irving to Henry Brevoort,tiene_categoría,American Authors
The letters of Washington Irving to Henry Brevoort,tiene_categoría,Correspondence
A dictionary of American authors,tiene_categoría,Biography
A dictionary of American authors,tiene_categoría,American Authors
A dictionary of American authors,tiene_categoría,American literature
A dictionary of American authors,tiene_categoría,Bibliography
A dictionary of American authors,tiene_categoría,Biografie
A dictionary of American authors,tiene_categoría,Bio-bibliography
A dictionary of American authors,tiene_categoría,Dictionaries
A dictionary of American authors,tiene_categoría,America
A dictionary of American authors,tiene_categoría,Schriftsteller
A dictionary of American authors,tiene_categoría,Schrijvers
Jack Kerouac,tiene_categoría,Biography
Jack Kerouac,tiene_categoría,American Authors
Jack Kerouac,tiene_categoría,Correspondence
Jack Kerouac,tiene_categoría,"Authors, American"
Jack Kerouac,tiene_categoría,"Authors, biography"
Jack Kerouac,tiene_categoría,20th century
Jack Kerouac,tiene_categoría,Beat generation
Jack Kerouac,tiene_categoría,"Authors, correspondence"
Jack Kerouac,tiene_categoría,Beats (Persons)
Jack Kerouac,tiene_categoría,"Kerouac, jack, 1922-1969"
Biography Today,tiene_categoría,Biography
Biography Today,tiene_categoría,American Authors
Biography Today,tiene_categoría,Juvenile literature
Biography Today,tiene_categoría,Authors
Biography Today,tiene_categoría,Celebrities
Biography Today,tiene_categoría,Juvenile Dictionaries
Biography Today,tiene_categoría,Athletes
Our short story writers,tiene_categoría,American Authors
Our short story writers,tiene_categoría,History and criticism
Our short story writers,tiene_categoría,American Short stories
Some letters of William Vaughn Moody,tiene_categoría,Biography
