Obra,Relación,Tema
Federico Garcia Lorca,tiene_como_tema,Criticism and interpretation
"Sueños De Frontera, Desvanecidos Difuntos, Adios, Madrid / Border Dreams, Vanished Deceased, Goodbye, Madrid (Crimen y Misterio)",tiene_como_tema,Fiction - Mystery/ Detective
Los actos administrativos de las personas privadas y otros temas de derecho administrativo,tiene_como_tema,Administrative law -- Venezuela.
El nacionalismo argentino,tiene_como_tema,Nationalism -- Argentina.
Tres narradores agonizantes,tiene_como_tema,Cuban fiction
Implicaciones económicas de los Tratados Carter-Torrijos,tiene_como_tema,United States. Panama Canal Commission.
"Sucre, biografía del gran mariscal",tiene_como_tema,Presidents -- Bolivia -- Biography
El siglo de Figueres,tiene_como_tema,Biography
Trujillo y las fuerzas armadas norteamericanas,tiene_como_tema,United States. Marine Corps -- Political activity -- History -- 20th century.
Vitae Mahometi.,tiene_como_tema,Christianity
Trujillo El Tiranicidio De 1961,tiene_como_tema,"Trujillo Molina, Rafael Leónidas, -- 1891-1961 -- Assassination"
La prueba documental y los medios e instrumentos idóneos para reproducir imágenes o sonidos o archivar y conocer datos,tiene_como_tema,Documentary Evidence
Mujeres escritoras en la prensa andaluza del siglo XX (1900-1950),tiene_como_tema,Women journalists -- Spain -- Andalusia -- Bio-bibliography.
Literatura de las revoluciones en México,tiene_como_tema,"Historical fiction, Mexican -- History and criticism."
"Masones, comuneros y carbonarios",tiene_como_tema,Spain -- History -- 19th century -- Sources.
On the front line,tiene_como_tema,South America
La unidad submarina,tiene_como_tema,West Indian poetry (English)
"Organismos agrícolas, pecuarios y forestales colombianos y sus siglas",tiene_como_tema,"Forests and forestry -- Colombia -- Societies, etc. -- Directories."
La Fabula de Jose,tiene_como_tema,Fiction - General
Guiteras,tiene_como_tema,Politics and government
Puerto Rico ante la Conferencia interamericana de abogados,tiene_como_tema,Puerto Rico -- Relations -- United States.
El árbol y su sombra,tiene_como_tema,Spanish literature
"Culpas viejas, mujeres nuevas",tiene_como_tema,Women
Los Municipios de Jalisco,tiene_como_tema,Cities and towns
Guía para las Obras completas de Martí,tiene_como_tema,"Martí, José, -- 1853-1895."
El corazón y su avispero,tiene_como_tema,Poesía mexicana.
Héctor desaparecido,tiene_como_tema,Personas desaparecidas
"Ereccion del Consulado de Montevideo, reales cedulas y superiores resoluciones que le sirven de regla",tiene_como_tema,Politics and government
Américo Lugo,tiene_como_tema,History
Guerra en España,tiene_como_tema,Spanish poetry -- 20th century
El maniático hombre de la bacinica,tiene_como_tema,Fiction - Fantasy
Historia del azúcar en El Salvador,tiene_como_tema,Sugar growing
Nino Que Buscaba a Ayer/Boy Who Searched for Yesterday (Encuento/Literary Encounters),tiene_como_tema,Religious - General
Ave sin nido,tiene_como_tema,"Castillo, Eliseo, 1879-1927."
Canto a la naturaleza,tiene_como_tema,Nature -- Religious aspects.
Biografía común y corriente,tiene_como_tema,"Solís, Armando, 1940-"
Ataca Oaxaca,tiene_como_tema,Teachers -- Mexico -- Oaxaca -- Political activity
Cartas,tiene_como_tema,"Authors, Cuban -- 20th century -- Correspondence."
El pie de mi padre,tiene_como_tema,Fiction - General
Módulo 104,tiene_como_tema,Prisons
Guía de las Actas de Cabildo de la Ciudad de México,tiene_como_tema,Mexico City (Mexico)
Rostros y rastros,tiene_como_tema,Biography
Investigación Educativa,tiene_como_tema,Education
República Dominicana,tiene_como_tema,"Short stories, Dominican"
Cultura política y elecciones federales de 1994 en Nayarit,tiene_como_tema,Nayarit (Mexico) -- Politics and government.
La Biblioteca Nacional,tiene_como_tema,Biblioteca Nacional de México -- History
Premio Guy Pérez Cisneros,tiene_como_tema,Cuban Art
La Sorpresa De Mama Coneja / A Surprise for Mother Rabbit (Cuentos Para Todo El Ano / Stories the Year 'round),tiene_como_tema,Spanish: Grades 1-2
Shakespeare y otros clásicos contemporáneos,tiene_como_tema,Mexican drama
Colonia trinitaria de Túnez,tiene_como_tema,Tunisia -- History -- 1516-1881.
Del Monstruo Considerado Como Una De Las Bellas Artes/ of the Monster Considered As One of the Arts,tiene_como_tema,Art
Oficio de revelar,tiene_como_tema,"Carpentier, Alejo, -- 1904- -- Criticism and interpretation."
El Taller De Las Mariposas/ the Butterfly Workshop,tiene_como_tema,Animals - Insects  Spiders  etc.
Los caminos poéticos del lenguaje,tiene_como_tema,"Style, Literary."
How the García girls lost their accents,tiene_como_tema,Dominican Americans -- Fiction
Método y práctica semiótica,tiene_como_tema,Motion pictures
La mujer y la moda,tiene_como_tema,Fashion.
Almería,tiene_como_tema,Antologías
Ensayo De Contraconquista,tiene_como_tema,Fiction
Cuadros de México,tiene_como_tema,Mexico -- History.
La región más transparente,tiene_como_tema,Fiction
El Paso Del Ganso,tiene_como_tema,Spanish language
Pinturas murales en los conventos mexicanos del siglo XVI,tiene_como_tema,Decoration and ornament -- Mexico.
Diccionario de derecho penal,tiene_como_tema,Criminal law -- Colombia -- Dictionaries -- Spanish
Sintesis geografica de Chile,tiene_como_tema,Human geography
Atrapadas en la madre,tiene_como_tema,Motherhood -- Fiction.
Gobernantes de Nuevo León,tiene_como_tema,Governors -- Mexico -- Nuevo León (State) -- History -- Chronology.
"The art of gold, the legacy of Pre-Hispanic Colombia",tiene_como_tema,Museo del Oro (Banco de la Repâublica)
En el mejor de los mundos,tiene_como_tema,"Díaz Valcárcel, Emilio."
El payador y antología de poesía y prosa,tiene_como_tema,Gauchos -- Argentina
José Lezama Lima,tiene_como_tema,"Authors, Cuban -- Interviews."
Andariegos y pobladores,tiene_como_tema,"Mexico -- History -- Spanish colony, 1540-1810 -- Biography -- Dictionaries -- Spanish."
El Palacio De Las Blanquisimas Mofetas/the Palace of the Whitest Skunks,tiene_como_tema,Fiction - General
Albur,tiene_como_tema,"Arts, Cuban -- 20th century."
Conversar es amar,tiene_como_tema,Cuban Authors
La sabiduria de los cuentos/ The Wisdom of the Stories,tiene_como_tema,General
"""Cultivo una rosa blanca"" Antología",tiene_como_tema,"Children's poetry, Spanish"
Biografia del poder/A Biography of Power,tiene_como_tema,History - General History
"Viajes (En tierra yankee, En la Europa latina)",tiene_como_tema,Rome (Italy) -- Description and travel
Claude Lévi-Strauss o el nuevo festín de Esopo,tiene_como_tema,"Lévi-Strauss, Claude."
"Protagonista, el consumidor",tiene_como_tema,Consumer protection -- Spain.
Ciudades desiertas/ Deserted Cities (Contemporanea/ Contemporary),tiene_como_tema,Humorous
Testimonio desde dentro,tiene_como_tema,"Torriente, Loló de la, 1906-1983."
Revisión de los contratos por circunstancias sobrevinientes,tiene_como_tema,Novation -- Chile
Los movimientos sociales,tiene_como_tema,Movimientos sociales
El Materialismo Histerico/hysteric Materialism,tiene_como_tema,Urban Life
De la tierra al cielo,tiene_como_tema,Exhibitions
Estudiantina de la gran vía a la calle Alcalá,tiene_como_tema,Physicians -- Puerto Rico -- Biography.
Un modelo macroeconométrico trimestral para la economía española,tiene_como_tema,Politique économique
"Colorín, colorado",tiene_como_tema,Folklore
Los Escritores indígenas actuales,tiene_como_tema,Indians of Mexico -- Languages -- Texts
Haz y envés del mismo espejo,tiene_como_tema,Criticism and interpretation
"Psiquiatría, salud mental y trabajo social",tiene_como_tema,Social psychiatry.
Flor De Juego Antiguos/old Flower Juice,tiene_como_tema,Historical - Other
Historiografía e identidad y otros ensayos de filosofía de la historia mexicana,tiene_como_tema,Nationalism and historiography
Capitalismo social vs. liberalismo feroz,tiene_como_tema,Latin America -- Economic conditions -- 1982-
Popol vuh,tiene_como_tema,Quiché mythology
Jose Lezama Lima,tiene_como_tema,Caribbean & Latin American
Breve noticia de algunos manuscritos de interés histórico para México,tiene_como_tema,"Manuscripts, Spanish American."
Objetivo,tiene_como_tema,FICTION
Trilogia Historica De Mexico,tiene_como_tema,General
Museo De Las Américas 25 años,tiene_como_tema,Catalogs
Enriqueta Ochoa,tiene_como_tema,Goddesses in literature
Cartas a Celestino Gorostiza,tiene_como_tema,"Gorostiza, Celestino -- Correspondence"
Un manuscrito inédito de poesías de José Joaquín Fernández de Lizardi,tiene_como_tema,"Fernández de Lizardi, José Joaquín, -- 1776-1827 -- Manuscripts -- Facsimiles."
La enseñanza de la literatura,tiene_como_tema,Literature
Los Presidentes/ The Presidents,tiene_como_tema,History & Theory - General
Nayarit al final del milenio,tiene_como_tema,Nayarit (Mexico) -- Social life and customs.
Lýstima De Cuba,tiene_como_tema,Humor / Cartoons
La élite piurana y la independencia del Perú,tiene_como_tema,Political activity
Pequeña Habana en medio de las sabanas,tiene_como_tema,Anecdotes
Prontuario del proceso penal mexicano,tiene_como_tema,Criminal procedure -- Mexico -- Forms.
"Literatura, ideología y sociedad en Puerto Rico",tiene_como_tema,"Authors, Puerto Rican -- Political and social views."
Historiografía e identidad y otros ensayos de filosofía de la historia mexicana,tiene_como_tema,Philosophy
De cómo las muchachas García perdieron el acento,tiene_como_tema,Fiction
Artículos y conferencias,tiene_como_tema,Dominican Republic -- Politics and government -- 1961-
Perfil del español dominicano,tiene_como_tema,Linguistic geography
Tribunales extranjeros reconocen el indiscutible derecho con que México expropió los intereses petroleros,tiene_como_tema,Eminent domain -- Mexico.
"Camín, escultor",tiene_como_tema,"Rubio Camín, Joaquín, 1929-  -- Criticism and interpretation."
"Enrique Díez-Canedo, Alfonso Reyes",tiene_como_tema,Spanish Authors
Yemaya y Ochún,tiene_como_tema,Blacks -- Cuba -- Religion.
"Cincuenta años de democracia y desarrollo dominicano, 1961-2011",tiene_como_tema,Social conditions
El Negro en la literatura folklórica cubana,tiene_como_tema,Black people
Principios del derecho administrativo en la Ley general de la administración pública,tiene_como_tema,Administrative law -- Costa Rica.
Poesía,tiene_como_tema,"Poets, Chilean."
Tratado de la venta,tiene_como_tema,Vendors and purchasers
La provincia de López Velarde,tiene_como_tema,"López Velarde, Ramón, 1888-1921 -- Criticism and interpretation."
El Libro del consejo,tiene_como_tema,Guatemala -- Antiquities.
El libro de los pobres,tiene_como_tema,Costa Rican literature
Lecturas de juventud,tiene_como_tema,History and criticism
Cuando Tia Lola Vino De Visita a Quedarse/How Tia Lola Came to Visit Stay,tiene_como_tema,Fiction
Episodios nacionales,tiene_como_tema,"Mexico -- History -- European intervention, 1861-1867 -- Fiction."
Agora sor Juana,tiene_como_tema,Public sculpture -- Mexico -- Zapopan.
Yum! mmmm! qué rico!,tiene_como_tema,"Children's poetry, American -- Translations into Spanish"
El filo del ideal,tiene_como_tema,Spain -- Description and travel
Tierra y Libertad,tiene_como_tema,Cinema/Film: Book
Pure De Papas/ Mashed Potatoes,tiene_como_tema,Reference
Joseph Cornell,tiene_como_tema,"Collage, American"
Quiroga y Benedetti,tiene_como_tema,Proletariat in literature
La integración de la agricultura española en la Comunidad Europea,tiene_como_tema,European Economic Community -- Spain.
Estudios en honor de Janet Pérez,tiene_como_tema,Spanish American literature -- Women authors -- History and criticism
Otras Maneras De Contar / Other Ways to Tell a Tale,tiene_como_tema,General
Poesía y conocimiento,tiene_como_tema,"Paz, Octavio, 1914-  -- Criticism and interpretation."
Tres leyendas de colores,tiene_como_tema,Black people
José Alvarado en el recuerdo,tiene_como_tema,"Alvarado, José, 1911-1974 -- Childhood and youth."
Los Tres grandes,tiene_como_tema,Nicaraguan poetry -- 20th century.
"Etnicidad, acción colectiva y resistencia",tiene_como_tema,Human geography
Cuatro filósofos y lo sagrado,tiene_como_tema,"Wittgenstein, Ludwig, 1889-1951."
El Huanca y la cruz,tiene_como_tema,Religious life and customs
Manuel Gutiérrez Nájera y sus cuentos,tiene_como_tema,Foreign Language Study
La emoción histórica en la prosa de Martí,tiene_como_tema,"Martí, José, 1853-1895 -- Criticism and interpretation."
La redención de las provincias,tiene_como_tema,Spain -- Politics and government -- 1886-1931
Francisco Ayala y el mundo clásico,tiene_como_tema,Criticism and interpretation
Amigos que ya no están,tiene_como_tema,Cubans
Conversación con José Luis González,tiene_como_tema,"Authors, Puerto Rican -- 20th century -- Interviews."
"Variaciones Sobre El Pajaro Y La Red, Precedido De La Piedra Y El Centro",tiene_como_tema,Mysticism and poetry.
Las insulas extrañas,tiene_como_tema,"Authors, Nicaraguan -- 20th century -- Biography"
Caciques heroicos de Centroamérica ; Rebelión indígena de Matagalpa en 1881 y expulsión de los jesuítas,tiene_como_tema,Jesuits -- Missions -- Nicaragua -- Matagalpa.
El gran circo del mundo =,tiene_como_tema,"Authors, Mexican"
Sed de mal,tiene_como_tema,Youth and violence
El rasguño en la piedra,tiene_como_tema,Social life and customs
Fuentes para el estudio de Nayarit,tiene_como_tema,Nayarit (Mexico) -- Bibliography.
Miscelánea huasteca,tiene_como_tema,Civilization
Conoce a José Martí,tiene_como_tema,Novela juvenil
Cómo estudiar el cuento,tiene_como_tema,Motion picture plays -- Technique.
Salvador Toscano,tiene_como_tema,"Toscano, Salvador, 1872-1947."
Los mejores poemas mexicanos,tiene_como_tema,Non-Classifiable
Los Años Con Laura Diaz,tiene_como_tema,Spanish: Adult Fiction
Identidad y cultura en Centroamérica,tiene_como_tema,Politics and culture
"Carlos Baliño, primer pensador marxista cubano",tiene_como_tema,"Baliño, Carlos, -- 1848-1926 -- Political and social views"
Exaltación de Honduras,tiene_como_tema,Honduran poetry.
La guitarra en Castilla-La Mancha,tiene_como_tema,Guitarists -- Spain -- Castilla-La Mancha -- Biography -- Dictionaries.
"Fray Margil de Jesús, apóstol de América",tiene_como_tema,Missions -- Mexico
Los jóvenes mexicanos,tiene_como_tema,Crimes against
El diario secreto de la intervención norteamericana de 1965,tiene_como_tema,Dominican Republic -- Foreign relations -- United States.
Rubén Darío y Víctor Hugo,tiene_como_tema,"Authors, Nicaraguan -- 20th century -- Biography."
El Nino Que Conversaba Con La Mar/the Boy Who Talked To The Sea (Edebe Tucan),tiene_como_tema,Spanish: Young Adult (Gr. 7-9)
Cuentos eróticos de verano,tiene_como_tema,Spanish American fiction -- 20th century.
"Rafael Heliodoro Valle, humanista de America",tiene_como_tema,"Valle, Rafael Heliodoro, -- 1891-1959 -- Criticism and interpretation."
Educación y cultura,tiene_como_tema,Educational innovations
La acción de la CIA en el Perú,tiene_como_tema,Subversive activities
Por un país al alcance de los niños,tiene_como_tema,Pictorial works
Conversaciones con José Revueltas,tiene_como_tema,"Authors, Mexican -- 20th century -- Interviews."
Fragmentos de una correspondencia,tiene_como_tema,"Asturias, Miguel Angel -- Correspondence."
Mujeres en la vida de Hostos,tiene_como_tema,"Authors, Puerto Rican -- 19th century -- Biography."
What Are Ghosts Afraid of (Stories the Year Round (Audio)) (Stories the Year 'round),tiene_como_tema,Children's Audio - 4-8
"Martí, amigo y compañero",tiene_como_tema,"Martí, José, 1853-1895."
Güigüe,tiene_como_tema,Geography
Crónicas de una ciudad ganada,tiene_como_tema,Mexico City Metropolitan Area (Mexico) -- Environmental conditions.
Literatura hispanoamericana,tiene_como_tema,Literatura azteca -- México -- Historia
Esteban de la Cueva de la Brambila,tiene_como_tema,Physicians -- Mexico -- Biography.
La reconstitución de la convivencia pacífica,tiene_como_tema,Internal security
Guerra al pie de los volcanes,tiene_como_tema,Huejotzingo (Mexico) -- Social life and customs.
Diccionario de literatura puertorriqueña,tiene_como_tema,Puerto Rican literature -- History and criticism
Obras históricas,tiene_como_tema,History
Asesinato,tiene_como_tema,"Fernández Izquierdo, Asunción"
El fraude de subvenciones,tiene_como_tema,Subsidies -- Law and legislation -- Spain -- Criminal provisions.
Historia social de la literatura española (en lengua castellana),tiene_como_tema,Social History
Poeta en Nueva York,tiene_como_tema,General
"El hombre entre la guerra y la paz [por] Santiago Genovés, en colaboración con Tomás Segovia",tiene_como_tema,Social psychology
Nutrición prehispánica en la costa sur de Guatemala,tiene_como_tema,Central American Indians
500 Anos Fregados Pero Cristianos,tiene_como_tema,Caribbean & Latin American
El inquisidor general Fernando de Valdés (1483-1568),tiene_como_tema,"Valdés, Fernando de, -- 1483-1568"
Honduras,tiene_como_tema,"Honduras -- History, Local."
Hacia una nueva educación en Nicaragua,tiene_como_tema,"Sandino, Augusto César, 1895-1934."
Seis ensayos en busca de nuestra expresión,tiene_como_tema,Spanish American literature
Los Convidados De Agosto,tiene_como_tema,Fiction
Historia de nuestras calamidades,tiene_como_tema,Puerto Rico -- History -- To 1898.
"El emisario, o, La lección de los animales",tiene_como_tema,Fiction
"En Granada, su Granada...",tiene_como_tema,Granada (Spain) -- Guidebooks.
Por el camino de Proust,tiene_como_tema,"Proust, Marcel, 1871-1922 -- Criticism and interpretation."
La reinvención de Ariel,tiene_como_tema,Humanism in literature
"Epistolario Alfonso Reyes, José M.a Chacón",tiene_como_tema,"Chacón y Calvo, José María, 1893-1969."
Imágenes cruzadas México y España,tiene_como_tema,Radio broadcasting -- Spain -- History.
"Códice mendocino, ó, Colección de Mendoza",tiene_como_tema,"Manuscripts, Nahuatl -- Facsimiles."
Mexicali,tiene_como_tema,"Trujillo Muñoz, Gabriel, 1958-"
Lenguaje y poder en Pedro Páramo,tiene_como_tema,Power (Social sciences) in literature.
Vislumbrar ciudadanía,tiene_como_tema,"Youth -- Mexico, North -- Political activity"
Cuando el arte muera,tiene_como_tema,"Aesthetics -- Addresses, essays, lectures"
El periodismo en Honduras,tiene_como_tema,Honduran newspapers -- Bibliography
"La nigromancia resucitada, o sea, El magnetismo, el sonambulismo y el espiritismo",tiene_como_tema,Magic
Las Mil Y Una...LA Herida De Paulina/the Thousands and One...Paulina's Wound,tiene_como_tema,Rape victims
"Pretexta, o, el cronista enmascarado",tiene_como_tema,Self-deception
El crédito agrario en México,tiene_como_tema,Agricultural credit -- Law and legislation -- Mexico.
Una cesta de cumpleanos para Tia Abuela,tiene_como_tema,Birthdays
El Invierno,tiene_como_tema,Concepts - General
Figuras heráldicas,tiene_como_tema,Devices (Heraldry) -- Spain -- Catalonia -- Early works to 1800.
El Indio Que Mato Al Padre Pro/the Indian That Killed Father Pro,tiene_como_tema,Spanish: Adult Nonfiction
Yo fui (feliz) en Cuba...,tiene_como_tema,History
La campiña de Jaén en época emiral (s. VIII-X),tiene_como_tema,Arabs -- Spain -- Jaén (Province) -- Antiquities.
Los albañiles,tiene_como_tema,Spanish fiction.
José Marti,tiene_como_tema,"Martí, José, -- 1853-1895 -- Political and social views"
El imperio jesuítico,tiene_como_tema,Jesuits -- Paraguay.
Sinopsis del desarrollo humano en Guatemala,tiene_como_tema,Well-being
Correspondencia con José Yves Limantour,tiene_como_tema,"Authors, Mexican -- 19th century -- Correspondence."
El poder de la técnica y otros ensayos,tiene_como_tema,Discourse analysis
Escritos y memorias,tiene_como_tema,Mexico -- Politics and government -- 1810-1821.
El nuevo teatro II,tiene_como_tema,Experimental theater -- Mexico.
"Sesenta años de la Universidad Autónoma de Baja California en el escenario estatal y nacional, 1957-2017",tiene_como_tema,Universidad Autónoma de Baja California
Camelot Ablaze (Coleccion Egro),tiene_como_tema,Spanish: Adult Nonfiction
"Region, 1982-2002",tiene_como_tema,Essays
España y México,tiene_como_tema,Social legislation -- Mexico -- History -- 19th century.
Ciudad Real/city of Kings,tiene_como_tema,Spanish: Adult Fiction
Catálogo-Archivo Rubén Darío,tiene_como_tema,"Authors, Nicaraguan -- 20th century -- Archives -- Catalogs."
La antigua retorica,tiene_como_tema,"Rhetoric, Ancient"
Jornadas de cultura (1938-1958),tiene_como_tema,Educators
"Azul, Cantos de Vida y Esperanza / Blue, Songs of Life and Hope",tiene_como_tema,Fiction
Mentiras patrióticas,tiene_como_tema,Puerto Rico -- Politics and government -- 1952-1998.
Hoteles de paso,tiene_como_tema,Motels
Cantico Cosmico,tiene_como_tema,Religion - Commentaries / Reference
Planificación de sistemas socioecológicos complejos,tiene_como_tema,System theory
Mitología cubana,tiene_como_tema,Blacks -- Cuba -- Folklore.
Desde la butaca,tiene_como_tema,Arts
Biografías de siete grandes escritores guatemaltecos,tiene_como_tema,Biography
"Series guatemaltecas en el campo de las humanidades, 1886-1962",tiene_como_tema,Series (Publications)
Después de la tempestad,tiene_como_tema,Inquisition -- Mexico -- History -- 18th century.
Guillermo Prieto,tiene_como_tema,Politics and government
Flor y canto,tiene_como_tema,Nicaraguan poetry
La protección penal de los datos sanitarios,tiene_como_tema,Confidential communications -- Physicians -- Spain.
Joaquín Balaguer,tiene_como_tema,Cities and towns -- Dominican Republic -- Statistics
"Diccionario de autores dominicanos, 1492-2003",tiene_como_tema,Dominican Authors
"Biografía del Doctor Marco Aurelio Soto; seguida de algunas producciones de carácter político, administrativo y literario del ilustre hombre público",tiene_como_tema,"Soto, Marco Aurelio, 1846-1908."
Leon de Galan,tiene_como_tema,Mexican Poets
Va de nuez,tiene_como_tema,Oaxaca (Mexico) -- Social life and customs.
La Basura que comemos,tiene_como_tema,Junk food -- Caricatures and cartoons.
Arte mudejar en America,tiene_como_tema,"Architecture, Islamic"
Mujeres científicas de Nayarit,tiene_como_tema,Women scientists
Defensa de la poesía,tiene_como_tema,Dominican poetry
Mrs. Sato's hens,tiene_como_tema,Eggs
Honduras,tiene_como_tema,Honduras -- Biography.
Consejos para escritores,tiene_como_tema,Authorship
Artes de fundación,tiene_como_tema,History
Masculino feminino a final de milenio,tiene_como_tema,Congresses
"¡Feliz cumpleaños, Caperucita Roja!",tiene_como_tema,Juvenile fiction
Las precisas palabras,tiene_como_tema,Spanish language
Con leal franqueza,tiene_como_tema,"Estrada, Genaro, 1887-1937 -- Correspondence"
Andanzas de un liberal queretano,tiene_como_tema,Mexican Authors
Spagna e Francia di fronte all'America,tiene_como_tema,South America -- Description and travel.
La frontera de cristal,tiene_como_tema,Spanish language
Pretexta o el cronista enmascarado,tiene_como_tema,Mexican Culture
Luz y oscuridad,tiene_como_tema,"Mejía Vides, José, -- 1903-"
Sociopatía americana,tiene_como_tema,Latin America -- Civilization.
Enfoques a las normas internacionales de contabilidad en Colombia,tiene_como_tema,International cooperation
Centro America,tiene_como_tema,Central America -- Politics and government.
El sistema es antinosotros,tiene_como_tema,Youth movements
"Leyendas históricas, tradicionales y fantásticas de las calles de la Ciudad de México",tiene_como_tema,Mexico City (Mexico) -- Description and travel -- Poetry.
La evangelización de los indios,tiene_como_tema,Catholic Church -- Doctrines.
Literatura Mexicana Y Iberoamericana/ Mexican and Latin American Literature,tiene_como_tema,History
"Respeto, justicia y dignidad",tiene_como_tema,Puerto Rico. Administración de Terrenos
Misión en La Haya,tiene_como_tema,"Trials, litigation"
Cuento nicaragüense,tiene_como_tema,"Short stories, Nicaraguan"
La censura literaria en el Index de Quiroga (1583-1584),tiene_como_tema,Prohibited books
Lecciones de derecho constitucional,tiene_como_tema,Constitutional law
La herencia indígena en la cultura dominicana de hoy,tiene_como_tema,Dominican Republic -- Civilization -- Indian influences.
Los mambises italianos,tiene_como_tema,Italians
Biografía de Hostos,tiene_como_tema,"Authors, Puerto Rican -- 19th century -- Biography"
Los cien mejores poemas,tiene_como_tema,Poemas
Aplicación por primera vez de las NIIF,tiene_como_tema,Small business
Fe en disfraz,tiene_como_tema,Prendas de vestir
Asociaciones campesinas en resistencia civil,tiene_como_tema,Rural development
Raíces del centro norte de Nicaragua,tiene_como_tema,Matagalpa Indians
Lirios de Flandes,tiene_como_tema,Franciscans -- Mexico.
"Respeto, justicia y dignidad",tiene_como_tema,Puerto Rico
Franz Galich,tiene_como_tema,Écrivains guatémaltèques
Los ojos viajeros,tiene_como_tema,Europe -- Description and travel.
La gloria y el ensueño que forjó una patria,tiene_como_tema,Historia
La moneda de oro,tiene_como_tema,Central America -- Juvenile fiction
La operacíon cesarea en Yucatan,tiene_como_tema,Cesarean section
Cuatro ensayos antropológicos,tiene_como_tema,Mayas -- Land tenure.
Obras,tiene_como_tema,Cuba -- Politics and government -- 1895-1898.
Esquema de la economía mexicana,tiene_como_tema,Mexico -- Economic conditions.
El sistema es antinosotros,tiene_como_tema,Political activity
Política y bloques de poder,tiene_como_tema,Balance of power.
Miguel Servet,tiene_como_tema,"Heretics, Christian -- Europe -- Biography."
"Arcaismos, regionalismos y modismos de Comitan, Chiapas",tiene_como_tema,Chiapanec language
Invitación a la lectura,tiene_como_tema,Reading
Las Tradiciones De La Imagen / The Traditions Of The Image,tiene_como_tema,Literary Criticism
Organización de la sociedad en el Perú precolombino,tiene_como_tema,Indians of South America -- Social life and customs.
Elogio de La Calle,tiene_como_tema,Literature - Classics / Criticism
Guía ilustrada de Tasco,tiene_como_tema,Taxco de Alarcón (Mexico)
Return to sender,tiene_como_tema,Vermont -- Fiction
Tesoros ocultos del viejo San Luis,tiene_como_tema,Mines and mineral resources -- Mexico -- San Luis Potosí (State) -- History.
Memorias de un reportero,tiene_como_tema,Journalists -- Mexico.
Harvardianas y otros saltos al norte,tiene_como_tema,Cuban Authors
Señales debidas,tiene_como_tema,Criticism and interpretation
Etimologías quechuas en la lengua francesa,tiene_como_tema,French language
Palabras y cascabeleos,tiene_como_tema,Usage
"Cuba en citas, 1868-1898",tiene_como_tema,"Cuba -- History -- Revolution, 1895-1898 -- Quotations, maxims, etc."
Con el pueblo tengo,tiene_como_tema,Local elections -- Mexico -- Nayarit.
Los patriotas,tiene_como_tema,State-sponsored terrorism -- Mexico -- History.
La vista,tiene_como_tema,Juvenile literature
Hostos en Venezuela,tiene_como_tema,Venezuela -- Politics and government -- 1830-1935.
Mitología cubana,tiene_como_tema,"Mythology, Cuban."
Superintendencia de Bancos de la República Dominicana,tiene_como_tema,Banks and banking
Tierra de infancia,tiene_como_tema,"Authors, Salvadoran -- 20th century -- Biography."
Impacto ambiental de las fundidoras de cobre de la región fronteriza entre México y Estados Unidos,tiene_como_tema,Acid deposition
Ética para todos,tiene_como_tema,Ethics
Puedo Explicarlo Todo,tiene_como_tema,Roman
Las armas del futuro,tiene_como_tema,Central America -- History -- 1821-1951.
Los Brujos Negros (Pensamiento cubano),tiene_como_tema,Blacks
Memorias sobre la revolución de diciembre de 1857 y enero de 1858,tiene_como_tema,Mexico -- Politics and government -- 1821-1861.
Otto Preminger,tiene_como_tema,Entertainment & Performing Arts - General
El maque de Michoacán,tiene_como_tema,Indian art
Pecar como Dios manda,tiene_como_tema,Sex
"Machismo Feminismo Homosexualismo/ Machismo, Feminism and Homosexuality",tiene_como_tema,Humor
Misticismo y violencia en la temprana evangelización de Chile,tiene_como_tema,Indians of South America -- Chile -- Araucanía -- Wars.
Mentiras patrióticas,tiene_como_tema,Nationalism -- Puerto Rico.
Tres pensadores de América,tiene_como_tema,Latin America.
Un encuentro con Dulce María Loynaz,tiene_como_tema,"Authors, Cuban -- 20th century -- Interviews."
Magnicidio,tiene_como_tema,"Obregón, Alvaro, 1880-1928 -- Assassination -- Drama."
María Zambrano,tiene_como_tema,"Zambrano, María -- Criticism and interpretation"
Otra primavera,tiene_como_tema,Mexican drama -- 20th century
87 cartas de amor y otros papeles,tiene_como_tema,Motion picture plays.
Antología de la obra literaria y científica de la familia García de Quevedo de Puerto Rico,tiene_como_tema,Puerto Rican literature.
La bella durmiente del bosque,tiene_como_tema,Contes de fées
Las repúblicas de aire,tiene_como_tema,Utopias
Rosas y sus opositores,tiene_como_tema,Argentina -- Biography
El Canto del Mosquito/Song of the Teeny-Tiny Mosquito,tiene_como_tema,Animals - Insects  Spiders  etc.
Telescopio En La Noche Oscura (La Dicha de Enmudecer),tiene_como_tema,General
Lucila Gamero de Medina,tiene_como_tema,"Gamero de Medina, Lucila."
The Empty Pinata (Stories the Year 'round),tiene_como_tema,Children: Grades 1-2
El Imperio de Brasil y la República de Costa Rica en la encrucijada de la Guerra Patria (1856-1857),tiene_como_tema,Filibuster War (Nicaragua : 1855-1860) fast (OCoLC)fst01353107
Sara,tiene_como_tema,Ficción
Excursiones/incursiones,tiene_como_tema,Poetry -- History and criticism
"Nazismo, fascismo y falangismo en la República Dominicana",tiene_como_tema,National socialism -- History.
Jarvis levantado en la memoria,tiene_como_tema,Social workers
