Autor,Relación,Nacionalidad
Xorge del Campo,es_de,Mexico
Edmundo Valadés,es_de,Mexico
Eugenia Revueltas,es_de,Mexico
Louis Panabière,es_de,Mexico
Francisco Javier Estrada,es_de,Mexico
Alfonso González,es_de,Mexico
Carlos López,es_de,Mexico
Nancy Sanciprián,es_de,Mexico
Roberto Blanco Moheno,es_de,Mexico
Laura E. Solís Chávez,es_de,Mexico
Luis Barrón,es_de,Mexico
María del Carmen Millán,es_de,Mexico
F. Arturo Corzo Gamboa,es_de,Mexico
"García G., Rodolfo",es_de,Mexico
F. Ibarra de Anda,es_de,Mexico
Pedro Antonio Martínez Gómez,es_de,Mexico
Kay S. García,es_de,Mexico
Sergio Pitol,es_de,Mexico
Magdalena González Casillas,es_de,Mexico
Juan de Dios Peza,es_de,Mexico
Coral Aguirre,es_de,Mexico
Geney Beltrán Félix,es_de,Mexico
Armando González Torres,es_de,Mexico
Alberto Vital Díaz,es_de,Mexico
María de los Angeles Manzano A.,es_de,Mexico
Serge Zaïtzeff,es_de,Mexico
"Encuentro ""Lectura y Conversación de Escritores"" (2nd 1991 Saltillo, Coahuila, Mexico)",es_de,Mexico
Darío Galaviz Quezada,es_de,Mexico
Vicente Gómez Montero,es_de,Mexico
Claude Fell,es_de,Mexico
Herminio Chávez Guerrero,es_de,Mexico
Luis Felipe Fabre,es_de,Mexico
Gabriel Agraz García de Alba,es_de,Mexico
Alvaro Ochoa,es_de,Mexico
Bernardo Ortiz de Montellano,es_de,Mexico
César Aller,es_de,Mexico
Hernán Becerra Pino,es_de,Mexico
José Garza,es_de,Mexico
Marco Antonio Acosta,es_de,Mexico
Arcadio Hidalgo,es_de,Mexico
Amado Nervo,es_de,Mexico
Angel Miquel,es_de,Mexico
Joel Dávila Gutiérrez,es_de,Mexico
Humberto Félix Berumen,es_de,Mexico
Dolores Carbonell,es_de,Mexico
Federico Campbell,es_de,Mexico
José Joaquín Blanco,es_de,Mexico
Noemí Atamoros de Pérez Martínez,es_de,Mexico
Lourdes Franco,es_de,Mexico
Susanna Regazzoni,es_de,Mexico
Aurora M. Ocampo,es_de,Mexico
Víctor Hugo Rascón Banda,es_de,Mexico
"Torre, Gerardo de la",es_de,Mexico
Alfredo Cardona Peña,es_de,Mexico
Antonio Velasco Piña,es_de,Mexico
Carmen de la Fuente,es_de,Mexico
Josefina Lara Valdez,es_de,Mexico
Ricardo Covarrubias,es_de,Mexico
Margarita Urueta,es_de,Mexico
Sergio Ramírez,es_de,Mexico
Aureliano Tapia Méndez,es_de,Mexico
Benjamín Valdivia,es_de,Mexico
Fred Álvarez,es_de,Mexico
Alonso Vidal,es_de,Mexico
Zacarías Márquez Terrazas,es_de,Mexico
"Collado, Gloria",es_de,Mexico
Carlos Reyes Sahagún,es_de,Mexico
Alvaro Ruiz Abreu,es_de,Mexico
Rius,es_de,Mexico
José Manuel Mateo,es_de,Mexico
Homero Aridjis,es_de,Mexico
Rogelio Arenas Monreal,es_de,Mexico
Ilan Stavans,es_de,Mexico
Federico Campbell,es_de,Mexico
Sergio Galindo,es_de,Mexico
Mariano Picón-Salas,es_de,Mexico
Marie-Cécile Bénassy-Berling,es_de,Mexico
Jorge Arturo Ojeda,es_de,Mexico
Leopoldo Peniche Vallado,es_de,Mexico
Raúl Arreola Cortés,es_de,Mexico
"Sierra, Justo",es_de,Mexico
Adolfo Castañón,es_de,Mexico
Víctor Raúl Martínez Vásquez,es_de,Mexico
Oscar Zorrilla,es_de,Mexico
Alfonso Reyes,es_de,Mexico
Will Wyatt,es_de,Mexico
Roldán Peniche Barrera,es_de,Mexico
Giuseppe Bellini,es_de,Mexico
"Encuentro ""Lectura y Conversación de Escritores""",es_de,Mexico
Francisco Durán,es_de,Mexico
Guadalupe Dueñas,es_de,Mexico
Beth Kurti Miller,es_de,Mexico
Yadira Munguía,es_de,Mexico
Ricardo López Méndez,es_de,Mexico
Ramón Pimentel Aguilar,es_de,Mexico
Manuel Toussaint,es_de,Mexico
Octavio A. Hernández,es_de,Mexico
Ramiro Villaseñor y Villaseñor,es_de,Mexico
José Antonio Valera Saá,es_de,Mexico
Gerardo Deniz,es_de,Mexico
Grace Meade,es_de,Mexico
Orso Arreola,es_de,Mexico
Xavier Villaurrutia,es_de,Mexico
Eduardo Turrent Rozas,es_de,Mexico
Jaime Ramírez Garrido,es_de,Mexico
Lucio Mendieta y Núñez,es_de,Mexico
Marie-Cécile Bénassy-Berling,es_de,Mexico
Pepe Bulnes,es_de,Mexico
Luis González Obregón,es_de,Mexico
Emiliano Pérez Cruz,es_de,Mexico
Reneé Acosta,es_de,Mexico
Miguel Capistrán,es_de,Mexico
Lourdes Garza Quesada,es_de,Mexico
Estela Leñero Franco,es_de,Mexico
Sergio E. Fernández,es_de,Mexico
Felícitos Leal,es_de,Mexico
Reinhard Teichmann,es_de,Mexico
Blanca Galván Romani,es_de,Mexico
María del Carmen Ruiz Castañeda,es_de,Mexico
Sara Velasco,es_de,Mexico
Rodolfo Esparza Cárdenas,es_de,Mexico
Diana Patricia Álvarez Valente,es_de,Mexico
Víctor Barrera Enderle,es_de,Mexico
Patricia Rosas Lopátegui,es_de,Mexico
Beatriz Reyes Nevares,es_de,Mexico
Manuel M. Flores,es_de,Mexico
Beatriz Ituarte Verduzco,es_de,Mexico
Estela Leñero Franco,es_de,Mexico
Pedro Henríquez Ureña,es_de,Mexico
Renato Leduc,es_de,Mexico
Hildebrande Siller,es_de,Mexico
"Romero, José Rubén",es_de,Mexico
Ortega,es_de,Mexico
Ignacio Piña Marquina,es_de,Mexico
Alberto Quirozz,es_de,Mexico
Miguel Báez,es_de,Mexico
José Pablo Villalobos,es_de,Mexico
José Ángel Bufill,es_de,Mexico
Jorge Luis Herrera,es_de,Mexico
Adriana Chávez Castro,es_de,Mexico
Genaro Fernández Mac Gregor,es_de,Mexico
Margarita García Luna O.,es_de,Mexico
Esteban Hernández,es_de,Mexico
Rafael Vargas,es_de,Mexico
Reyna Barrera,es_de,Mexico
Enrique Montes García,es_de,Mexico
Fabienne Bradu,es_de,Mexico
Johannes Beck,es_de,Mexico
Julio Jiménez Rueda,es_de,Mexico
Juan Domingo Argüelles,es_de,Mexico
Lolita Bosch,es_de,Mexico
Instituto Nacional de Bellas Artes (Mexico),es_de,Mexico
Ernesto de la Torre Villar,es_de,Mexico
Beth Ellen Jorgensen,es_de,Mexico
Elena Arce,es_de,Mexico
Elías Nandino,es_de,Mexico
Manuel Gutiérrez Nájera,es_de,Mexico
Ricardo Chávez Castañeda,es_de,Mexico
Sergio Pitol,es_de,Mexico
Héctor Alvarado Díaz,es_de,Mexico
Paco Ignacio Taibo II,es_de,Mexico
Anthony Stanton,es_de,Mexico
Belem Clark de Lara,es_de,Mexico
Fernando del Paso,es_de,Mexico
Roberto Vallarino,es_de,Mexico
Rogelio Cuéllar,es_de,Mexico
Rafael Cardona Sandoval,es_de,Mexico
José Miguel Romero de Solís,es_de,Mexico
Celestino Gorostiza,es_de,Mexico
Héctor Perea,es_de,Mexico
Manuel José Othón,es_de,Mexico
Juan García Ponce,es_de,Mexico
Julieta Campos,es_de,Mexico
"Campos, Rubén M.",es_de,Mexico
Alicia de Jesús Giacinti Comte,es_de,Mexico
Alejandro Soriano Vallès,es_de,Mexico
"Zapata, Luis",es_de,Mexico
Francisco Valdés Treviño,es_de,Mexico
Jorge Pedraza Salinas,es_de,Mexico
Irene Matthews,es_de,Mexico
Fernando Curiel,es_de,Mexico
Alfonso Taracena,es_de,Mexico
Robert Brody,es_de,Mexico
Francisco Padilla Beltrán,es_de,Mexico
Bárbara Jacobs,es_de,Mexico
José Fuentes Mares,es_de,Mexico
Alejandro Soriano Vallès,es_de,Mexico
Erna Pfeiffer,es_de,Mexico
Eduardo Mateo Gambarte,es_de,Mexico
Guadalupe Loaeza,es_de,Mexico
Herminio Chávez Guerrero,es_de,Mexico
Manuel Arce,es_de,Mexico
Ricardo Bernal,es_de,Mexico
Jesús Cañete Ochoa,es_de,Mexico
Tita Valencia,es_de,Mexico
Arturo Melgoza Paralizábal,es_de,Mexico
Julio Scherer García,es_de,Mexico
Christopher Domínguez Michael,es_de,Mexico
Karla I. Herrera,es_de,Mexico
Eligio Coronado,es_de,Mexico
Juan Manuel Elizondo,es_de,Mexico
Valeriano Bozal Fernández,es_de,Mexico
Rafael Pérez Gay,es_de,Mexico
Jim Cullen,es_de,Mexico
Rogelio Cuéllar,es_de,Mexico
Rodrigo Díaz Maldonado,es_de,Mexico
Carlos Velasco Pérez,es_de,Mexico
Nicole Girón,es_de,Mexico
Rafael Vargas,es_de,Mexico
Rafael Ramírez Heredia,es_de,Mexico
Chiapas (Mexico). Biblioteca Pública Central del Estado. Sección Chiapas.,es_de,Mexico
Yolanda Padilla Rangel,es_de,Mexico
Miguel Ángel Sobrino Ordóñez,es_de,Mexico
Ernesto Mejía Sánchez,es_de,Mexico
León Felipe Barrón,es_de,Mexico
Luz María Sánchez Cardona,es_de,Mexico
Emilio Arellano,es_de,Mexico
Núria Amat,es_de,Mexico
Marentes,es_de,Mexico
Claude McKay,es_de,Jamaica
Lorna Goodison,es_de,Jamaica
Michelle Cliff,es_de,Jamaica
Colin Channer,es_de,Jamaica
Wayne F. Cooper,es_de,Jamaica
Staceyann Chin,es_de,Jamaica
Lisa Tomlinson,es_de,Jamaica
"Abrahams, Peter",es_de,Jamaica
Tyrone Tillery,es_de,Jamaica
Kwame Dawes,es_de,Jamaica
Kandula Nirupa Rani,es_de,Jamaica
T. Rhone,es_de,Jamaica
Kamau Brathwaite,es_de,Jamaica
Ralph Thompson,es_de,Jamaica
J. E. Clare McFarlane,es_de,Jamaica
Anthony C. Winkler,es_de,Jamaica
BISHOP,es_de,Jamaica
Elean Thomas,es_de,Jamaica
Opal Palmer Adisa,es_de,Jamaica
Shivaun Hearne,es_de,Jamaica
Denise De C. Narain,es_de,Jamaica
Kwame Senu Neville Dawes,es_de,Jamaica
Jacqueline Bishop,es_de,Jamaica
Douglas Hall,es_de,Jamaica
"Clarke, Austin",es_de,Barbados
Austin Clarke,es_de,Barbados
Katy J. Gash,es_de,Barbados
"Clarke, Austin C",es_de,Barbados
Stella Algoo-Baksh,es_de,Barbados
Nailah Folami Imoja,es_de,Barbados
Edward Baugh,es_de,Barbados
Austin C. Clarke,es_de,Barbados
Miguel D. Mena,es_de,Dominican Republic
"Rodríguez Demorizi, Emilio",es_de,Dominican Republic
Emilio Carilla,es_de,Dominican Republic
Héctor Valdez Albizu,es_de,Dominican Republic
Francisco Ortega Polanco,es_de,Dominican Republic
Américo Lugo,es_de,Dominican Republic
Héctor Incháustegui Cabral,es_de,Dominican Republic
Diómedes Núñez Polanco,es_de,Dominican Republic
Lizabeth Paravisini-Gebert,es_de,Dominican Republic
Pedro F. Bonó,es_de,Dominican Republic
Juan Jacobo de Lara,es_de,Dominican Republic
Sonia Henríquez Ureña de Hlito,es_de,Dominican Republic
Pedro Encarnación Jiménez,es_de,Dominican Republic
Joaquín Balaguer,es_de,Dominican Republic
Franklin Gutiérrez,es_de,Dominican Republic
Alfredo A. Roggiano,es_de,Dominican Republic
Edmond Richer,es_de,Dominican Republic
Darío Bazil,es_de,Dominican Republic
Homero E. Mota,es_de,Dominican Republic
José Rafael Lantigua,es_de,Dominican Republic
João Francisco Ferreira,es_de,Dominican Republic
Mu-Kien A. Sang,es_de,Dominican Republic
Mario Emilio Pérez,es_de,Dominican Republic
Bruno Rosario Candelier,es_de,Dominican Republic
Dió-genes Abréu,es_de,Dominican Republic
Carlos T. Martínez,es_de,Dominican Republic
Andrés L. Mateo,es_de,Dominican Republic
Isael Pérez,es_de,Dominican Republic
Odalís Pérez,es_de,Dominican Republic
Pedro Henríquez Ureña,es_de,Dominican Republic
Pedro Mir,es_de,Dominican Republic
Carlos X. Ardavín,es_de,Dominican Republic
Ernesto Pérez Shelton,es_de,Dominican Republic
Armando Vargas,es_de,Dominican Republic
Manuel Núñez,es_de,Dominican Republic
Tomás Báez Díaz,es_de,Dominican Republic
Soledad Alvarez,es_de,Dominican Republic
Víctor Manuel de la Cruz,es_de,Dominican Republic
Enrique Zuleta Alvarez,es_de,Dominican Republic
Luis de Granada,es_de,Dominican Republic
Mariano Lebrón Saviñón,es_de,Dominican Republic
Emilio Rodríguez Demorizi,es_de,Dominican Republic
Juan Bosch,es_de,Dominican Republic
Fabio Fiallo,es_de,Dominican Republic
Mateo Morrison,es_de,Dominican Republic
Jorge Tena Reyes,es_de,Dominican Republic
Angela Hernández,es_de,Dominican Republic
Fernando Berroa,es_de,Dominican Republic
Miguel Ángel Fornerín,es_de,Dominican Republic
Pedro López Cerviño,es_de,Dominican Republic
José de Rosamantes,es_de,Dominican Republic
Víctor Grimaldi,es_de,Dominican Republic
Cándido Gerón,es_de,Dominican Republic
Manolo Nova,es_de,Dominican Republic
Sarah Aponte,es_de,Dominican Republic
"Díaz, José (Physician : Dominican Republic)",es_de,Dominican Republic
Rosa Rojas,es_de,Dominican Republic
Roberto Cassá,es_de,Dominican Republic
César Cárdenas,es_de,Dominican Republic
"Vega, Bernardo",es_de,Dominican Republic
Manuel García Cartagena,es_de,Dominican Republic
Juan Daniel Balcácer,es_de,Dominican Republic
Alex Ferreras,es_de,Dominican Republic
Margarita Vallejo de Paredes,es_de,Dominican Republic
Giovanni Di Pietro,es_de,Dominican Republic
Camila Henríquez Ureña,es_de,Dominican Republic
Juan Carlos Mieses,es_de,Dominican Republic
Reina C. Rosario Fernández,es_de,Dominican Republic
Miguel Ángel Beltrán Álvarez,es_de,Dominican Republic
Enrique Cabrera Vásquez,es_de,Dominican Republic
Tomás Hernández Franco,es_de,Dominican Republic
Antonio Fernández Spencer,es_de,Dominican Republic
José Mármol,es_de,Dominican Republic
Euclides Gutiérrez Félix,es_de,Dominican Republic
Héctor Amarante,es_de,Dominican Republic
Ana Silvia Reynoso de Abud,es_de,Dominican Republic
Oscar Peña,es_de,Dominican Republic
Keiselim A. Montás,es_de,Dominican Republic
Basilio Belliard,es_de,Dominican Republic
Néstor Medrano,es_de,Dominican Republic
Guillermo Piña Contreras,es_de,Dominican Republic
Fernanda Bustamante Esccalona,es_de,Dominican Republic
Guillermo Piña Contreras,es_de,Dominican Republic
Frank A. Roca,es_de,Dominican Republic
Enrique Tarazona,es_de,Dominican Republic
José M. Fernández Pequeño,es_de,Dominican Republic
Adrián Javier,es_de,Dominican Republic
Julia Alvarez,es_de,Dominican Republic
Antonio Ocaña R.,es_de,Dominican Republic
Mario Emilio Pérez,es_de,Dominican Republic
Miguel Espaillat,es_de,Dominican Republic
Virgilio Hoepelman,es_de,Dominican Republic
Frank Roca Friedheim,es_de,Dominican Republic
Andrés Lugo Génere,es_de,Dominican Republic
Víctor Barrera Enderle,es_de,Dominican Republic
León Félix Batista,es_de,Dominican Republic
Fabio Fiallo,es_de,Dominican Republic
Max Henríquez Ureña,es_de,Dominican Republic
Jeannette Miller,es_de,Dominican Republic
Juan B. Nina,es_de,Dominican Republic
Jesús Adolfo Becerril Valencia,es_de,Dominican Republic
Ramón E. Colombo,es_de,Dominican Republic
"Reyes, Alfonso",es_de,Dominican Republic
Ligia Minaya,es_de,Dominican Republic
Enegildo Peña,es_de,Dominican Republic
Diógenes Céspedes,es_de,Dominican Republic
Pedro Antonio Valdez,es_de,Dominican Republic
Víctor Gómez Bergés,es_de,Dominican Republic
Asela Rodriguez de Laguna,es_de,Puerto Rico
Eugenio María de Hostos,es_de,Puerto Rico
Juan Bosch,es_de,Puerto Rico
Nancy I. Bird-Soto,es_de,Puerto Rico
Cesáreo Rosa-Nieves,es_de,Puerto Rico
Willie Perdomo,es_de,Puerto Rico
Vanessa Perez-Rosario,es_de,Puerto Rico
Juan Angel Silén,es_de,Puerto Rico
Patricia Herrera,es_de,Puerto Rico
Josefina Rivera de Alvarez,es_de,Puerto Rico
Heide Marie Velarde,es_de,Puerto Rico
Edgardo Rodríguez Juliá,es_de,Puerto Rico
Victor F. Torres,es_de,Puerto Rico
Sherezada Vicioso,es_de,Puerto Rico
Jesus Papoleto Melendez,es_de,Puerto Rico
Elizabeth Garcia,es_de,Puerto Rico
Christin Freyer,es_de,Puerto Rico
Francisco Matos Paoli,es_de,Puerto Rico
Loreina Santos Silva,es_de,Puerto Rico
Carmen S. Rivera,es_de,Puerto Rico
Miguel Ripoll Santiago,es_de,Puerto Rico
Emanuel Xavier,es_de,Puerto Rico
Vicente Géigel Polanco,es_de,Puerto Rico
Miguel Algarín,es_de,Puerto Rico
Joserramón Melendes,es_de,Puerto Rico
Manuel Fernández Juncos,es_de,Puerto Rico
Marithelma Costa,es_de,Puerto Rico
Juan Antonio Rodríguez Pagán,es_de,Puerto Rico
Inés María Mendoza,es_de,Puerto Rico
Jaime Varas,es_de,Puerto Rico
P. Vieta de Miranda,es_de,Puerto Rico
Edgardo Vega Yunqué,es_de,Puerto Rico
Lisa Sánchez-González,es_de,Puerto Rico
Aurora Levins Morales,es_de,Puerto Rico
Carmen Montijo Altorán,es_de,Puerto Rico
Rosalina Perales,es_de,Puerto Rico
David Caleb Acevedo,es_de,Puerto Rico
Lorraine López,es_de,Puerto Rico
Rosario Ferré,es_de,Puerto Rico
Antonio Quiñones Calderón,es_de,Puerto Rico
Urayoán Noel,es_de,Puerto Rico
Isabel Freire de Matos,es_de,Puerto Rico
Iván Silén,es_de,Puerto Rico
"Conferencia Internacional de Derecho Lingüístico (7 2000 San Juan, Puerto Rico)",es_de,Puerto Rico
José de Diego,es_de,Puerto Rico
Serafín Roldán,es_de,Puerto Rico
Asela Rodríguez-Seda de Laguna,es_de,Puerto Rico
María Teresa Babín,es_de,Puerto Rico
Arcadio Díaz Quinones,es_de,Puerto Rico
José Agustín Balseiro,es_de,Puerto Rico
Antonia Domínguez Miguela,es_de,Puerto Rico
James D Rivera Martínez,es_de,Puerto Rico
Enrique A. Laguerre,es_de,Puerto Rico
Andrés Candelario,es_de,Puerto Rico
Josefa Martínez Torres,es_de,Puerto Rico
Edgar Martínez Masdeu,es_de,Puerto Rico
Roberto Ramos-Perea,es_de,Puerto Rico
Héctor J. Martell Morales,es_de,Puerto Rico
Nelson Arnaldo Vera Hernández,es_de,Puerto Rico
Julia de Burgos,es_de,Puerto Rico
Jeandelize B. González Rivera,es_de,Puerto Rico
Carmen Dolores Hernández,es_de,Puerto Rico
Georgina Lázaro León,es_de,Puerto Rico
Nylda R. Díaz,es_de,Puerto Rico
Erik Estrada,es_de,Puerto Rico
Lolita Lebrón,es_de,Puerto Rico
Manuel Ramos Otero,es_de,Puerto Rico
José Enrique Laboy Gómez,es_de,Puerto Rico
Anna Scannavini,es_de,Puerto Rico
"Alcántara Almánzar, José",es_de,Puerto Rico
Fernando González Alberty,es_de,Puerto Rico
René Torres Delgado,es_de,Puerto Rico
Juan Antonio Ramos,es_de,Puerto Rico
Arcadio Díaz Quiñones,es_de,Puerto Rico
Argimiro Ruano,es_de,Puerto Rico
Socorro Girón,es_de,Puerto Rico
"González, José Luis",es_de,Puerto Rico
Carlos Gaztambide Arrillaga,es_de,Puerto Rico
Carlos F. Mendoza Tió,es_de,Puerto Rico
Ramón E. Rivera García,es_de,Puerto Rico
Isabel Cuchí Coll,es_de,Puerto Rico
"Arana Soto, Salvador",es_de,Puerto Rico
José Márquez,es_de,Puerto Rico
Margarita Rodriguez-Kelly,es_de,Puerto Rico
Julio Soto Ramos,es_de,Puerto Rico
Efraín Barradas,es_de,Puerto Rico
Félix-Joaquín Rivera,es_de,Puerto Rico
Francisco M. Rivera Lizardi,es_de,Puerto Rico
Emilio Díaz Valcárcel,es_de,Puerto Rico
Carlos F. Mendoza Tió,es_de,Puerto Rico
Evelyn Jimenez,es_de,Puerto Rico
Jorge Rodríguez,es_de,Puerto Rico
Sócrates Nolasco,es_de,Puerto Rico
Chadys A. Pagán Ocasio,es_de,Puerto Rico
Rosario Ferré,es_de,Puerto Rico
Armindo Núñez Miranda,es_de,Puerto Rico
Mayra Santos-Febres,es_de,Puerto Rico
Nicolás Kanellos,es_de,Puerto Rico
Evangelina Vigil,es_de,Puerto Rico
John V. Antush,es_de,Puerto Rico
Victor Hernández Cruz,es_de,Puerto Rico
Stephanie Álvarez,es_de,Puerto Rico
Lola Rodríguez de Tió,es_de,Puerto Rico
Cándida Maldonado de Ortiz,es_de,Puerto Rico
Luis Rafael Sánchez,es_de,Puerto Rico
Pedro Pietri,es_de,Puerto Rico
Ruth Vassallo,es_de,Puerto Rico
Juanita Rodriguez Betancourt,es_de,Puerto Rico
Azi Ellowitch,es_de,Puerto Rico
Cándida Maldonado de Ortiz,es_de,Puerto Rico
"Conferencia Nacional de Literatura Puertorriqueña (1st 1983 Newark, N.J.)",es_de,Puerto Rico
Yolanda Ricardo,es_de,Puerto Rico
Tomás Sarramía,es_de,Puerto Rico
Eugene V. Mohr,es_de,Puerto Rico
Eugenio de J. García Cuevas,es_de,Puerto Rico
Miguel Algarín,es_de,Puerto Rico
Iris M. Zavala,es_de,Puerto Rico
Myrna E. Nieves-Colón,es_de,Puerto Rico
Angel Dario Carrero,es_de,Puerto Rico
Rafael A. González Torres,es_de,Puerto Rico
Nicolás Kanellos,es_de,Puerto Rico
Carmen Dolores Hernández,es_de,Puerto Rico
Marisel C. Moreno,es_de,Puerto Rico
Roberto Santiago,es_de,Puerto Rico
José Rivera,es_de,Puerto Rico
Evangelina Vigil-Piñón,es_de,Puerto Rico
Yolanda Fernández Sanz,es_de,Puerto Rico
Juan Angel Silén,es_de,Puerto Rico
Carmen Haydée Rivera,es_de,Puerto Rico
Romeo Romero,es_de,Puerto Rico
Miguel Ángel Fornerín,es_de,Puerto Rico
José Luis González,es_de,Puerto Rico
Rick Lyon,es_de,Puerto Rico
Melanie Pérez Ortiz,es_de,Puerto Rico
Vanessa Pérez Rosario,es_de,Puerto Rico
Augusto Monterroso,es_de,Guatemala
David Vela,es_de,Guatemala
Helmy F. Giacoman,es_de,Guatemala
Gabriel Glasman,es_de,Guatemala
Miguel Ángel Asturias,es_de,Guatemala
R. Amílcar Echeverría B.,es_de,Guatemala
Marco Antonio Flores,es_de,Guatemala
G. Asturias Montenegro,es_de,Guatemala
Oswaldo Salazar,es_de,Guatemala
Carlos Humberto Silva Sagarmínaga,es_de,Guatemala
Leon Aguilera,es_de,Guatemala
Enrique Gómez Carrillo,es_de,Guatemala
Irina Darlée,es_de,Guatemala
Teresa Arévalo,es_de,Guatemala
"Ximénez, Francisco",es_de,Guatemala
Juan Olivero,es_de,Guatemala
Miguel Ángel Vásquez,es_de,Guatemala
Francisco Albizúrez Palma,es_de,Guatemala
Gonzalo Dardón Córdova,es_de,Guatemala
Jimena Sáenz,es_de,Guatemala
Marc Cheymol,es_de,Guatemala
Otto Raúl González,es_de,Guatemala
John R. W. Stott,es_de,Guatemala
Alfonso Enrique Barrientos,es_de,Guatemala
Luis Cardoza y Aragón,es_de,Guatemala
Epaminondas Quintana,es_de,Guatemala
Margarita Carrera,es_de,Guatemala
Mario Alberto Carrera,es_de,Guatemala
Patrizia Spinato Bruschi,es_de,Guatemala
Carlos René García Escobar,es_de,Guatemala
Mario Monteforte Toledo,es_de,Guatemala
José Mejía,es_de,Guatemala
Francisco Alejandro Méndez,es_de,Guatemala
Carlos García Bauer,es_de,Guatemala
Oralia Preble-Niemi,es_de,Guatemala
Luis Cardoza Y Aragon,es_de,Guatemala
Edelberto Torres Espinoza,es_de,Guatemala
Universidad de San Carlos de Guatemala,es_de,Guatemala
Delia Quiñónez,es_de,Guatemala
Alexander Sequén-Mónchez,es_de,Guatemala
Otto Chicas Rendón,es_de,Guatemala
David Rozotto,es_de,Guatemala
Juan Antonio Canel,es_de,Guatemala
Víctor Muñoz,es_de,Guatemala
Werner Mackenbach,es_de,Guatemala
Enrique Castellanos,es_de,Guatemala
Francisco Ximénez,es_de,Guatemala
Manuel Jose Arce,es_de,Guatemala
Dante Liano,es_de,Guatemala
Francisco Albizúrez Palma,es_de,Guatemala
Juan Manuel González Martel,es_de,Guatemala
César Enrique González,es_de,Guatemala
Amílcar Echeverría,es_de,Guatemala
Dante Barrientos Tecún,es_de,Guatemala
José Eduardo Serrato,es_de,Guatemala
César Brañas,es_de,Guatemala
"Arce, Manuel José",es_de,Guatemala
Edelberto Torres,es_de,Guatemala
Juan Fernando Cifuentes Herrera,es_de,Guatemala
Carlos Marroquín,es_de,Guatemala
Edith González,es_de,Guatemala
Francisco Nájera,es_de,Guatemala
Guisela López,es_de,Guatemala
Zoila Aurora Cáceres,es_de,Guatemala
Miguel Angel Vázquez,es_de,Guatemala
César Brañas,es_de,Guatemala
Eloy Amado Herrera,es_de,Guatemala
"Costa Rica) Encuentro Mesoamericano ""Escritura-Cultura"" (9th 2014 San José",es_de,Guatemala
Flavio Guillén,es_de,Guatemala
Claudia Lars,es_de,El Salvador
Augusto Pinochet Ugarte,es_de,El Salvador
Carlos Gregorio Flores,es_de,El Salvador
Manlio Argueta,es_de,El Salvador
Matilde Elena López,es_de,El Salvador
José Roberto Cea,es_de,El Salvador
Salarrué,es_de,El Salvador
"Espinosa, Francisco",es_de,El Salvador
Roxana Beatriz López Serrano,es_de,El Salvador
Carlos Cañas Dinarte,es_de,El Salvador
Manuel Antonio Ramírez Suárez,es_de,El Salvador
Juan Felipe Toruño,es_de,El Salvador
Alejandro Ayalá,es_de,El Salvador
Marta Casaús Arzú,es_de,El Salvador
Renán Alcides Orellana,es_de,El Salvador
Carmen González Huguet,es_de,El Salvador
Jesús Mayorga,es_de,El Salvador
Erick Trabanino,es_de,El Salvador
Jesús Alfredo Campos,es_de,El Salvador
Yanira Soundy,es_de,El Salvador
Óscar Amilcar Magaña Interiano,es_de,El Salvador
Alí Adolfo Antonio Castaneda Orellana,es_de,El Salvador
Eugenio Martínez Orantes,es_de,El Salvador
Rose Marie Galindo,es_de,El Salvador
Mario Castrillo,es_de,El Salvador
Carlos Cañas Dinarte,es_de,El Salvador
Luis Gallegos Valdés,es_de,El Salvador
Jorge Argueta,es_de,El Salvador
Luis Alvarenga,es_de,El Salvador
Armando Solís,es_de,El Salvador
Román Mayorga Rivas,es_de,El Salvador
VV.AA. Rodríguez VV.AA.,es_de,El Salvador
Roque Dalton,es_de,El Salvador
José González,es_de,Honduras
Janet N. Gold,es_de,Honduras
Oscar Acosta,es_de,Honduras
Manuel Salinas Paguada,es_de,Honduras
Mario Argueta,es_de,Honduras
Darlene Maciuba-Koppel,es_de,Honduras
Ramiro Colindres O.,es_de,Honduras
Alexis Machuca,es_de,Honduras
José Francisco Martínez,es_de,Honduras
Rómulo E. Durón,es_de,Honduras
Juan Ramón Agüero,es_de,Honduras
Rubén Antúnez Castillo,es_de,Honduras
Alvaro Pérez Estrada,es_de,Honduras
Juan Ramón Martínez B.,es_de,Honduras
Nery Alexis Gaitán,es_de,Honduras
Eliseo Pérez Cadalso,es_de,Honduras
Roberto Sosa,es_de,Honduras
Rafael Heliodoro Valle,es_de,Honduras
Mario Castillo,es_de,Honduras
Froylán Turcios,es_de,Honduras
Medardo Mejía,es_de,Honduras
Carlos Enrique Gutiérrez González,es_de,Honduras
María de los Ángeles Chapa Bezanilla,es_de,Honduras
Juan Ramón Martínez B.,es_de,Honduras
Maria De Los Angeles Bezanilla Chapa,es_de,Honduras
Ramón Rosa,es_de,Honduras
Lolita Reina de Hilsaca,es_de,Honduras
Lucila Gamero de Medina,es_de,Honduras
Froylán Turcios,es_de,Honduras
Lester Núñez,es_de,Honduras
Melissa Merlo,es_de,Honduras
Blas Matamoro,es_de,Honduras
Santos Juárez Fiallos,es_de,Honduras
José González,es_de,Honduras
mimalapalabra editores,es_de,Honduras
Rómulo E. Durón,es_de,Honduras
"González, José",es_de,Honduras
Roberto Sosa,es_de,Honduras
Pearson,es_de,Honduras
