Obra,Relación,Autor
Etnia y sociedad,fue_escrito_por,"Ortiz, Fernando"
Fernando Ortiz,fue_escrito_por,"Ortiz, Fernando"
"Fernando Ortiz en sus cartas a José Ma. Chacón (1914-1936, 1956)",fue_escrito_por,"Ortiz, Fernando"
Historia de la arqueologia indocubana,fue_escrito_por,"Ortiz, Fernando"
Introducción bibliográfica al libro Ensayo político sobre la Isla de Cuba de Alejandro de Humboldt,fue_escrito_por,"Ortiz, Fernando"
"La antigua fiesta afrocubana del ""Día de Reyes""",fue_escrito_por,"Ortiz, Fernando"
La clave,fue_escrito_por,"Ortiz, Fernando"
La clave xilofónica de la música cubana,fue_escrito_por,"Ortiz, Fernando"
La filosofía penal de los espiritistas,fue_escrito_por,"Ortiz, Fernando"
La marímbula,fue_escrito_por,"Ortiz, Fernando"
"La maruga, el rallo",fue_escrito_por,"Ortiz, Fernando"
La música afrocubana,fue_escrito_por,"Ortiz, Fernando"
La santería y la brujería de los blancos,fue_escrito_por,"Ortiz, Fernando"
"Las cucharas, las sartenes, el cencerro, los agógo",fue_escrito_por,"Ortiz, Fernando"
Las maracas,fue_escrito_por,"Ortiz, Fernando"
"La "" tragedia"" de los ñáñigos",fue_escrito_por,"Ortiz, Fernando"
La yuka,fue_escrito_por,"Ortiz, Fernando"
Los cabildos y la fiesta afrocubanos del Día de Reyes,fue_escrito_por,"Ortiz, Fernando"
Los tambores ñañigos,fue_escrito_por,"Ortiz, Fernando"
"Los tambores ararás, la conga",fue_escrito_por,"Ortiz, Fernando"
Los tambores batá,fue_escrito_por,"Ortiz, Fernando"
Los tambores batá de los yorubas,fue_escrito_por,"Ortiz, Fernando"
Martí humanista,fue_escrito_por,"Ortiz, Fernando"
Un catauro de cubanismos,fue_escrito_por,"Ortiz, Fernando"
Visiones sobre Lam,fue_escrito_por,"Ortiz, Fernando"
Wifredo Lam y su obra a traves de significados críticos,fue_escrito_por,"Ortiz, Fernando"
Travesía y trata negrera,fue_escrito_por,"Ortiz, Fernando"
Discurso,fue_escrito_por,"Ortiz, Fernando"
La reconquista de América,fue_escrito_por,"Ortiz, Fernando"
Los primeros técnicos azucareros de América,fue_escrito_por,"Ortiz, Fernando"
Martí y las razas,fue_escrito_por,"Ortiz, Fernando"
"Las actuales responsabilidades políticas y la ""nota"" americana",fue_escrito_por,"Ortiz, Fernando"
La decadencia cubana,fue_escrito_por,"Ortiz, Fernando"
Los mambises italianos,fue_escrito_por,"Ortiz, Fernando"
Correspondencia,fue_escrito_por,"Ortiz, Fernando"
Las fases de la evolucion religiosa,fue_escrito_por,"Ortiz, Fernando"
Las fiestas menorquinas--San Juan Bautista en Ciutadella,fue_escrito_por,"Ortiz, Fernando"
"Fernando Ortiz y España, a cien años de 1898",fue_escrito_por,"Ortiz, Fernando"
La isla infinita de Fernando Ortiz,fue_escrito_por,"Ortiz, Fernando"
Cuba en la Paz de Versalles,fue_escrito_por,"Ortiz, Fernando"
La identificación dactiloscópica,fue_escrito_por,"Ortiz, Fernando"
Apuntes autobiográficos y otros papeles,fue_escrito_por,"Ortiz, Fernando"
Contraluz de la lírica,fue_escrito_por,"Ortiz, Fernando"
Personae,fue_escrito_por,"Ortiz, Fernando"
Vieja amiga,fue_escrito_por,"Ortiz, Fernando"
El Achere y Los Chekere (Instrumentos de la Musica Afrocubana),fue_escrito_por,"Ortiz, Fernando"
El engan o de la razas,fue_escrito_por,"Ortiz, Fernando"
Entre cubanos,fue_escrito_por,"Ortiz, Fernando"
La Marimbula (Instrumentos de la Musica Afrocubana),fue_escrito_por,"Ortiz, Fernando"
Las Maracas (Instrumentos de la Musica Afrocubana),fue_escrito_por,"Ortiz, Fernando"
Los Brujos Negros (Pensamiento cubano),fue_escrito_por,"Ortiz, Fernando"
Los instrumentos de la musica Afrocubana,fue_escrito_por,"Ortiz, Fernando"
Sevilla,fue_escrito_por,"Ortiz, Fernando"
"Cuba en la Paz de Versalles; Discurso Pronunciado en la Camara de Representantes en la Sesion Del 4 de Febrero de 1920 Por Fernando Ortiz, Vicepresidente de la Camara Por el Partido Liberal",fue_escrito_por,"Ortiz, Fernando"
Los cabildos afrocubanos,fue_escrito_por,"Ortiz, Fernando"
El elefante en la cristalería,fue_escrito_por,"Ortiz, Fernando"
El verano,fue_escrito_por,"Ortiz, Fernando"
Galería de espejos,fue_escrito_por,"Ortiz, Fernando"
Historia de una pelea Cubana contra los demonios,fue_escrito_por,"Ortiz, Fernando"
Introducción a la poesía andaluza contemporánea,fue_escrito_por,"Ortiz, Fernando"
La ciudad y sus sombras,fue_escrito_por,"Ortiz, Fernando"
La estirpe de Becquer,fue_escrito_por,"Ortiz, Fernando"
La imprenta de San Eloy,fue_escrito_por,"Ortiz, Fernando"
Marzo,fue_escrito_por,"Ortiz, Fernando"
Moneditas,fue_escrito_por,"Ortiz, Fernando"
Personæ,fue_escrito_por,"Ortiz, Fernando"
Primera despedida,fue_escrito_por,"Ortiz, Fernando"
Recado de escribir,fue_escrito_por,"Ortiz, Fernando"
Sevilla y los sevillanos,fue_escrito_por,"Ortiz, Fernando"
Versos y años,fue_escrito_por,"Ortiz, Fernando"
Verso y glosa,fue_escrito_por,"Ortiz, Fernando"
"Vieja amiga, 1975-1993",fue_escrito_por,"Ortiz, Fernando"
Posdata,fue_escrito_por,"Ortiz, Fernando"
La caja china,fue_escrito_por,"Ortiz, Fernando"
La estirpe de Bécquer,fue_escrito_por,"Ortiz, Fernando"
El otro eje del mal,fue_escrito_por,"Ortiz, Fernando"
Las Fronteras no existen,fue_escrito_por,"Ortiz, Fernando"
Vivir sin estres,fue_escrito_por,"Ortiz, Fernando"
Impacto ambiental de las fundidoras de cobre de la región fronteriza entre México y Estados Unidos,fue_escrito_por,"Ortiz, Fernando"
Mariposa monarca,fue_escrito_por,"Ortiz, Fernando"
Crónicas negras del poder,fue_escrito_por,"Ortiz, Fernando"
"El movimiento obrero en Chile, 1891-1919",fue_escrito_por,"Ortiz, Fernando"
Coral peregrino,fue_escrito_por,"Ortiz, Fernando"
Innovación tecnológica incremental para la producción rural,fue_escrito_por,"Ortiz, Fernando"
Camino a la Excelencia en el Servicio,fue_escrito_por,"Ortiz, Fernando"
Preludios Étnicos de la Música Afrocubana,fue_escrito_por,"Ortiz, Fernando"
Glosario de Afronegrismos. Vol. 1,fue_escrito_por,"Ortiz, Fernando"
"Cantos a Bolivia, 1940-1984",fue_escrito_por,"Ortiz, Fernando"
"Cantos de los oasis de la noche, 1973-1983",fue_escrito_por,"Ortiz, Fernando"
El destino del escritor,fue_escrito_por,"Ortiz, Fernando"
La barricada,fue_escrito_por,"Ortiz, Fernando"
La Cruz del Sur,fue_escrito_por,"Ortiz, Fernando"
"Los cantos precarios, 1960-1980",fue_escrito_por,"Ortiz, Fernando"
Mares del sur y otros poemas,fue_escrito_por,"Ortiz, Fernando"
Meditaciones del atardecer,fue_escrito_por,"Ortiz, Fernando"
Prólogo al adiós ; Cantos de los oasis la noche ; Los cantos precarios ; Cantos a Bolivia ; Estrofas dispersas,fue_escrito_por,"Ortiz, Fernando"
Rebelión del hombre sin camisa,fue_escrito_por,"Ortiz, Fernando"
Siete nadies,fue_escrito_por,"Ortiz, Fernando"
Vivir sin estrés,fue_escrito_por,"Ortiz, Fernando"
"Pasajeros, correspondencia y carga",fue_escrito_por,"Ortiz, Fernando"
Testigo de la tarde,fue_escrito_por,"Ortiz, Fernando"
Periodismo estatal al derecho y al revés,fue_escrito_por,"Ortiz, Fernando"
Cuba etnográfica,fue_escrito_por,"Ortiz, Fernando"
Casino uno CIA-Mossad-MI-6,fue_escrito_por,"Ortiz, Fernando"
"Alfonso L. Herrera, padre de la ecología en México",fue_escrito_por,"Ortiz, Fernando"
Cirugia Estetica del Esqueleto Facial,fue_escrito_por,"Ortiz, Fernando"
Consideraciones ambientales para la planificación urbana,fue_escrito_por,"Ortiz, Fernando"
Contaminación en la Ciudad de México,fue_escrito_por,"Ortiz, Fernando"
Manejo de los desechos industriales peligrosos en México,fue_escrito_por,"Ortiz, Fernando"
Tierra de árboles y bosques,fue_escrito_por,"Ortiz, Fernando"
Tierra profanada,fue_escrito_por,"Ortiz, Fernando"
El reparo,fue_escrito_por,"Ortiz, Fernando"
El azar de la distancia,fue_escrito_por,"Ortiz, Fernando"
Y finalmente el principio,fue_escrito_por,"Ortiz, Fernando"
La relación cuerpo-mente,fue_escrito_por,"Ortiz, Fernando"
Los cantos precarios (1960-1980),fue_escrito_por,"Ortiz, Fernando"
Crónicas de la República y la Guerra Civil,fue_escrito_por,"Ortiz, Fernando"
Historia de la Isla de Cuba I,fue_escrito_por,"Ortiz, Fernando"
Los colibries,fue_escrito_por,"Ortiz, Fernando"
La corteza del árbol sin nombre,fue_escrito_por,"Ortiz, Fernando"
Glosario de Afronegrismos Vol. 2,fue_escrito_por,"Ortiz, Fernando"
Aves del Ecuador,fue_escrito_por,"Ortiz, Fernando"
Introducción a las aves del Ecuador,fue_escrito_por,"Ortiz, Fernando"
Fernando Ortiz y el Espiritismo,fue_escrito_por,"Ortiz, Fernando"
"El Quito que se fue, 1850-1912",fue_escrito_por,"Ortiz, Fernando"
VII Taller Internacional de Africa en el Caribe,fue_escrito_por,"Ortiz, Fernando"
"La contaminación por cobalto-60 en Ciudad Juárez, Chihuahua",fue_escrito_por,"Ortiz, Fernando"
El vientre del pez,fue_escrito_por,Pablo Armando Fernández
Los niños se despiden,fue_escrito_por,Pablo Armando Fernández
El talismán y otras evocaciones,fue_escrito_por,Pablo Armando Fernández
Himnos,fue_escrito_por,Pablo Armando Fernández
Toda la poesia,fue_escrito_por,Pablo Armando Fernández
Los niños se despiden,fue_escrito_por,Pablo Armando Fernández
Libro de los héroes,fue_escrito_por,Pablo Armando Fernández
Campo de amor y de batalla,fue_escrito_por,Pablo Armando Fernández
"El sueño, la razoń (1948-1983)",fue_escrito_por,Pablo Armando Fernández
En tiempos de siega,fue_escrito_por,Pablo Armando Fernández
Escalas de ascenso,fue_escrito_por,Pablo Armando Fernández
Libro de los heroes,fue_escrito_por,Pablo Armando Fernández
Orbita de Pablo Armando Fernández,fue_escrito_por,Pablo Armando Fernández
Otro golpe de dados,fue_escrito_por,Pablo Armando Fernández
Ser polvo enamorado,fue_escrito_por,Pablo Armando Fernández
Un sitio permanente,fue_escrito_por,Pablo Armando Fernández
Aprendiendo a morir,fue_escrito_por,Pablo Armando Fernández
Con címbalos de júbilo,fue_escrito_por,Pablo Armando Fernández
De piedras y palabras,fue_escrito_por,Pablo Armando Fernández
Esencias en espiral,fue_escrito_por,Pablo Armando Fernández
Junto a las voces del designio,fue_escrito_por,Pablo Armando Fernández
Libro de la vida,fue_escrito_por,Pablo Armando Fernández
Toda la poesía,fue_escrito_por,Pablo Armando Fernández
Los Ninos Se Despiden (Tierra Firme),fue_escrito_por,Pablo Armando Fernández
Esta llama de amor viva,fue_escrito_por,Pablo Armando Fernández
La mano del tiempo,fue_escrito_por,Pablo Armando Fernández
Memorias renacidas,fue_escrito_por,Pablo Armando Fernández
El pequeño cuaderno de Manila Hartman (1947-1951),fue_escrito_por,Pablo Armando Fernández
"El sueño, la razoń (1948-1983)",fue_escrito_por,Pablo Armando Fernández
Los ninos se despiden,fue_escrito_por,Pablo Armando Fernández
En otra estrella,fue_escrito_por,Pablo Armando Fernández
Lo sé de cierto porque lo tengo visto,fue_escrito_por,Pablo Armando Fernández
"El sueño, la razoṅ (1948-1983)",fue_escrito_por,Pablo Armando Fernández
Hacer de Abel progenie,fue_escrito_por,Pablo Armando Fernández
De memoria y anhelos,fue_escrito_por,Pablo Armando Fernández
Los orishas en Cuba,fue_escrito_por,Natalia Bolívar Aróstegui
La sabiduría de los oráculos,fue_escrito_por,Natalia Bolívar Aróstegui
Mitos y leyendas de la comida afrocubana,fue_escrito_por,Natalia Bolívar Aróstegui
Ta makuende yaya y las reglas de Palo Monte,fue_escrito_por,Natalia Bolívar Aróstegui
Ta Makuende Yaya y las reglas de palo monte,fue_escrito_por,Natalia Bolívar Aróstegui
Ifá,fue_escrito_por,Natalia Bolívar Aróstegui
Orisha ayé,fue_escrito_por,Natalia Bolívar Aróstegui
"La muerte es principio, no fin",fue_escrito_por,Natalia Bolívar Aróstegui
La comida afrocubana,fue_escrito_por,Natalia Bolívar Aróstegui
Cuba,fue_escrito_por,Natalia Bolívar Aróstegui
Lydia Cabrera en su laguna sagrada,fue_escrito_por,Natalia Bolívar Aróstegui
Opolopo owó,fue_escrito_por,Natalia Bolívar Aróstegui
Corrientes espirituales en Cuba,fue_escrito_por,Natalia Bolívar Aróstegui
Orishas del panteón afrocubano,fue_escrito_por,Natalia Bolívar Aróstegui
Nkorí,fue_escrito_por,Natalia Bolívar Aróstegui
"Haiti, fuego sagrado",fue_escrito_por,Natalia Bolívar Aróstegui
Sincretismo religioso?,fue_escrito_por,Natalia Bolívar Aróstegui
Espíritus rumberos,fue_escrito_por,Natalia Bolívar Aróstegui
Los perros y los orishas,fue_escrito_por,Natalia Bolívar Aróstegui
Tributo necesario a Lydia Cabrera y sus egguns,fue_escrito_por,Natalia Bolívar Aróstegui
Epistolario,fue_escrito_por,Juana Borrero
Poemas De Juana Borrero/poems of Juana Borrero,fue_escrito_por,Juana Borrero
Cartas De Juana Borrero/letters of Juana Borrero,fue_escrito_por,Juana Borrero
Espíritu de estrellas,fue_escrito_por,Juana Borrero
Poesías y cartas,fue_escrito_por,Juana Borrero
Poesía completa,fue_escrito_por,Juana Borrero
Poemas,fue_escrito_por,Juana Borrero
Cartas,fue_escrito_por,Juana Borrero
Poesías,fue_escrito_por,Juana Borrero
Yo tengo la historia,fue_escrito_por,Ciro Bianchi Ross
Voces de América Latina,fue_escrito_por,Ciro Bianchi Ross
García Lorca,fue_escrito_por,Ciro Bianchi Ross
Así como lo cuento,fue_escrito_por,Ciro Bianchi Ross
La oreja de Dios,fue_escrito_por,Ciro Bianchi Ross
Memoria oculta de La Habana,fue_escrito_por,Ciro Bianchi Ross
Oficio de intruso,fue_escrito_por,Ciro Bianchi Ross
Tras los pasos de Hemingway en La Habana,fue_escrito_por,Ciro Bianchi Ross
Un hombre en la noticia,fue_escrito_por,Ciro Bianchi Ross
Contar La Habana,fue_escrito_por,Ciro Bianchi Ross
La Habana de Hemingway y otras historias,fue_escrito_por,Ciro Bianchi Ross
"Uno, caballo, dos, mariposa",fue_escrito_por,Ciro Bianchi Ross
Secreto de confesión,fue_escrito_por,Ciro Bianchi Ross
Paseo por La Habana,fue_escrito_por,Ciro Bianchi Ross
Palabra de escribidor,fue_escrito_por,Ciro Bianchi Ross
Palabras rencontradas,fue_escrito_por,Ciro Bianchi Ross
Cojo de la Bocina y Otras Historias,fue_escrito_por,Ciro Bianchi Ross
Contar a Cuba,fue_escrito_por,Ciro Bianchi Ross
Letra con música de fondo,fue_escrito_por,Ciro Bianchi Ross
El crimen de la mancha en el espejo,fue_escrito_por,Ciro Bianchi Ross
Agenda de la República,fue_escrito_por,Ciro Bianchi Ross
Oye la historia que contome un día,fue_escrito_por,Ciro Bianchi Ross
Odontologia,fue_escrito_por,Raúl Luis
ESAS FORMAS DE COMUNICACIÓN QUE ANDAN POR AHÍ,fue_escrito_por,Raúl Luis
Poemas David 69,fue_escrito_por,Raúl Luis
Los barrabases,fue_escrito_por,Raúl Luis
Sistema Nervioso,fue_escrito_por,Raúl Luis
"El sitio existe, es hermoso",fue_escrito_por,Raúl Luis
Las pequeñas historias,fue_escrito_por,Raúl Luis
El reino de la invención,fue_escrito_por,Raúl Luis
El resplandor de la panadería,fue_escrito_por,Raúl Luis
Seis a la mesa,fue_escrito_por,Raúl Luis
Atlas Sistema Cardiovascular,fue_escrito_por,Raúl Luis
Infectologia,fue_escrito_por,Raúl Luis
Insuficiencia Cardiaca y Diabetes,fue_escrito_por,Raúl Luis
Miniatlas Sistema Musculoesqueletico,fue_escrito_por,Raúl Luis
P.R. Vademecum Indice Farmacologico Desarrollado,fue_escrito_por,Raúl Luis
Pediatria,fue_escrito_por,Raúl Luis
La anunciación de la partera,fue_escrito_por,Raúl Luis
Q̂ué cosas!,fue_escrito_por,Raúl Luis
Y no nos dejes caer,fue_escrito_por,Raúl Luis
Organismos administrativos del trabajo. Prólogo por Humberto A. Podetti,fue_escrito_por,Raúl Luis
Infecciones Bacterianas (Miniatlas),fue_escrito_por,Raúl Luis
Psoriasis y Otras Dematosis Frecuentes (Miniatlas),fue_escrito_por,Raúl Luis
Afecciones del Aparato Locomotor,fue_escrito_por,Raúl Luis
Alergia,fue_escrito_por,Raúl Luis
Anatomia - 2 Tomos,fue_escrito_por,Raúl Luis
Asma Bronquial,fue_escrito_por,Raúl Luis
Atlas de Arte Anatomico,fue_escrito_por,Raúl Luis
Atlas Sistema Respiratorio,fue_escrito_por,Raúl Luis
Colesterol y Aterosclerosis,fue_escrito_por,Raúl Luis
El Dolor En Pediatria,fue_escrito_por,Raúl Luis
El Segundo Rostro,fue_escrito_por,Raúl Luis
Enfermedades de La Tercera Edad,fue_escrito_por,Raúl Luis
Epilepsia y Alzheimer,fue_escrito_por,Raúl Luis
Farmacologia,fue_escrito_por,Raúl Luis
Higado y Vias Biliares,fue_escrito_por,Raúl Luis
Hipertension Arterial (Miniatlas),fue_escrito_por,Raúl Luis
Interacciones Medicamentosas,fue_escrito_por,Raúl Luis
La Piel,fue_escrito_por,Raúl Luis
Osteoporosis,fue_escrito_por,Raúl Luis
Parkinson,fue_escrito_por,Raúl Luis
Productos Farmaceuticos de Venta En La Argentina,fue_escrito_por,Raúl Luis
PR Vademecum 2006 - 2 Tomos + 1 CD 13b* Edicion,fue_escrito_por,Raúl Luis
Sexualidad,fue_escrito_por,Raúl Luis
Vertigo,fue_escrito_por,Raúl Luis
Organismos administrativos del trabajo,fue_escrito_por,Raúl Luis
La crisis del Golfo Pérsico y las Naciones Unidas,fue_escrito_por,Raúl Luis
La solución pacífica de controversias internacionales en el sistema americano,fue_escrito_por,Raúl Luis
Calles asiáticas,fue_escrito_por,Raúl Luis
Los jóvenes y el mundo del trabajo,fue_escrito_por,Raúl Luis
Teoría estadística de decisión y análisis bayesiano,fue_escrito_por,Raúl Luis
Bajos fondos del alma,fue_escrito_por,Raúl Luis
La solución pacífica de controversias internacionales en el sistema americano,fue_escrito_por,Raúl Luis
Ruta de lágrimas,fue_escrito_por,Raúl Luis
Textículos bestiales,fue_escrito_por,Raúl Luis
Enfoques a las normas internacionales de contabilidad en Colombia,fue_escrito_por,Raúl Luis
Introducción al estudio de las situaciones jurídicas,fue_escrito_por,Raúl Luis
La reforma universitaria en Chile (1967-1973),fue_escrito_por,Raúl Luis
El manejo y la interpretación jurídica de la norma fiscal federal,fue_escrito_por,Raúl Luis
Medios de participación ciudadana,fue_escrito_por,Raúl Luis
Hora es ya,fue_escrito_por,Raúl Luis
Introducción al estudio de las situaciónes juridicas,fue_escrito_por,Raúl Luis
De los contratos en rebeldía,fue_escrito_por,Raúl Luis
Arquitectura indígena,fue_escrito_por,Raúl Luis
Arquitectura indígena: los Tukano,fue_escrito_por,Raúl Luis
"Banco Popular, Museo Arqueológico, Casa del Marqués de San Jorge, Bogotá, Colombia",fue_escrito_por,Raúl Luis
El alfarero,fue_escrito_por,Raúl Luis
El desarrollo urbano en Colombia,fue_escrito_por,Raúl Luis
Los correos y las estampillas de Cúcuta y del Norte de Santander,fue_escrito_por,Raúl Luis
Introduccion al estudio de las situaciones juridicas,fue_escrito_por,Raúl Luis
La ideología política de los legisladores puertorriqueños,fue_escrito_por,Raúl Luis
Que supimos conseguir,fue_escrito_por,Raúl Luis
Tertulia poética,fue_escrito_por,Raúl Luis
Según pasan los años,fue_escrito_por,Raúl Luis
La escuela exigida,fue_escrito_por,Raúl Luis
De la hueste indiana al pretorianismo del siglo XX,fue_escrito_por,Raúl Luis
"Liberalización, ajuste y reestructuración de la agricultura española",fue_escrito_por,Raúl Luis
Esas formas de comunicación que andan por ahí,fue_escrito_por,Raúl Luis
OpopÓnaco,fue_escrito_por,Raúl Luis
"Ensayos sobre teoría económica, economía urbana y regional, desarrollo energético, actividades ilícitas",fue_escrito_por,Raúl Luis
Las lenguas de ayer en las voces de hoy,fue_escrito_por,Raúl Luis
Yzur,fue_escrito_por,Raúl Luis
"Arqueología de Mutiscua, Norte de Santander, Colombia S.A.",fue_escrito_por,Raúl Luis
La primera noche de cementerio,fue_escrito_por,Raúl Luis
Rapsodia antillana,fue_escrito_por,Raúl Luis
Libertad de expresión y responsabilidad social,fue_escrito_por,Raúl Luis
El constitucionalismo contemporáneo,fue_escrito_por,Raúl Luis
Sobre economía latinoamericana,fue_escrito_por,Raúl Luis
El Evangelio segun Marcos,fue_escrito_por,Raúl Luis
Boedo y Florida,fue_escrito_por,Raúl Luis
El sueño del libertador,fue_escrito_por,Raúl Luis
Muro y mito,fue_escrito_por,Raúl Luis
"Estado constitucional, derechos humanos, justicia y vida universitaria",fue_escrito_por,Raúl Luis
Naturaleza y diversidad humana,fue_escrito_por,Raúl Luis
Estudios en historia y filosofía de la biología,fue_escrito_por,Raúl Luis
VENTILACION en BUQUES,fue_escrito_por,Raúl Luis
Ventolera,fue_escrito_por,Raúl Luis
Asesinos de papel,fue_escrito_por,Raúl Luis
El Cuento policial,fue_escrito_por,Raúl Luis
Desarrollo económico local,fue_escrito_por,Raúl Luis
"Guillermo P. Rodríguez, 1862-1912",fue_escrito_por,Raúl Luis
La ciudad y los desplazados por la violencia,fue_escrito_por,Raúl Luis
Anatomía Humana,fue_escrito_por,Raúl Luis
Integración solidaria,fue_escrito_por,Raúl Luis
Tres discursos,fue_escrito_por,Raúl Luis
Para un castillo de penas,fue_escrito_por,Raúl Luis
Almería,fue_escrito_por,Raúl Luis
Kviernikolas 2,fue_escrito_por,Raúl Luis
Fundamentos teóricos y prácticos del nuevo Plan General Contable (Técnica Tapa Dura) (Spanish Edition),fue_escrito_por,Raúl Luis
Romancero de la guerra española,fue_escrito_por,Raúl Luis
Informe sobre la democracia mexicana en una época de expectativas rotas,fue_escrito_por,Raúl Luis
No son molinos,fue_escrito_por,Raúl Luis
Santiago literario,fue_escrito_por,León Estrada
Cuaderno del año de la ira,fue_escrito_por,León Estrada
Diccionario de escritores santiagueros,fue_escrito_por,León Estrada
El tiempo de los fieles,fue_escrito_por,León Estrada
Libro de la duda y el deseo,fue_escrito_por,León Estrada
Luis Díaz Oduardo,fue_escrito_por,León Estrada
Efraín Nadereau Maceo como una galaxia precipitada en el cosmos,fue_escrito_por,León Estrada
La patria de la luz,fue_escrito_por,León Estrada
Entre el cuerpo y la luz,fue_escrito_por,León Estrada
La poesía contemporánea de Santiago de Cuba,fue_escrito_por,León Estrada
Los hilos telegráficos en la revolución orozquista,fue_escrito_por,León Estrada
Matriz,fue_escrito_por,León Estrada
Silvio,fue_escrito_por,León Estrada
Las siete partidas,fue_escrito_por,León Estrada
Educación,fue_escrito_por,León Estrada
Biobibliografía de Alejo Carpentier,fue_escrito_por,Araceli García-Carranza
Biobibliografía de Alejo Carpentier,fue_escrito_por,Araceli García-Carranza
Bibliografía cubana del comandante Ernesto Che Guevara,fue_escrito_por,Araceli García-Carranza
Bibliografía del Asalto al Cuartel Moncada,fue_escrito_por,Araceli García-Carranza
Biobibliografía de Carlos Rafael Rodríguez,fue_escrito_por,Araceli García-Carranza
Biobibliografía de Emilio Roig de Leuchsenring,fue_escrito_por,Araceli García-Carranza
Biobibliografía de Lisandro Otero,fue_escrito_por,Araceli García-Carranza
"Biobibliografía, Eusebio Leal Spengler",fue_escrito_por,Araceli García-Carranza
Cronología Fernando Ortiz,fue_escrito_por,Araceli García-Carranza
Eugenio María de Hostos en la Biblioteca Nacional José Martí,fue_escrito_por,Araceli García-Carranza
Indice analítico de La Gaceta de Cuba,fue_escrito_por,Araceli García-Carranza
"Indice de la Revista de la Biblioteca Nacional José Marti, 1909-1969",fue_escrito_por,Araceli García-Carranza
Indices analíticos de los Anales de don Ramón de la Sagra,fue_escrito_por,Araceli García-Carranza
Indices de revistas cubanas siglo XIX,fue_escrito_por,Araceli García-Carranza
Bibliografía del Asalto al Cuartel Moncada,fue_escrito_por,Araceli García-Carranza
Biobibliografía de Carlos Rafael Rodríguez,fue_escrito_por,Araceli García-Carranza
"Biobibliografía, Eusebio Leal Spengler",fue_escrito_por,Araceli García-Carranza
Índice analítico de la Revista Bimestre cubana,fue_escrito_por,Araceli García-Carranza
"Índice de la revista Cine cubano, 1960-2010",fue_escrito_por,Araceli García-Carranza
Don Fernándo Ortiz,fue_escrito_por,Araceli García-Carranza
Indice del Boletín de la Sociedad Antropológica de la Isla de Cuba,fue_escrito_por,Araceli García-Carranza
Bibliografia de Emilio Roig de Leuchsenring,fue_escrito_por,Araceli García-Carranza
Bibliografía de José Lezama Lima,fue_escrito_por,Araceli García-Carranza
Exposición homenaja a Don Fernando Ortiz 1881-1969 en el centenario de su nacimiento,fue_escrito_por,Araceli García-Carranza
Indice analítico de la Revista Bimestre Cubana,fue_escrito_por,Araceli García-Carranza
Maneras de narrar,fue_escrito_por,Alberto Gutiérrez de la Solana
Apuntes documentados de la lucha por la libertad de Cuba,fue_escrito_por,Alberto Gutiérrez de la Solana
Investigación y crítica literaria y lingüística cubana,fue_escrito_por,Alberto Gutiérrez de la Solana
"Humberto Piñera Llera, pensador, escritor, crítico y educador",fue_escrito_por,Alberto Gutiérrez de la Solana
"Festschrift, José Cid Pérez",fue_escrito_por,Alberto Gutiérrez de la Solana
Calibán,fue_escrito_por,Roberto Fernández Retamar
Todo Caliban,fue_escrito_por,Roberto Fernández Retamar
Calibán,fue_escrito_por,Roberto Fernández Retamar
"Felices Los Normales Poesas Escogidas, 1949-1999 (Intemporales)",fue_escrito_por,Roberto Fernández Retamar
En esta nuestra tierra,fue_escrito_por,Roberto Fernández Retamar
Antología personal,fue_escrito_por,Roberto Fernández Retamar
Ensayo de otro mundo,fue_escrito_por,Roberto Fernández Retamar
Historia antigua,fue_escrito_por,Roberto Fernández Retamar
Juana y otros poemas personales,fue_escrito_por,Roberto Fernández Retamar
Para el perfil definitivo del hombre,fue_escrito_por,Roberto Fernández Retamar
Para una teoría de la literatura hispanoamericana,fue_escrito_por,Roberto Fernández Retamar
Idea de la estilística,fue_escrito_por,Roberto Fernández Retamar
Aquí,fue_escrito_por,Roberto Fernández Retamar
Cuba defendida,fue_escrito_por,Roberto Fernández Retamar
Para una teoría de la literatura hispanoamericana,fue_escrito_por,Roberto Fernández Retamar
Palabra de mi pueblo,fue_escrito_por,Roberto Fernández Retamar
Cicatrices en la memoria,fue_escrito_por,Roberto Fernández Retamar
El son de vuelo popular,fue_escrito_por,Roberto Fernández Retamar
Buena suerte viviendo,fue_escrito_por,Roberto Fernández Retamar
Recuerdo a,fue_escrito_por,Roberto Fernández Retamar
"Alabanzas, conversaciones, 1951-1955",fue_escrito_por,Roberto Fernández Retamar
Algo semejante a los monstruos antediluvianos,fue_escrito_por,Roberto Fernández Retamar
Algunos problemas teóricos de la literatura hispanoamericana,fue_escrito_por,Roberto Fernández Retamar
Algunos usos de civilización y barbarie y otros ensayos,fue_escrito_por,Roberto Fernández Retamar
Aquí,fue_escrito_por,Roberto Fernández Retamar
Calibán y otros ensayos,fue_escrito_por,Roberto Fernández Retamar
Cinco poemas griegos,fue_escrito_por,Roberto Fernández Retamar
Circunstancia de poesía,fue_escrito_por,Roberto Fernández Retamar
Circunstancia ; y Juana,fue_escrito_por,Roberto Fernández Retamar
Concierto para la mano izquierda,fue_escrito_por,Roberto Fernández Retamar
"Con las mismas manos, 1949-1962",fue_escrito_por,Roberto Fernández Retamar
Cosas del corazón y otros poemas,fue_escrito_por,Roberto Fernández Retamar
Cuaderno paralelo,fue_escrito_por,Roberto Fernández Retamar
Elegía como un himno,fue_escrito_por,Roberto Fernández Retamar
