Obra,Relación,País del Autor
Carlos Pellicer,el_autor_es_del_pais,Mexico
"Cuerdas, percusión y aliento",el_autor_es_del_pais,Mexico
Esquemas para una oda tropical,el_autor_es_del_pais,Mexico
Noticias sobre Nezahualcoyotl y algunos sentimientos,el_autor_es_del_pais,Mexico
Obras,el_autor_es_del_pais,Mexico
Práctica de vuelo,el_autor_es_del_pais,Mexico
Subordinaciones,el_autor_es_del_pais,Mexico
Piedra de sacrificios,el_autor_es_del_pais,Mexico
"Correo familiar, 1918-1920",el_autor_es_del_pais,Mexico
Esta barca sin remos es la mía,el_autor_es_del_pais,Mexico
Colores en el mar,el_autor_es_del_pais,Mexico
Bolivar,el_autor_es_del_pais,Mexico
Camino,el_autor_es_del_pais,Mexico
Cartas desde Italia,el_autor_es_del_pais,Mexico
Colores Con Brisa,el_autor_es_del_pais,Mexico
Con palabras y fuego,el_autor_es_del_pais,Mexico
"Correspondencia, 1925-1959",el_autor_es_del_pais,Mexico
Cosillas para el nacimiento,el_autor_es_del_pais,Mexico
Cuaderno de viaje,el_autor_es_del_pais,Mexico
"Discurso por las flores, poema",el_autor_es_del_pais,Mexico
El retorno del mundo olmeca,el_autor_es_del_pais,Mexico
El sol en un pesebre,el_autor_es_del_pais,Mexico
Hora de junio  (1929-1936),el_autor_es_del_pais,Mexico
Hora y 20,el_autor_es_del_pais,Mexico
Museos de Tabasco,el_autor_es_del_pais,Mexico
Noticias sobre Nezahualcoyotl y algunos sentimentos,el_autor_es_del_pais,Mexico
"Obras, poesía",el_autor_es_del_pais,Mexico
Poesía,el_autor_es_del_pais,Mexico
Primera antologi a poe tica,el_autor_es_del_pais,Mexico
Recinto,el_autor_es_del_pais,Mexico
Recinto ; Otras imágenes,el_autor_es_del_pais,Mexico
"Recinto, y otras imagenes",el_autor_es_del_pais,Mexico
Reincidencias,el_autor_es_del_pais,Mexico
Sonetos,el_autor_es_del_pais,Mexico
"Teotihuacán, y 13 de agosto: ruina de Tenochtitlán",el_autor_es_del_pais,Mexico
Valle de México,el_autor_es_del_pais,Mexico
Primera antología poética,el_autor_es_del_pais,Mexico
Breve antologi a,el_autor_es_del_pais,Mexico
Tierra Santa,el_autor_es_del_pais,Mexico
Noticias sobre Nezahualcóyotl y algunos sentimientos,el_autor_es_del_pais,Mexico
Dos calas en la historiografía literaria de Carlos Pellicer,el_autor_es_del_pais,Mexico
Espiga de junio,el_autor_es_del_pais,Mexico
"El secretario español; ó, Nuevo estilo de cartas y sus respuestas segun el gusto del día ...",el_autor_es_del_pais,Mexico
"6, 7 [i.e. Seis, siete] poemas de Carlos Pellicer",el_autor_es_del_pais,Mexico
Cantos que dan vida,el_autor_es_del_pais,Mexico
Antología mínima,el_autor_es_del_pais,Mexico
Poesía completa,el_autor_es_del_pais,Mexico
Árbol del trópico,el_autor_es_del_pais,Mexico
Poetas tabasqueños,el_autor_es_del_pais,Mexico
Hora de junio,el_autor_es_del_pais,Mexico
Antología breve,el_autor_es_del_pais,Mexico
Anahuacalli,el_autor_es_del_pais,Mexico
"6, 7 poemas",el_autor_es_del_pais,Mexico
"Material poe tico, 1918-1961. --",el_autor_es_del_pais,Mexico
Exágonos,el_autor_es_del_pais,Mexico
El Mundo de Jesús Reyes Ferreira,el_autor_es_del_pais,Mexico
"Poesía y el estudio ""Aguas de Carlos Pellicer"" de José Prats Sariol",el_autor_es_del_pais,Mexico
"Apuntes de Mexico, Tenochtitlán",el_autor_es_del_pais,Mexico
Simón Bolívar,el_autor_es_del_pais,Mexico
Hora de Junio,el_autor_es_del_pais,Mexico
Práctica de Vuelo,el_autor_es_del_pais,Mexico
El Tigre De Naim,el_autor_es_del_pais,Mexico
Julieta y Su Caja de Colores,el_autor_es_del_pais,Mexico
La Historia De La Abuela,el_autor_es_del_pais,Mexico
Encáusticas,el_autor_es_del_pais,Mexico
Juan y sus zapatos,el_autor_es_del_pais,Mexico
Geografía política y económica latinoamericana y argentina,el_autor_es_del_pais,Mexico
Mirando el río de aquellas tardes,el_autor_es_del_pais,Mexico
Historias para habitar (Cuentos Portatiles) (Spanish Edition),el_autor_es_del_pais,Mexico
El libro verde,el_autor_es_del_pais,Mexico
Estudios de literatura mexicana,el_autor_es_del_pais,Mexico
Libertad de movimiento,el_autor_es_del_pais,Mexico
Aura,el_autor_es_del_pais,Mexico
The Buried Mirror,el_autor_es_del_pais,Mexico
Gringo viejo,el_autor_es_del_pais,Mexico
La muerte de Artemio Cruz,el_autor_es_del_pais,Mexico
Terra nostra,el_autor_es_del_pais,Mexico
Agua quemada,el_autor_es_del_pais,Mexico
Muerte de Artemio Cruz,el_autor_es_del_pais,Mexico
La región más transparente,el_autor_es_del_pais,Mexico
Tiempo mexicano,el_autor_es_del_pais,Mexico
La nueva novela hispanoamericana,el_autor_es_del_pais,Mexico
El Naranjo,el_autor_es_del_pais,Mexico
Christopher unborn,el_autor_es_del_pais,Mexico
Las buenas conciencias,el_autor_es_del_pais,Mexico
Cambio de piel,el_autor_es_del_pais,Mexico
La region mas transparente,el_autor_es_del_pais,Mexico
Todos los gatos son pardos,el_autor_es_del_pais,Mexico
Cuerpos y ofrendas,el_autor_es_del_pais,Mexico
A change of skin,el_autor_es_del_pais,Mexico
Cantar de ciegos,el_autor_es_del_pais,Mexico
Instinto de Inez,el_autor_es_del_pais,Mexico
La frontera de cristal,el_autor_es_del_pais,Mexico
El tuerto es rey,el_autor_es_del_pais,Mexico
En esto creo,el_autor_es_del_pais,Mexico
Una familia lejana,el_autor_es_del_pais,Mexico
Vlad,el_autor_es_del_pais,Mexico
Nuevo tiempo mexicano,el_autor_es_del_pais,Mexico
Los 68,el_autor_es_del_pais,Mexico
"Diana, o, La cazadora solitaria",el_autor_es_del_pais,Mexico
La campaña,el_autor_es_del_pais,Mexico
Todas las familias felices,el_autor_es_del_pais,Mexico
The good conscience,el_autor_es_del_pais,Mexico
La cabeza de la hidra,el_autor_es_del_pais,Mexico
Los días enmascarados,el_autor_es_del_pais,Mexico
El espejo enterrado,el_autor_es_del_pais,Mexico
Carlos Fuentes,el_autor_es_del_pais,Mexico
The Hydra Head,el_autor_es_del_pais,Mexico
Cumplean os,el_autor_es_del_pais,Mexico
El mal del tiempo,el_autor_es_del_pais,Mexico
Zona sagrada,el_autor_es_del_pais,Mexico
En Esto Creo,el_autor_es_del_pais,Mexico
Aquiles o El guerrillero y el asesino,el_autor_es_del_pais,Mexico
La  región más transparente,el_autor_es_del_pais,Mexico
La silla del águila,el_autor_es_del_pais,Mexico
La Region Mas Transparente (Alfaguara),el_autor_es_del_pais,Mexico
Los Anos Con Laura Diaz,el_autor_es_del_pais,Mexico
Los años con Laura Díaz (Biblioteca Carlos Fuentes),el_autor_es_del_pais,Mexico
Los Años Con Laura Diaz,el_autor_es_del_pais,Mexico
Por un progreso incluyente,el_autor_es_del_pais,Mexico
Viendo Visiones (Arte Universal),el_autor_es_del_pais,Mexico
Casa con dos puertas,el_autor_es_del_pais,Mexico
Cervantes,el_autor_es_del_pais,Mexico
Chac mool y otros cuentos,el_autor_es_del_pais,Mexico
Constancia,el_autor_es_del_pais,Mexico
Cumpleaños,el_autor_es_del_pais,Mexico
"El naranjo, o, Los Círculos del tiempo",el_autor_es_del_pais,Mexico
En esto creo (In This I Believe),el_autor_es_del_pais,Mexico
Geografía de la novela,el_autor_es_del_pais,Mexico
La Silla Del Aguila,el_autor_es_del_pais,Mexico
Los cinco soles de México,el_autor_es_del_pais,Mexico
Obras completas,el_autor_es_del_pais,Mexico
Terra Nostra,el_autor_es_del_pais,Mexico
Valiente mundo nuevo,el_autor_es_del_pais,Mexico
"68, LOS",el_autor_es_del_pais,Mexico
Cambio De Piel/a Change of Skin,el_autor_es_del_pais,Mexico
Ceremonias del alba,el_autor_es_del_pais,Mexico
Cuentos sobrenaturales/ Supernatural Stories,el_autor_es_del_pais,Mexico
El Prisionero De Las Lomas/ the Prisoner of the Hills (Mexican Authors),el_autor_es_del_pais,Mexico
Feliz año nuevo,el_autor_es_del_pais,Mexico
Inquieta compañía,el_autor_es_del_pais,Mexico
La silla del águila,el_autor_es_del_pais,Mexico
Cristóbal Nonato,el_autor_es_del_pais,Mexico
La región más transparente,el_autor_es_del_pais,Mexico
EL TUERTO ES REY,el_autor_es_del_pais,Mexico
La gran novela Latinoamericana,el_autor_es_del_pais,Mexico
PERSONAS,el_autor_es_del_pais,Mexico
La muerte de Artemio Cruz / Aura,el_autor_es_del_pais,Mexico
El naranjo,el_autor_es_del_pais,Mexico
La voluntad y la fortuna,el_autor_es_del_pais,Mexico
La Muerte de Artemio Cruz,el_autor_es_del_pais,Mexico
"La Muerte De Artemio Cruz (Punto De Lectura, 108/1)",el_autor_es_del_pais,Mexico
LA Muerte De Artemio Cruz (Spanish),el_autor_es_del_pais,Mexico
La Region Mas Transparente/ the Most Clear Region (Conmemorativa 70 Aniversario Fce),el_autor_es_del_pais,Mexico
La silla del Aguila,el_autor_es_del_pais,Mexico
Los años con Laura Díaz,el_autor_es_del_pais,Mexico
Los dias enmascarados,el_autor_es_del_pais,Mexico
Los Dias Enmascarados,el_autor_es_del_pais,Mexico
Los nuevos,el_autor_es_del_pais,Mexico
Los reinos originarios,el_autor_es_del_pais,Mexico
Machado De LA Mancha,el_autor_es_del_pais,Mexico
Obras reunidas,el_autor_es_del_pais,Mexico
Obras Reunidas I/ Collected Works I (Obras Reunidas),el_autor_es_del_pais,Mexico
Orquídeas a la luz de la luna,el_autor_es_del_pais,Mexico
Maria Felix Todas mis guerras,el_autor_es_del_pais,Mexico
El poder y el delirio,el_autor_es_del_pais,Mexico
Los redentores,el_autor_es_del_pais,Mexico
Caudillos Culturales En LA Revolucion Mexicana,el_autor_es_del_pais,Mexico
Emiliano Zapata,el_autor_es_del_pais,Mexico
Trilogia Historica De Mexico,el_autor_es_del_pais,Mexico
La presidencia imperial,el_autor_es_del_pais,Mexico
Daniel Cosio Villegas,el_autor_es_del_pais,Mexico
"Lázaro Cárdenas, general misionero",el_autor_es_del_pais,Mexico
Travesia Liberal,el_autor_es_del_pais,Mexico
Siglo de caudillos,el_autor_es_del_pais,Mexico
Personas e ideas,el_autor_es_del_pais,Mexico
La presencia del pasado,el_autor_es_del_pais,Mexico
Porfirio Díaz,el_autor_es_del_pais,Mexico
Spinoza en el Parque México,el_autor_es_del_pais,Mexico
Octavio Paz,el_autor_es_del_pais,Mexico
La historia cuenta,el_autor_es_del_pais,Mexico
El sexenio de Lázaro Cárdenas,el_autor_es_del_pais,Mexico
Por una democracia sin adjetivos,el_autor_es_del_pais,Mexico
Biografía del poder,el_autor_es_del_pais,Mexico
América Latina,el_autor_es_del_pais,Mexico
Mistico De La Autoridad,el_autor_es_del_pais,Mexico
Caras de la historia,el_autor_es_del_pais,Mexico
La reconstrucción económica,el_autor_es_del_pais,Mexico
Francisco Villa,el_autor_es_del_pais,Mexico
Biografia del poder/A Biography of Power,el_autor_es_del_pais,Mexico
"Daniel Cosío Villegas, una biografía intelectual",el_autor_es_del_pais,Mexico
El sexenio de Carlos Salinas,el_autor_es_del_pais,Mexico
El sexenio de Díaz Ordaz,el_autor_es_del_pais,Mexico
El sexenio de López Portillo,el_autor_es_del_pais,Mexico
El sexenio de Luis Echeverría,el_autor_es_del_pais,Mexico
El sexenio de Miguel de la Madrid,el_autor_es_del_pais,Mexico
El vértigo de la victoria,el_autor_es_del_pais,Mexico
Francisco I. Madero,el_autor_es_del_pais,Mexico
La Presencia del Pasado / The Presence of the Past,el_autor_es_del_pais,Mexico
La Presidencia Imperial/The Imperial Presidency,el_autor_es_del_pais,Mexico
Mexicanos eminentes,el_autor_es_del_pais,Mexico
Mistico De La Libertad Madero (Biografia del Poder),el_autor_es_del_pais,Mexico
Plutarco E. Calles,el_autor_es_del_pais,Mexico
Porfirio,el_autor_es_del_pais,Mexico
"Venustiano Carranza, puente entre siglos",el_autor_es_del_pais,Mexico
El mestizaje mexicano,el_autor_es_del_pais,Mexico
Crítico Al Poder Presidencial,el_autor_es_del_pais,Mexico
Entre el ángel y el fierro,el_autor_es_del_pais,Mexico
Lecumberri,el_autor_es_del_pais,Mexico
Generaciones de la literatura Mexicana 1950-2000,el_autor_es_del_pais,Mexico
Tiempo contado,el_autor_es_del_pais,Mexico
Textos heréticos,el_autor_es_del_pais,Mexico
Tarea política,el_autor_es_del_pais,Mexico
Democracia en construcción (2006-2016),el_autor_es_del_pais,Mexico
Biografía,el_autor_es_del_pais,Mexico
La respuesta liberal,el_autor_es_del_pais,Mexico
La cocina mexicana a través de los siglos,el_autor_es_del_pais,Mexico
Octavio Paz y el Reino Unido,el_autor_es_del_pais,Mexico
El Palacio Nacional,el_autor_es_del_pais,Mexico
Al filo del agua,el_autor_es_del_pais,Mexico
La creación,el_autor_es_del_pais,Mexico
Flor de juegos antiguos,el_autor_es_del_pais,Mexico
Las tierras flacas,el_autor_es_del_pais,Mexico
Tres cuentos,el_autor_es_del_pais,Mexico
Fray Bartolome de las Casas,el_autor_es_del_pais,Mexico
Mitos indígenas,el_autor_es_del_pais,Mexico
Discursos al servicio de la educación pública,el_autor_es_del_pais,Mexico
La creación,el_autor_es_del_pais,Mexico
Las vueltas del tiempo,el_autor_es_del_pais,Mexico
La tierra pródiga,el_autor_es_del_pais,Mexico
Los sentidos al aire,el_autor_es_del_pais,Mexico
Obras escogidas,el_autor_es_del_pais,Mexico
Archipiélago de mujeres,el_autor_es_del_pais,Mexico
"Don Justo Sierra, su vida, sus ideas y su obra",el_autor_es_del_pais,Mexico
El contenido social de la literatura iberoamericana,el_autor_es_del_pais,Mexico
Genio y figuras de Guadalajara,el_autor_es_del_pais,Mexico
La tierra pródiga,el_autor_es_del_pais,Mexico
Isolda,el_autor_es_del_pais,Mexico
Flor De Juego Antiguos/old Flower Juice,el_autor_es_del_pais,Mexico
La Creaciýýn (Colecciýýn popular),el_autor_es_del_pais,Mexico
Seis novelas,el_autor_es_del_pais,Mexico
Quinto informe del estado de la administración pública de Jalisco que rinde ante la H. XLI Legislatura el C. Gobernador Constitucional Lic. Agustín Yáñez el dia 1o de febrero de 1958,el_autor_es_del_pais,Mexico
Ojerosa y pintada,el_autor_es_del_pais,Mexico
Flor de juegos Antiguos,el_autor_es_del_pais,Mexico
Alfonso Gutierrez Hermosillo y algunos amigos,el_autor_es_del_pais,Mexico
Archipielago de mujeres,el_autor_es_del_pais,Mexico
Don Juan va a tener un hijo,el_autor_es_del_pais,Mexico
Espejismo de Juchitán,el_autor_es_del_pais,Mexico
Esta es mala suerte,el_autor_es_del_pais,Mexico
Fray Bartolomé de las Casas,el_autor_es_del_pais,Mexico
Isolda [novela],el_autor_es_del_pais,Mexico
La ladera dorada,el_autor_es_del_pais,Mexico
"Melibea, Isolda y Alda en tierras cálidas",el_autor_es_del_pais,Mexico
Mitos indígenas,el_autor_es_del_pais,Mexico
Obras,el_autor_es_del_pais,Mexico
"Ojerosa y pintada, la vida en la ciudad de México",el_autor_es_del_pais,Mexico
Ojersoa y pintada,el_autor_es_del_pais,Mexico
Santa Anna,el_autor_es_del_pais,Mexico
Acto preparatorio de Al filo del agua,el_autor_es_del_pais,Mexico
Alfonso Gutiérrez Hermosillo y algunos amigos,el_autor_es_del_pais,Mexico
"Angel de oro, arenita del marqués",el_autor_es_del_pais,Mexico
Crónicas de la conquista,el_autor_es_del_pais,Mexico
Crónicas de la conquista de México,el_autor_es_del_pais,Mexico
Días de Bali,el_autor_es_del_pais,Mexico
Discursos por Jalisco,el_autor_es_del_pais,Mexico
Espejismo de Juchitán,el_autor_es_del_pais,Mexico
Imágenes y evocaciones,el_autor_es_del_pais,Mexico
La formación política,el_autor_es_del_pais,Mexico
Los  sentidos al aire,el_autor_es_del_pais,Mexico
"Melibea, Isolda y Alda en tierras cálidas",el_autor_es_del_pais,Mexico
"Ojerosa y pintada, la vida en la ciudad de México",el_autor_es_del_pais,Mexico
Pasión y convalecencia,el_autor_es_del_pais,Mexico
Por tierras de Nueva Galicia,el_autor_es_del_pais,Mexico
"Santa Anna, espectro de una sociedad",el_autor_es_del_pais,Mexico
Yahualica,el_autor_es_del_pais,Mexico
Fray Bartolomé de Las Casas,el_autor_es_del_pais,Mexico
Fichas mexicanas,el_autor_es_del_pais,Mexico
Antología narrativa,el_autor_es_del_pais,Mexico
Sentidos Al Aire,el_autor_es_del_pais,Mexico
Conciencia de la Revolución,el_autor_es_del_pais,Mexico
Archipiélago de mujeres,el_autor_es_del_pais,Mexico
las vueltas del tiempo,el_autor_es_del_pais,Mexico
Pregón de San Isidro,el_autor_es_del_pais,Mexico
Crónicas de la conquista,el_autor_es_del_pais,Mexico
Crónicas de la conquista de México,el_autor_es_del_pais,Mexico
Actores políticos y desajustes sociales,el_autor_es_del_pais,Mexico
Las bodas de Don Quijote,el_autor_es_del_pais,Mexico
Oriana,el_autor_es_del_pais,Mexico
Las tierras flacas. --,el_autor_es_del_pais,Mexico
Espejismo de Juchitan,el_autor_es_del_pais,Mexico
. . . Doctrina,el_autor_es_del_pais,Mexico
A cien años del 5 de mayo de 1862,el_autor_es_del_pais,Mexico
Epistolario,el_autor_es_del_pais,Mexico
Escritores y artistas de México,el_autor_es_del_pais,Mexico
Lola Álvarez Bravo,el_autor_es_del_pais,Mexico
Frida Kahlo,el_autor_es_del_pais,Mexico
Crónicas sin destino,el_autor_es_del_pais,Mexico
"Adolfo López Mateos, vida y obra",el_autor_es_del_pais,Mexico
Próceres del Instituto,el_autor_es_del_pais,Mexico
Horacio Zúñiga,el_autor_es_del_pais,Mexico
Más imágenes de luz,el_autor_es_del_pais,Mexico
Elías Nandino,el_autor_es_del_pais,Mexico
Diálogo de las criaturas sobre la belleza y el amor,el_autor_es_del_pais,Mexico
El Cristo de la edad media,el_autor_es_del_pais,Mexico
Nacion y Estado En El Pensamiento de Ortega y,el_autor_es_del_pais,Mexico
Sin permiso,el_autor_es_del_pais,Mexico
Ortega y Gasset en la Cátedra Americana,el_autor_es_del_pais,Mexico
La revolución española vista por una republicana,el_autor_es_del_pais,Mexico
El voto femenino y yo,el_autor_es_del_pais,Mexico
Sor Juana Inés de la Cruz,el_autor_es_del_pais,Mexico
El Derecho de la mujer,el_autor_es_del_pais,Mexico
El pensamiento vivo de Concepción Arenal,el_autor_es_del_pais,Mexico
"Clara Campoamor, de viva voz",el_autor_es_del_pais,Mexico
Del foro al parlamento,el_autor_es_del_pais,Mexico
El foto femenino y yo / La revolución española vista por una republicana,el_autor_es_del_pais,Mexico
La mujer quiere alas y otros ensayos,el_autor_es_del_pais,Mexico
La mujer en la diplomacia y otros artículos,el_autor_es_del_pais,Mexico
Clara Campoamor,el_autor_es_del_pais,Mexico
Del amor y otras pasiones,el_autor_es_del_pais,Mexico
España,el_autor_es_del_pais,Mexico
Vida y obra de Quevedo,el_autor_es_del_pais,Mexico
Heroismo criollo,el_autor_es_del_pais,Mexico
El pensamiento vivo de Concepción Arenal,el_autor_es_del_pais,Mexico
La forja de una feminista,el_autor_es_del_pais,Mexico
Algunos datos sobre las actividades culturales de Agustín Velázquez Chávez,el_autor_es_del_pais,Mexico
Los Contratos De Futuros / The Contracts of Futures,el_autor_es_del_pais,Mexico
Historia natural de Nueva España,el_autor_es_del_pais,Mexico
"Quatro libros. De la naturaleza, y virtudes de las plantas, y animales que estan receuidos en el vso de medicina en la Nueua España, y la methodo, y correccion, y preparacion, que para administrallas se requiere con lo que el doctor Francisco Hernandez escriuio en lengua latina",el_autor_es_del_pais,Mexico
Antigüedades de la nueva España,el_autor_es_del_pais,Mexico
Cuatro libros de la naturaleza y virtudes medicinales de las plantas y animales de la Nueva España,el_autor_es_del_pais,Mexico
Escritos varios,el_autor_es_del_pais,Mexico
Cuatro libros de la naturaleza y virtudes de las plantas y animales de uso medicinal en la Nueva España,el_autor_es_del_pais,Mexico
Historia natural de Nueva España,el_autor_es_del_pais,Mexico
De antiquitatibus Novæe Hispaniæ,el_autor_es_del_pais,Mexico
De antiquitatibus Novæ Hispaniæ,el_autor_es_del_pais,Mexico
Antigüedades de la Nueva España,el_autor_es_del_pais,Mexico
Historia natural de Cayo Plinio Segundo,el_autor_es_del_pais,Mexico
Barmi,el_autor_es_del_pais,Mexico
Breve historia de la guerra antigua y medieval,el_autor_es_del_pais,Mexico
Breve historia de la guerra moderna,el_autor_es_del_pais,Mexico
Poetas en la España leal,el_autor_es_del_pais,Mexico
la moneda gastada Contándonos,el_autor_es_del_pais,Mexico
"Didactica de Las Ciencias Sociales, Geografia E Historia",el_autor_es_del_pais,Mexico
Enseñanza de la arqueología y la prehistoria,el_autor_es_del_pais,Mexico
Del desastre a la victoria (1921-1926),el_autor_es_del_pais,Mexico
Diario invento,el_autor_es_del_pais,Mexico
La Isla de las breves ausencias,el_autor_es_del_pais,Mexico
Cultura y espiritu,el_autor_es_del_pais,Mexico
Diario de un Profesor de Filosofía 1989-2023. Segunda Edición,el_autor_es_del_pais,Mexico
El corazón y su avispero,el_autor_es_del_pais,Mexico
El placer de soñar,el_autor_es_del_pais,Mexico
Homenaje al poeta Federico García Lorca,el_autor_es_del_pais,Mexico
"Materialidad, Memoria y Lenguaje en la Relación de Las Fábulas y Ritos de Los Incas  de Cristóbal de Molina",el_autor_es_del_pais,Mexico
Historia de las obras públicas en la provincia de Salamanca,el_autor_es_del_pais,Mexico
La mujer en el Tahuantinsuyo,el_autor_es_del_pais,Mexico
"Tierra, Libertad y Autonomia",el_autor_es_del_pais,Mexico
Historia de la Iglesia,el_autor_es_del_pais,Mexico
Los seminarios españoles,el_autor_es_del_pais,Mexico
Atención a la salud y desigualdad regional,el_autor_es_del_pais,Mexico
"Nuevo Discurso de la Generación de Plantas, Insectos, Hombres y Animales",el_autor_es_del_pais,Mexico
La dictadura en Marruecos,el_autor_es_del_pais,Mexico
Un seminario español pretridentino,el_autor_es_del_pais,Mexico
Antojo de trampa,el_autor_es_del_pais,Mexico
Cuerpo disperso,el_autor_es_del_pais,Mexico
De cómo Robert Schumann fue vencido por los demonios,el_autor_es_del_pais,Mexico
Las gastadas palabras de siempre,el_autor_es_del_pais,Mexico
Soledad al cubo,el_autor_es_del_pais,Mexico
Mal de Graves,el_autor_es_del_pais,Mexico
Diario invento abril de 1998-marzo de 1999,el_autor_es_del_pais,Mexico
Imán para fantasmas,el_autor_es_del_pais,Mexico
Mascarón de prosa,el_autor_es_del_pais,Mexico
Antiguedades De La Nueva España / Antiquities Of The New Spain (Chronicas De America),el_autor_es_del_pais,Mexico
Iman Para Fantasmas,el_autor_es_del_pais,Mexico
Cuaderno de Borneo,el_autor_es_del_pais,Mexico
En grado de tentativa,el_autor_es_del_pais,Mexico
Los mejores poemas mexicanos,el_autor_es_del_pais,Mexico
Diario sin fechas de Charles B. Waite,el_autor_es_del_pais,Mexico
¿Cerdo o no ser?,el_autor_es_del_pais,Mexico
Serenidad de la Noche,el_autor_es_del_pais,Mexico
Circo de Góriz. Ordesa,el_autor_es_del_pais,Mexico
Reflexiones de una Mente Afilada Vol2,el_autor_es_del_pais,Mexico
Regreso,el_autor_es_del_pais,Mexico
Moneda de tres caras,el_autor_es_del_pais,Mexico
EMI Entrega 2,el_autor_es_del_pais,Mexico
Entre Espejos,el_autor_es_del_pais,Mexico
En el Limbo,el_autor_es_del_pais,Mexico
El infierno es un decir,el_autor_es_del_pais,Mexico
Mundo Es una Playa,el_autor_es_del_pais,Mexico
Los Hijos de Nuestros Hijos,el_autor_es_del_pais,Mexico
Poesía reunida,el_autor_es_del_pais,Mexico
Población de la máscara,el_autor_es_del_pais,Mexico
Francisco Hernández,el_autor_es_del_pais,Mexico
Oscura coincidencia,el_autor_es_del_pais,Mexico
Odioso caballo,el_autor_es_del_pais,Mexico
Historia económica mundial,el_autor_es_del_pais,Mexico
EvasiÓn Fiscal,el_autor_es_del_pais,Mexico
Instituciones de Justiniano,el_autor_es_del_pais,Mexico
Lecciones de Derecho romano,el_autor_es_del_pais,Mexico
Gestión financiera pública,el_autor_es_del_pais,Mexico
Breve Historia de la Cirugia Oral y Maxilofacial,el_autor_es_del_pais,Mexico
Los rendimientos del capital en el nuevo impuesto sobre la renta de las personas físicas,el_autor_es_del_pais,Mexico
Comunicación por fibras ópticas,el_autor_es_del_pais,Mexico
La presunción de paternidad legítima,el_autor_es_del_pais,Mexico
La desolación del náufrago,el_autor_es_del_pais,Mexico
La vereda,el_autor_es_del_pais,Mexico
El Sahara español,el_autor_es_del_pais,Mexico
"Antecedentes administrativos, operativos y legales del subsidio al pago del consumo de agua potable y servicio de alcantarillado de aguas servidas",el_autor_es_del_pais,Mexico
Introducción al derecho hipotecario,el_autor_es_del_pais,Mexico
"El Tribunal de cuentas, aporte a la legislación complementaria",el_autor_es_del_pais,Mexico
Cantares del Cocibolca,el_autor_es_del_pais,Mexico
"""Reivindicación,"" comedia lírica en un acto dividido en un prólogo, siete cuadros y una apoteosis",el_autor_es_del_pais,Mexico
"Carruajes, sillas, jaeces ..",el_autor_es_del_pais,Mexico
El Museo Nacional de Antropología,el_autor_es_del_pais,Mexico
Del desastre al fracaso,el_autor_es_del_pais,Mexico
Televisión y mercados,el_autor_es_del_pais,Mexico
El santo maestro y doctor Juan de Ávila,el_autor_es_del_pais,Mexico
El diábolo y la estrella,el_autor_es_del_pais,Mexico
"Voces, rostros y testimonios de profesoras potosinas en el Porfiriato",el_autor_es_del_pais,Mexico
Ionesco,el_autor_es_del_pais,Mexico
Los cartularios de Toledo,el_autor_es_del_pais,Mexico
Y ese hombre seré yo,el_autor_es_del_pais,Mexico
Las rentas del rey,el_autor_es_del_pais,Mexico
Chessman y su angustia,el_autor_es_del_pais,Mexico
La generación perdida,el_autor_es_del_pais,Mexico
Evaluacion del proyecto curricular en geografia,el_autor_es_del_pais,Mexico
La población de México,el_autor_es_del_pais,Mexico
El texto,el_autor_es_del_pais,Mexico
a p oblacion de Mexico,el_autor_es_del_pais,Mexico
Costa Rica,el_autor_es_del_pais,Mexico
Caminos de la Iglesia en España (Bac 2000),el_autor_es_del_pais,Mexico
Historia de La Iglesia. Tomo II,el_autor_es_del_pais,Mexico
Caminos de la iglesia en España,el_autor_es_del_pais,Mexico
España cristiana,el_autor_es_del_pais,Mexico
Formación del clero en la iglesia visigótico-mozárabe,el_autor_es_del_pais,Mexico
"La formación clerical de los colegios universitarios españoles, 1371-1563",el_autor_es_del_pais,Mexico
"La formación clerical en los colegios universitarios españoles, 1371-1563",el_autor_es_del_pais,Mexico
"Un seminario español pretridentino, el Real Colegio Eclesiástico de San Cecilio de Granada",el_autor_es_del_pais,Mexico
"República Dominicana, estado no. 52 de los Estados Unidos de Norteamérica",el_autor_es_del_pais,Mexico
Rodalquilar,el_autor_es_del_pais,Mexico
El Madrid tremebundo,el_autor_es_del_pais,Mexico
Glosario de la mala palabra,el_autor_es_del_pais,Mexico
"Protagonista, el consumidor",el_autor_es_del_pais,Mexico
Tu,el_autor_es_del_pais,Mexico
El glaciarismo cuaternario de la Serrota (Avila),el_autor_es_del_pais,Mexico
Fisiografía,el_autor_es_del_pais,Mexico
"Manolete, el ultimo califa",el_autor_es_del_pais,Mexico
Filosofía y neuronismo en Cajal,el_autor_es_del_pais,Mexico
CÓmic de Artes Marciales en EspaÑA.,el_autor_es_del_pais,Mexico
Santuario de la Virgen del Camino,el_autor_es_del_pais,Mexico
Temario de Ingreso Al Cuerpo de la Guardia Civil,el_autor_es_del_pais,Mexico
Derecho Natural en el Tao Te Ching .,el_autor_es_del_pais,Mexico
EMI Entrega3,el_autor_es_del_pais,Mexico
Todo está en la línea,el_autor_es_del_pais,Mexico
Los urbanos,el_autor_es_del_pais,Mexico
Cosas de la rutina grosera,el_autor_es_del_pais,Mexico
Reserva de las otras palabras yucatecas,el_autor_es_del_pais,Mexico
Emérita,el_autor_es_del_pais,Mexico
