Obra,Relación,Editorial
Era el fin del mundo,fue_publicado_por,Editorial Plaza Mayor
El penalti más largo del mundo,fue_publicado_por,"Ocho y Medio, Libros de cine"
Callejón sin salida,fue_publicado_por,Ediciones de Taller
El olor de la guayaba,fue_publicado_por,Pierre Belfond
"Ahora, todavía",fue_publicado_por,Editorial Renacimiento
Rufino Tamayo,fue_publicado_por,Associated American Artists
Información de meritos y servicios de Alonso García Bravo,fue_publicado_por,Impr. Universitaria
Noticia del abastecimiento de carne el la ciudad de Burgos (1536-1537),fue_publicado_por,"Banco de España, Servicio de Estudios"
"Trujillo, monarca sin corona",fue_publicado_por,s.n.
Amor propio,fue_publicado_por,Tusquets Editores S.A.
Gabriela Mistral - Escritos Politicos,fue_publicado_por,Fondo de Cultura Económica
"Juan Clemente Zenea, poeta elegíaco",fue_publicado_por,"Impr. ""El siglo 20"""
Desarrollo económico de América Latina y el Caribe,fue_publicado_por,Instituto Panamericano de Geografía e Historia
El Zarco,fue_publicado_por,Universidad Autónoma de Guerrero
Ignacio Manuel Altamirano,fue_publicado_por,Consejo Nacional para la Cultura y las Artes
Teatro Completo,fue_publicado_por,Universidad Nacional Autonoma
De libero arbitrio,fue_publicado_por,Bobbs-Merrill
"La reforma penal constitucional, 2007-2008",fue_publicado_por,El Colegio de Veracruz
Pensamiento español,fue_publicado_por,Secretaría de Educación Pública
Apología de las palabras y otras variaciones,fue_publicado_por,Editorial Santuario
"Rulfo, la palabra redentora",fue_publicado_por,Puvill Libros
"Semiótica, cine y comprensión crítica",fue_publicado_por,"Editora Universitaria, Universidad Autónoma de Santo Domingo"
Círculo Revista de Cultura - Volumen XLVI,fue_publicado_por,Círculo de Cultura Panamericano
La angustia y la busqueda del hombre en la literatura,fue_publicado_por,Universidad Veracruzana
Plantas nativas de México con potencial ornamental,fue_publicado_por,Universidad Autónoma Chapingo
Meditaciones del Quijote,fue_publicado_por,Espasa Calpe
Declaración de fe,fue_publicado_por,Alfaguara
Conversaciones con la Muerte. y Otros Relatos...,fue_publicado_por,CreateSpace Independent Publishing Platform
"Conversaciones sobre la justicia, el derecho y la universidad",fue_publicado_por,Marcial Pons
Los procesos militar e inquisitorial del Padre Hidalgo y de otros caudillos insurgentes,fue_publicado_por,Ediciones Fuente Cultural
El general en su laberinto,fue_publicado_por,Penguin Putnam~trade
La comunicación en los territorios,fue_publicado_por,"Universidad Nacional de Quilmes, Publicaciones Ciencias Sociales"
Entre cachacos,fue_publicado_por,Bruguera
Espacio,fue_publicado_por,Editora Nacional
José Eustasio Rivera,fue_publicado_por,Caza de Libros
Páramo de espejos,fue_publicado_por,"Universidad Iberoamericana, Laguna"
Todos somos iguales frente a las tentaciones,fue_publicado_por,Fondo de Cultura Económica
Homenaje a Dulce María Loynaz,fue_publicado_por,Ediciones Universal
Cementerio De Papel/ Cementery of Paper,fue_publicado_por,Ediciones B
Relación entre precios internos y externos,fue_publicado_por,El Colegio Mexiquense
Naif,fue_publicado_por,El sastre de Apollinaire
Invisible ln̕ea visible,fue_publicado_por,CONACULTA FONCA
Sed de mal,fue_publicado_por,Colegio de la Frontera Norte
Ajedrez--Navegaciones,fue_publicado_por,Siglo XXI Editores
Huelga de Dolores para los no huelgueros,fue_publicado_por,"Editorial Universitaria, Universidad de San Carlos de Guatemala"
La letra e,fue_publicado_por,Alianza
Los Repatriados sevillanos del 98,fue_publicado_por,"Ayuntamiento de Sevilla, Area de Cultura"
Letras bolivianas en lengua francesa,fue_publicado_por,"Sección Publicaciones, Departamento de Extensión Cultural, Lycée Alcide d'Orbigny"
Antología de la filosofía americana contemporánea,fue_publicado_por,B. Costa-Amic
Cruzar/Mudar/Permanecer,fue_publicado_por,Consejo Nacional para la Cultura y las Artes / Centro Cultural Tijuana
Ortografia Razonada,fue_publicado_por,Editorial Trillas S.A. De C.V.
José Agustín,fue_publicado_por,Blanco y Negro Editores
Ojo/voz,fue_publicado_por,Ediciones Era
Signo XX,fue_publicado_por,Serviprensa Centroamericana
Papeles contra sermones,fue_publicado_por,Oficina de D. J. M. Benavente y Sócios
Poetas guatemaltecos del siglo XX,fue_publicado_por,Bancafe
El otro lado,fue_publicado_por,Ediciones Universal
Los derechos humanos en América,fue_publicado_por,Tip. Nacional
Jardín murado,fue_publicado_por,Unión Tip.
Martin Garatuza,fue_publicado_por,Editorial Porrúa
Música divina,fue_publicado_por,Floreal]
Antolojía poética,fue_publicado_por,Ediciones Cátedra
La pajarita Guido,fue_publicado_por,[e.d.a. Libros]
Historia de la Revolución en Tabasco,fue_publicado_por,"Ediciones del Gobierno de Tabasco, México"
Manual de historia de la literatura española,fue_publicado_por,Generalitat Valenciana
Relatos,fue_publicado_por,Ediciones Unión
Diarios de Motocicleta,fue_publicado_por,Giangiacomo Feltrinelli Editore
Latinoamérica y otros ensayos,fue_publicado_por,Guadiana de Publicaciones
El Coronel Astucia y los Hermanos de la Hoja,fue_publicado_por,Instituto Nacional de Bellas Artes
"Dioses Inmutables, Amores, Piedras",fue_publicado_por,Editorial Oceano de Mexico
La región más transparente,fue_publicado_por,Santillana Ediciones Generales
La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,fue_publicado_por,"Mondadori España, S.A."
El peligro comunista en la revolución de abril,fue_publicado_por,Fundación Cultural Dominicana
Vida y escritos de D. Francisco Pimentel,fue_publicado_por,Tipografía Económica
Derecho Natural en el Tao Te Ching .,fue_publicado_por,Independently Published
El lobotomista,fue_publicado_por,Alfaguara
El río de la lengua,fue_publicado_por,Editorial Universidad de Antioquia
Palabras de ida y vuelta,fue_publicado_por,Ediciones Calíope
Porqué ...,fue_publicado_por,Ediciones C.R.
"""El juglar y la domadora"" y otros relatos desconocidos",fue_publicado_por,"Colegio de México, Centro de Estudios Lingüísticos y Literarios"
La Garza Sin Sombras (Poesia),fue_publicado_por,Bajo La Luna
Tampoco llegarás a Samarkanda,fue_publicado_por,Editorial Laia
Xavier Villaurrutia en persona y en obra,fue_publicado_por,Fondo de Cultura Econo mica
Relato de un náufrago,fue_publicado_por,Al Awda
El Señor Presidente,fue_publicado_por,Flammarion
Mil y una Muertes,fue_publicado_por,Aguilar Argentina
Las relaciones culturales entre América Latina y Estados Unidos después de la guerra fría,fue_publicado_por,Wissenschaftlicher Verlag Berlin
Tres conferencias sobre el feudalismo,fue_publicado_por,Tall. Gráf. B. González
Paradiso,fue_publicado_por,ALLCA XX
El Otono,fue_publicado_por,Turtleback Books Distributed by Demco Media
Presencia de Pedro Henríquez Ureña,fue_publicado_por,Editorial Ciguapa
Las 500 dudas más frecuentes del español,fue_publicado_por,Espasa
Vida en el amor,fue_publicado_por,Ediciones C. Lohlé
"Estado, educación y lectura",fue_publicado_por,Ediciones del Ermitaño
De Colón a Humboldt,fue_publicado_por,Instituto Panamericano de Geografía e Historia
La frontera de cristal,fue_publicado_por,Punto de lectura
Entrevistas con quince autoras mexicanas,fue_publicado_por,Iberoamericana
Libro de la duda y el deseo,fue_publicado_por,Editorial Oriente
Las posibilidades del odio,fue_publicado_por,Siglo Veintiuno
Juan Bosch,fue_publicado_por,Editora Alfa y Omega
Magia de la letra viva,fue_publicado_por,Editorial Pueblo y Educación
La pobreza en Corrientes,fue_publicado_por,Fundación Corrientes y su Transformación
Del plebiscito a la fortaleza,fue_publicado_por,Ediciones Nuevas de Puerto Rico
Antología de la poesía cósmica y tanática de Guadalupe Trullén,fue_publicado_por,Frente de Afirmación Hispanista
Bitte nicht spucken!,fue_publicado_por,Krajowa
Páginas locas,fue_publicado_por,"Tip. ""La Ilustración de México,"""
El fuego que arrasó mis llanuras,fue_publicado_por,"Gobierno del Estado de Coahuila de Zaragoza, Secretaría de Cultura de Coahuila"
Short stories,fue_publicado_por,Menoscuarto Ediciones
Cuentos casi extraños,fue_publicado_por,Editorial Cole
Cuentos misteriosos,fue_publicado_por,Miraguano Ediciones
Cuentos De Cipotes,fue_publicado_por,"Ministerio de Cultura y Comunicaciones, Viceministerio de Communicaciones, Dirección de Publicaciones y Impresos"
Guerra del tiempo y otros relatos,fue_publicado_por,Alianza
El Zarco,fue_publicado_por,"Espasa-Calpe argentina, s. a."
La fijeza,fue_publicado_por,"Ediciones ""Orígenes,"""
Gobernantes del Ecuador (13 de mayo de 1830-20 de setiembre de 1932) ..,fue_publicado_por,Editorial Bolívar
Otras sílabas sobre Gonzalo Rojas,fue_publicado_por,Fondo de Cultura Económica
Anatomía de una utopía,fue_publicado_por,Universidad Autónoma de Nuevo León
Decadencia y auge de las identidades,fue_publicado_por,Programa Cultural de las Fronteras
"Personas, revistas y diarios",fue_publicado_por,"Universidad Autónoma Metropolitana, Dirección de Difusión Cultural, Departamento Editorial"
El coronel no tiene quien le escriba,fue_publicado_por,Continental Book Co Inc
Por El Pais De Montaigne (Paidos Amateurs),fue_publicado_por,Ediciones Paidos Iberica
Introducción a la psicología del pensamiento,fue_publicado_por,zEditorial Trotta
Seis Poetas Griegos,fue_publicado_por,Ediciones Colihue
Impuesto sobre sociedades y su reforma para 2007,fue_publicado_por,Thomson/Civitas
España,fue_publicado_por,Letras Cubanas
Sucesión testamentaria,fue_publicado_por,"Ministerio de Educacion Superior, Departamento de Textos y Materiales Didácticos"
Malinche,fue_publicado_por,Washington Square Press
"Julio, estás en Nicaragua",fue_publicado_por,"Distribuye, P.J. Editora"
Historias urbanas,fue_publicado_por,[publisher not identified]
Zapatera Prodigiosa,fue_publicado_por,CreateSpace Independent Publishing Platform
Medusario,fue_publicado_por,Fondo de Cultura Economica USA
Los raros,fue_publicado_por,Ediciones Continental
Cuentos contemporáneos,fue_publicado_por,Editorial Trópico
El castigador,fue_publicado_por,Editorial Quinqué
Años decisivos: poesía 1954-1960,fue_publicado_por,Literaturasa
Los Peones Son el Alma Del Juego / the Pawns Are the Soul of the Game,fue_publicado_por,Penguin Random House Grupo Editorial
Ideas sobre el teatro y la novela,fue_publicado_por,Alianza Editorial Sa
"Solo los sueños y los deseos son inmortales, Palomita",fue_publicado_por,Editorial Diana
Horizonte del liberalismo,fue_publicado_por,Alianza Editorial
Narrativa completa,fue_publicado_por,Bna Books
La soledad de América Latina,fue_publicado_por,Universidad de Colombia
El siglo de las luces,fue_publicado_por,Alianza
Textos escogidos,fue_publicado_por,Editorial Porrúa
Nueva España,fue_publicado_por,Instituto Tecnológico de Estudios Superiores de Monterrey
mÚsica en la etapa de educaciÓn Infantil,fue_publicado_por,"Lulu Press, Inc."
La fiesta y la muerte enmascarada,fue_publicado_por,Editorial Colibrí
El Canillitas,fue_publicado_por,Editorial Polis
El republicanismo en hispanoamérica,fue_publicado_por,Fondo de Cultura Económica
Agonía de falenas,fue_publicado_por,CREA
Literatura Infantil y Juvenil Mexicana,fue_publicado_por,"Lang AG International Academic Publishers, Peter"
Daniel Cosio Villegas,fue_publicado_por,Tusquets
La oveja negra y demás fábulas,fue_publicado_por,Suma de Letras
"Alfredo Cabanillas Blanco, 1894-1979",fue_publicado_por,Patronato Municipal Niceto Alcalá-Zamora
Juan Quinqui n en Pueblo Mocho,fue_publicado_por,Ediciones Huraca n
Los jardines de la provincia de Córdoba,fue_publicado_por,"Diputación de Córdoba, Delegación de Medio Ambiente y Protección Civil"
Costa Rica,fue_publicado_por,CEPAS
Los nuestros,fue_publicado_por,"Ayuntamiento de Mérida, Dirección de Cultura"
El fogon de D'artagnan,fue_publicado_por,Villegas Editores
"José Triana, ritualización de la sociedad cubana",fue_publicado_por,Institute for the Study of Ideologies and Literature
Cantos rodados,fue_publicado_por,Editorial Cultura
Juan Goytisolo,fue_publicado_por,E. Torres
Posdata,fue_publicado_por,Octavio Paz
Anamú y manigua,fue_publicado_por,La Iguana Dorada
22 postales dominicanas,fue_publicado_por,Ediciones de a Poco
Vigencia de la Constitución de 1917,fue_publicado_por,Archivo General de la Nación
La novela brasileña y obra de Otávio de Faria,fue_publicado_por,Instituto de Estudios Superiores
Evaluación y reflexiones sobre educación,fue_publicado_por,USED. N.L.
"Materialidad, Memoria y Lenguaje en la Relación de Las Fábulas y Ritos de Los Incas  de Cristóbal de Molina",fue_publicado_por,"Lang GmbH, Internationaler Verlag der Wissenschaften, Peter"
"Porque es pecado, no te lo doy/ Because it's Sin, I Won´t Give It to You",fue_publicado_por,Diana/Mexico
Allá,fue_publicado_por,Zompopos
The Empty Pinata (Stories the Year 'round),fue_publicado_por,Santillana USA Publishing Company
La expresión americana,fue_publicado_por,Linkgua ediciones
Diarios de Motocicleta,fue_publicado_por,"Penguin Books, Limited"
El Monumento de Colon,fue_publicado_por,Impr. de Jens y Zapiain
Los días terrenales,fue_publicado_por,CSIC
Ensayo sociologico sobre la universidad,fue_publicado_por,"Instituto de Investigaciones Sociales, Universidad Nacional"
Y si muero mañana,fue_publicado_por,Distribuido por Ediciones Vitral
El caso Molinet,fue_publicado_por,Difusión Editorial
El general en su laberinto,fue_publicado_por,A.A. Knopf
"Nellie, el caso Campobello",fue_publicado_por,Cal y Arena
Antología de Alfonso Reyes,fue_publicado_por,B. Costa-Amic
"Entre las líneas, entre las vidas",fue_publicado_por,Océano
Briefe an einen jungen Dichter,fue_publicado_por,labutxaca
Understanding the Bible,fue_publicado_por,Zondervan Pub. House
Breves notas tomadas en la escuela de la vida,fue_publicado_por,Impr. de A. Garcia Cubas sucs. hnos.
"Una niña, un tambor, un sueño",fue_publicado_por,"Scholastic, Inc."
Historia general de Centroamérica,fue_publicado_por,FLACSO
Paradiso,fue_publicado_por,Secker & Warburg
Under the royal palms,fue_publicado_por,Atheneum Books for Young Readers
Flor de Lis,fue_publicado_por,"Editorial Planeta, S. A."
Italia y Cuba,fue_publicado_por,Fundación Fernando Ortiz
La casa de la presencia,fue_publicado_por,Fondo de Cultura Económica
"Premio Salvador Gallardo Dávalos, 1992-1993",fue_publicado_por,Instituto Cultural de Aguascalientes
Navidad en Las Montanas,fue_publicado_por,Independently Published
La canción del progreso,fue_publicado_por,Editorial Larva
Lecturas de Puebla,fue_publicado_por,Gobierno del Estado de Puebla
El dibujo del mundo,fue_publicado_por,Lampreave
Trapices,fue_publicado_por,s.n.
En tela de juicio,fue_publicado_por,J. M[órtiz
Diapasón del corazón,fue_publicado_por,Ediciones del Gobierno del Estado
Las mil y una--,fue_publicado_por,Plaza & Janés
Viento fuerte,fue_publicado_por,Dell
El estrecho dudoso,fue_publicado_por,Ediciones Nicarao
El sexo de la ciencia,fue_publicado_por,Juan Pablos Editor
Ética para Amador,fue_publicado_por,Ariel Publications
La re/presentación de la violencia en el teatro latinoamericano contemporáneo,fue_publicado_por,Universidad Iberoamericana
La Ventana Pintada (El Libro De Bolsillo),fue_publicado_por,Alianza Editorial Sa
Fonologia española,fue_publicado_por,Imp. de la Revista de archivos
Ensayos I,fue_publicado_por,Iberoamericana
Acerca de lo negro y la africanía en la lengua literaria de Motivos de son de Nicolás Guillén,fue_publicado_por,Ediciones Vitral
El coronel no tiene quien le escriba,fue_publicado_por,Ediciones Era
Requiem per un cane,fue_publicado_por,Rusconi
Catedral de México,fue_publicado_por,Ediciones de Arte
La palabra amordazada,fue_publicado_por,"Facultad de Filosofía y Letras, Universidad Nacional Autónoma de México"
El turco afortunado,fue_publicado_por,[s.n.]
El poeta jerezano Diego de Dueñas (s. XVI),fue_publicado_por,Sociedad/Centro de Estudios Históricos Jerezanos
Martí,fue_publicado_por,"Linkgua Ediciones, S.L."
Psicomagia,fue_publicado_por,Grupo ILHSA
Teje sus voces la memoria,fue_publicado_por,Dante
Etymologiae,fue_publicado_por,Ediones Universidad de Salamanca
Poesías Escogidas. Nueva y Unica Edición Ilustrada Autorizada Por el Autor y Aumentada con Varias Composiciones Inéditas,fue_publicado_por,"Creative Media Partners, LLC"
Tun y chirimía,fue_publicado_por,"Casa de la Cultura Ecuatoriana, Núcleo del Guayas"
Nocturnos intemporales,fue_publicado_por,"Universidad Autónoma Metropolitana, Dirección de Difusión Cultural, Departamento Editorial"
The Bridge in the Jungle,fue_publicado_por,Büchergilde Gutenberg
Por su nombre,fue_publicado_por,Tusquets Editores
Fortuny,fue_publicado_por,Oscar de León Palacios
La Araucanía,fue_publicado_por,Pehuén Editores
El rumor de su sangre,fue_publicado_por,Editorial Aldus
España contemporánea,fue_publicado_por,Renacimiento
"Obras literarias de la Señora Doña Gertrudis Gomez de Avellameda, coleccion completa, 5 vols",fue_publicado_por,Imprenta y esterioplipia de M Rivadeneyra
Guía diplomática y consular,fue_publicado_por,Impr. de F. Díaz de León
El Oriente de Severo Sarduy,fue_publicado_por,Instituto Cervantes
"Cantos de vida y esperanza, Los cisnes, y otros poemas",fue_publicado_por,F. Granada
Exploring CE 1,fue_publicado_por,Club Universitario
La panza del Tepozteco,fue_publicado_por,Consejo para la Cultura y las Artes
Colección Riva Palacio. Martín Garatuza,fue_publicado_por,CreateSpace Independent Publishing Platform
Todo para los dioses,fue_publicado_por,Consejo Nacional para la Cultura y las Artes
La tarea del héroe,fue_publicado_por,Destino
La Cámara Nacional de Comercio de S.L.P. a través de su historia,fue_publicado_por,CANACO Servytur
Todos Los Cuentos / Collected Short Stories,fue_publicado_por,Editorial Planeta Mexicana
Aristas,fue_publicado_por,Universidad Autónoma de Puebla
Cronicas desconocidas: 1901 - 1906,fue_publicado_por,Edition Tranvia VerlagWalter Frey
Olimpo,fue_publicado_por,Corregidor
Ciencia y política,fue_publicado_por,"Instituto de Ciencias Político Sociales, Universidad Rafael Landívar"
Desierto ardiente,fue_publicado_por,Extassy
Marx para principiantes,fue_publicado_por,Writers and Readers Publishing Cooperative (Society Ltd)
El Cuento Del Cafecito / A Cafecito Story,fue_publicado_por,Random House Mondadori
La voz de Tomás Segovia,fue_publicado_por,Publicaciones de la Residencia de Estudiantes
Die weiße Rose,fue_publicado_por,Büchergilde Gutenberg
Tú vivirás para siempre,fue_publicado_por,Comisión Pro-festejos de los 600 Años de Nezahualcóyotl
Comprensión de Venezuela,fue_publicado_por,Aguilar
El papel de la afinación musical en la historia de la ciencia,fue_publicado_por,Editorial Dossoles
Pequeña Habana en medio de las sabanas,fue_publicado_por,Ediciones La Memoria
Identidad y patrimonio cultural en América Latina,fue_publicado_por,"Universidad Nacional Autónoma de México, Instituto de Investigaciones Antropológicas"
Rubén Darío,fue_publicado_por,"Imprenta ""El Siglo XX,"""
Derecho del trabajo y de la seguridad social,fue_publicado_por,Ad-Hoc
Plan de estudios de la Escuela superior de comercio y administracion,fue_publicado_por,"Poder ejecutivo federal, Departameto de aprovisionamientos generales, Direccion de talleres graficos"
Conjeturas en la penumbra,fue_publicado_por,"Ministerio de Educación, Dirección General de Cultura, Dirección de Publicaciones"
Cuentos fríos,fue_publicado_por,Cátedra
Poems,fue_publicado_por,Penguin Books
Furor matutino,fue_publicado_por,Editorial Diana
El país de cuatro pisos y otros ensayos,fue_publicado_por,Huracán
La Voragine,fue_publicado_por,Humanities Pr
Tomás Bobadilla,fue_publicado_por,TOBOGAN
Donde nace la noche,fue_publicado_por,Consejo Estatal para la Cultura y las Artes de Chiapas
Cuando conversé con ellos,fue_publicado_por,"Coordinación de Difusión Cultural, Vicerrectoría de Investigación, Postgrado y Extensión, Universidad Tecnológica de Panamá"
Nostalgia de la muerte,fue_publicado_por,Sur
"Orlando Concepción, tierra adentro",fue_publicado_por,Ediciones Santiago
Album secreto de Froylán Turcios,fue_publicado_por,Editorial Presente
Doña Rosita la soltera,fue_publicado_por,Aymá
Pieces of shadow. Selected poems (Tenzontle),fue_publicado_por,Fondo de Cultura economica
El Fénix entre romances,fue_publicado_por,Fundación Ramón Menéndez Pidal
Asamblea plenaria,fue_publicado_por,Editorial Costa Rica
Comunidad campesina y empresa comunal,fue_publicado_por,Consejo Latinoamericano y del Caribe para la Autogestión
Historia cultural e imágenes de San José del Cabo,fue_publicado_por,Archivo Histórico Pablo L. Martínez
La estructura social de Centroamérica,fue_publicado_por,Ediciones Akal
Estaciones encontradas,fue_publicado_por,Isla Negra
De Cristóbal Colón a Fidel Castro,fue_publicado_por,"Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Cultura"
Arráncame la vida,fue_publicado_por,UNSPECIFIED VENDOR
Cuando la democracia nos alcance,fue_publicado_por,Casa Juan Pablos
Benjamín Argumedo,fue_publicado_por,Editorial de la Universidad Juárez del Estado de Durango
Un hombre se ha puesto de pie,fue_publicado_por,Editorial Edil
Catilina,fue_publicado_por,Alexander Street Press
Mujeres de ojos grandes,fue_publicado_por,Editorial Seix Barral
Relatos y vivencias de un joven envigadeño,fue_publicado_por,Editorial Gente Nueva
La huelga en el derecho mexicano,fue_publicado_por,[Ediciones Insignia]
Formas Insuficientes,fue_publicado_por,Independently Published
Cambio y transformación universitaria,fue_publicado_por,Hispamer
Gabriela Mistral,fue_publicado_por,"Editores Mexicanos Unidos, S.A."
Muerte Tiene Permiso,fue_publicado_por,Fondo de Cultura Economica
Una piedra en mi zapato,fue_publicado_por,Ediciones el Caballito
"Estudios de literatura argentina, siglo XX",fue_publicado_por,"Universidad Nacional de Tucumán, Facultad de Filosofía y Letras"
Retrato de Polonia,fue_publicado_por,Secretaría de Educación Pública
Tierra profanada,fue_publicado_por,Instituto Nacional de Antropología e Historia
"Idea de México, volúmen II",fue_publicado_por,Fondo de Cultura Económica
Doreen y Algunos Cuentos,fue_publicado_por,Independently Published
"Profesión, comunicador",fue_publicado_por,Editorial Pablo de la Torriente
El reino de este mundo,fue_publicado_por,Editorial Pueblo y Educación
Tiempo de fulgor,fue_publicado_por,Editorial Nueva Nicaragua
"Ratoncito Pérez, cartero",fue_publicado_por,Santillana USA
Creación y memoria,fue_publicado_por,Fundación Gerardo Diego
Elegías a Julia Gay,fue_publicado_por,Visor
Glosario de la mala palabra,fue_publicado_por,Avapiés
Baní,fue_publicado_por,Editora de Colores
Antojo de trampa,fue_publicado_por,Fondo de Cultura Económica
Temas de contabilidad de gestión,fue_publicado_por,Escuela Universitaria de Estudios Empresariales
Dos ensayos,fue_publicado_por,Universidad de Colima
Acali,fue_publicado_por,Editorial Planeta
Señales,fue_publicado_por,Independently Published
Clépsidra roja,fue_publicado_por,R. Sopena
Sus mejores páginas,fue_publicado_por,Editorial Porrua
Escritos descritos,fue_publicado_por,s.n.]
The Precipice (The Texas pan-American series),fue_publicado_por,University of Texas Press
A ustedes les consta,fue_publicado_por,Ediciones Era
La simiente,fue_publicado_por,Ramón Sopena
Sueños de Frontera Desvanecidos Difuntos Adios Madrid,fue_publicado_por,Planeta Mexico
Partido Nuevo Progresista,fue_publicado_por,Publicaciones Gaviota
Los raros,fue_publicado_por,"Universidad Autónoma Metropolitana, Dirección de Difusión Cultural, Departamento Editorial"
Pobrecito Japón,fue_publicado_por,Editorial Grijalbo
La población de México,fue_publicado_por,"Centro de Estudios Económicos y Demográficos, El Colegio de México"
La ciudad del tango,fue_publicado_por,Editorial Galerna
10 cuentos,fue_publicado_por,Editorial El Conejo
Cuando era feliz e indocumentado,fue_publicado_por,Plaza & Janés
Los Origenes De LA Ideologia Trujillista,fue_publicado_por,Biblioteca Nacional
El estado de Chihuahua,fue_publicado_por,[Reproducciones Fotomecánicas]
La clave Morse,fue_publicado_por,Alfaguara
"Premio nacional de literatura, 1990",fue_publicado_por,Ediciones de la Fundación Corripio
Introducción al arte precolombino de Nicaragua,fue_publicado_por,"Departamento de Historia de la Cultura, Universidad Centroamericana"
El veneno del tango,fue_publicado_por,Maucci
Recurso del método,fue_publicado_por,Writers & Readers
Carnesponendas,fue_publicado_por,Universidad Nacional Autónoma de México
Poesía completa,fue_publicado_por,Fondo de Cultura Económica
Meditación del pueblo joven y otros ensayos sobre América,fue_publicado_por,Revista de Occidente En Alianza Editorial
Diatriba de amor contra un hombre sentado,fue_publicado_por,"Grijalbo Mondadori, S.A.-Junior"
"La Sociedad cooperativa en la Ley 27/1999, de 16 de julio, de cooperativas",fue_publicado_por,Editorial Comares
Meditaciones poeticas,fue_publicado_por,B. Costa-Amic
El gongorismo en América,fue_publicado_por,"Universidad de Buenos Aires, Instituto de Cultura Latino-Americana"
"Tierra, Libertad y Autonomia",fue_publicado_por,CIESAS
Acta de fundación y Título de ciudad de San Luis Potosí,fue_publicado_por,"Fondo Cultural Bancen, Academia de Historia Potosina, A.C."
Sobre la inquietud cubana,fue_publicado_por,Revista Avance
Ocho notas sobre Anibal Ponce,fue_publicado_por,Cuadernos de Cultura
La nuevo procedimiento penal mexicano,fue_publicado_por,Editorial Porrúa
Marx para principiantes,fue_publicado_por,Two Continents Pub. Group
Las tres partes del criollo,fue_publicado_por,Letras Cubanas
Eloísa y Su Ventanita Musical (Eloísa's Musical Window),fue_publicado_por,Simon & Schuster Children's Publishing
Diccionario nicaragüense,fue_publicado_por,[s.n.]
Noventa días entre maestros,fue_publicado_por,Impr. Nacional
Contemplaciones europeas,fue_publicado_por,"Ministerio de Cultura, Departamento Editorial"
A mí no me gustan los boleros,fue_publicado_por,Grupo Santillana
Historia de Yucatan Antologia,fue_publicado_por,Editorial Dante
Datos historicos de Jesús Sepultado y otras imágenes de la Escuela de Cristo,fue_publicado_por,"Museo Fray Francisco Vázquez, Unidad de Investigaciones de Historia del Arte"
El Nuevo diario,fue_publicado_por,El Diario
Stundenbuch,fue_publicado_por,"Dirección de Cultura, Universidad Central de Venezuela"
La situación,fue_publicado_por,Casa de las Américas
"José Herrera ""Petere""",fue_publicado_por,Librería Rayuela
Cuba,fue_publicado_por,Editorial Letras Cubanas
De Gutenberg a Landaluze,fue_publicado_por,Editorial Letras Cubanas
Abolición de la propiedad,fue_publicado_por,J. Mortiz
Hay muchos modos de jugar,fue_publicado_por,"Extramuros, Centro Provincial del Libro y la Literatura"
Leyendas de Guatemala,fue_publicado_por,Aguilar
"Ofrecimientos para el rosario de quinze misterios, que se ha de rezar el dia de los dolores de N. Señora la Virgen Maria",fue_publicado_por,"por Francisco de Ribera Calderon, en la calle de S. Augustin"
Los raros,fue_publicado_por,"Tip. ""La Vasconia"""
La música va a otra parte,fue_publicado_por,El Colegio de Michoacán
Federico García Lorca - Yerma,fue_publicado_por,SALIM
Antes y después del 27 de febrero,fue_publicado_por,Archivo General de la Nación
Sitio,fue_publicado_por,Ediciones Bagua
"Rosinha, minha canoa",fue_publicado_por,Ed. Melhoramentos
Gabriel Rivera Delgado,fue_publicado_por,Ediciones ILCSA
El periodismo de Juan Pujol,fue_publicado_por,"Universidad de Murcia, Servicio de Publicaciones"
Herenio,fue_publicado_por,"Tip. de la ""Revista de Archivos,"""
Los años con Laura Díaz,fue_publicado_por,Alfaguara
La historia de los caballos,fue_publicado_por,Editorial Huemul
Gringo viejo,fue_publicado_por,Picador
Baja California y sus desastres,fue_publicado_por,Fundación Acevedo
Poesías de Manuel Gutiérrez Nájera,fue_publicado_por,Editores Mexicanos Unidos
Veronica Y Otros Cuentos Fantasticos,fue_publicado_por,Aims Intl Books
Rubén Darío,fue_publicado_por,Biblioteca Nacional  Rubén Darío
La Venus de la Alameda,fue_publicado_por,Secretaría de Educación Pública
Presencia en el tiempo,fue_publicado_por,"Ministerio de Educación, Dirección General de Publicaciones"
Pedro,fue_publicado_por,Anama
El corazón con que vivo,fue_publicado_por,Unión de Escritores y Artistas de Cuba
La responsabilidad social empresarial,fue_publicado_por,Marcial Pons
Todo para una sombra,fue_publicado_por,Taifa
La invención del día,fue_publicado_por,Bartleby Editores
Prosa selecta,fue_publicado_por,[Jackson]
Tijuana en la historia,fue_publicado_por,Instituto Tijuana Renacimiento
La mala hora,fue_publicado_por,Knopf Doubleday Publishing Group
Mi mamá me ama,fue_publicado_por,Seix Barral
Anclado en esta tierra,fue_publicado_por,Dirección General de Cultura y Artes
Signo y lenguaje en San Agustín,fue_publicado_por,"Centro Editorial, Universidad Nacional de Colombia"
Tony Guiteras,fue_publicado_por,Brand: Planeta
El cheque garantizado,fue_publicado_por,Universidad de Sevilla
